core_id,country,city,guide,nid,title,logo,score,rank_display,asia_overall_ranking,europe_overall_ranking,region,stars,recm,dagger,redact,program_type
410,United States,Cambridge,,294850,"<div class=""td-wrap""><a href=""/universities/massachusetts-institute-technology-mit"" class=""uni-link"">Massachusetts Institute of Technology (MIT) </a></div>",/sites/default/files/massachusetts-institute-of-technology-mit_410_small.jpg,100,1,,,North America,,0--,False,False,
573,United States,Stanford,,297282,"<div class=""td-wrap""><a href=""/universities/stanford-university"" class=""uni-link"">Stanford University</a></div>",/sites/default/files/stanford-university_573_small.jpg,99.3,2,,,North America,,0--,False,False,
87,United States,Los Angeles,,294569,"<div class=""td-wrap""><a href=""/universities/university-california-los-angeles-ucla"" class=""uni-link"">University of California, Los Angeles (UCLA)</a></div>",/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg,99.1,3,,,North America,,0--,False,False,
588,Australia,Sydney,,296815,"<div class=""td-wrap""><a href=""/universities/university-sydney"" class=""uni-link"">The University of Sydney</a></div>",/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_small.jpg,98.1,4,,,Oceania,,0--,False,False,
253,United States,Cambridge,,294270,"<div class=""td-wrap""><a href=""/universities/harvard-university"" class=""uni-link"">Harvard University</a></div>",/sites/default/files/harvard-university_253_small.jpg,97.7,5,,,North America,,0--,False,False,
626,China (Mainland),Beijing,,297235,"<div class=""td-wrap""><a href=""/universities/tsinghua-university"" class=""uni-link"">Tsinghua University</a></div>",/sites/default/files/tsinghua-university_626_small.jpg,96.9,6,,,Asia,,0--,False,False,
478,United Kingdom,Oxford,,294654,"<div class=""td-wrap""><a href=""/universities/university-oxford"" class=""uni-link"">University of Oxford</a></div>",/sites/default/files/university-of-oxford_478_small.jpg,96.7,7,,,Europe,,0--,False,False,
399,Australia,Parkville,,294861,"<div class=""td-wrap""><a href=""/universities/university-melbourne"" class=""uni-link"">The University of Melbourne</a></div>",/sites/default/files/211118103607am165180PRIMARY-A-A4-Vertical-Housed-RGB-200px-48x48.jpg,94.5,8,,,Oceania,,0--,False,False,
143,United States,Ithaca,,294514,"<div class=""td-wrap""><a href=""/universities/cornell-university"" class=""uni-link"">Cornell University</a></div>",/sites/default/files/cornell-university_143_small.jpg,94.4,9,,,North America,,0--,False,False,
268,Hong Kong SAR,Hong Kong,,294256,"<div class=""td-wrap""><a href=""/universities/university-hong-kong"" class=""uni-link"">The University of Hong Kong</a></div>",/sites/default/files/the-university-of-hong-kong_268_small.jpg,94.2,10,,,Asia,,0--,False,False,
95,United Kingdom,Cambridge,,294561,"<div class=""td-wrap""><a href=""/universities/university-cambridge"" class=""uni-link"">University of Cambridge</a></div>",/sites/default/files/university-of-cambridge_95_small.jpg,94,11,,,Europe,,0--,False,False,
47890,France,Palaiseau Cedex,,3291252,"<div class=""td-wrap""><a href=""/universities/institut-polytechnique-de-paris"" class=""uni-link"">Institut Polytechnique de Paris</a></div>",/sites/default/files/institut-polytechnique-de-paris_5f3a6d4210ca6076bc71cae4_small.jpg,93.7,12,,,Europe,,0--,False,False,
