Rank,University,Overall Score,Partnerships with Employers,Graduate Employment Rate,Employer-Student Connections,Employer Reputation,Location
1.0,Massachusetts Institute of Technology (MIT) ,100.0,100,79.3,96,100,"Cambridge, United States"
2.0,Stanford University,99.3,99.4,73.4,96.8,100,"Stanford, United States"
3.0,"University of California, Los Angeles (UCLA)",99.1,96.8,93.2,83.6,99.5,"Los Angeles, United States"
4.0,The University of Sydney,98.1,99.2,91.5,99.6,94.7,"Sydney, Australia"
5.0,Harvard University,97.7,94.5,90,76.6,100,"Cambridge, United States"
6.0,Tsinghua University,96.9,99.7,81,99.6,98.8,"Beijing, China (Mainland)"
7.0,University of Oxford,96.7,96.7,64.5,86.4,100,"Oxford, United Kingdom"
8.0,The University of Melbourne,94.5,91.6,90,76,97.6,"Parkville, Australia"
9.0,Cornell University,94.4,94.9,73.4,88.3,91.4,"Ithaca, United States"
10.0,The University of Hong Kong,94.2,99.4,99.8,93.8,79.5,"Hong Kong, Hong Kong SAR"
11.0,University of Cambridge,94.0,83.1,68.7,90.6,100,"Cambridge, United Kingdom"
12.0,Institut Polytechnique de Paris,93.7,91.7,100,85.2,98.3,"Palaiseau Cedex, France"
13.0,University of Chicago,92.6,99.8,100,45,91.8,"Chicago, United States"
14.0,Yale University,92.2,70.6,86.8,86.8,99.9,"New Haven, United States"
15.0,Princeton University,90.5,67.1,90.5,83.6,97.8,"Princeton, United States"
16.0,New York University (NYU),90.2,89.7,-,79.7,95.1,"New York City, United States"
17.0,National University of Singapore (NUS),90.0,93.1,-,45.3,98.4,"Singapore, Singapore"
18.0,Columbia University,89.9,94.1,-,57.6,97.9,"New York City, United States"
19.0,University of Pennsylvania,89.8,72.3,95.1,71.9,92.8,"Philadelphia, United States"
20.0,UCL,89.6,90.2,61.4,60.3,98.7,"London, United Kingdom"
21.0,University of Toronto,89.5,99.7,-,49.1,96,"Toronto, Canada"
22.0,ETH Zurich,89.0,87.1,99.2,49.5,96.3,"Zürich, Switzerland"
23.0,Peking University,88.8,71.5,76.6,86.9,98.5,"Beijing, China (Mainland)"
24.0,University of Waterloo,88.7,98.5,86.2,88,75.5,"Waterloo, Canada"
25.0,The University of Tokyo,87.8,91,74.6,-,99.5,"Tokyo, Japan"
26.0,Tecnológico de Monterrey,87.3,76.2,93,89.3,85.3,"Monterrey, Mexico"
27.0,University of Michigan-Ann Arbor,85.6,99.8,65.5,-,91.2,"Ann Arbor, United States"
28.0,Duke University,84.8,96.7,70.9,-,77.7,"Durham, United States"
29.0,Northwestern University,84.0,92.1,85.9,46,72.5,"Evanston, United States"
29.0,The University of New South Wales (UNSW Sydney),,87.3,64.6,-,94.3,
30.0,Imperial College London,82.8,95.9,-,-,99.8,"London, United Kingdom"
31.0,Pontificia Universidad Católica de Chile (UC),82.3,78.4,89.1,-,94.6,"Santiago, Chile"
33.0,Fudan University,81.8,85.6,71.2,80.2,91.4,"Shanghai, China (Mainland)"
34.0,Seoul National University,80.9,72.6,-,-,95.2,"Seoul, South Korea"
35.0,Zhejiang University,80.4,99,63,99.7,86.6,"Hangzhou, China (Mainland)"
36.0,Purdue University,79.8,94.4,84.2,98.3,66.7,"West Lafayette, United States"
37.0,Waseda University,78.0,65.1,60.8,83.9,87.7,"Tokyo, Japan"
38.0,Carnegie Mellon University,76.8,96.6,-,84.3,72.8,"Pittsburgh, United States"
39.0,Delft University of Technology,76.2,82.5,74.8,67.5,86.4,"Delft, Netherlands"
40.0,Georgia Institute of Technology,75.7,95.9,-,91.6,76.7,"Atlanta, United States"
41.0,Shanghai Jiao Tong University,74.8,80.9,79.8,-,88.7,"Shanghai, China (Mainland)"
42.0,The University of Manchester,73.9,74.1,-,-,97.5,"Manchester, United Kingdom"
43.0,Johns Hopkins University,,94.8,79.2,-,48.9,
44.0,Politecnico di Milano,,96.1,99.3,-,82.5,
45.0,Western University,,88.6,77.7,-,61.4,
46.0,"KIT, Karlsruhe Institute of Technology",72.6,89.1,85.5,-,84.3,"Karlsruhe, Germany"
47.0,University of Texas at Austin,72.5,74.5,68.2,-,80.6,"Austin, United States"
48.0,The London School of Economics and Political Science (LSE),72.2,-,-,96,99.7,"London, United Kingdom"
49.0,The University of Edinburgh,,79.5,-,55.3,93.9,
50.0,University of Bristol,,73.9,60.1,60.9,82.5,
51.0,National Taiwan University (NTU),71.4,53.4,-,-,78,"Taipei City, Taiwan"
52.0,Kyoto University,,81.8,-,-,94.6,
53.0,University of Leeds,,83,81.2,62.3,77.4,
54.0,Monash University,70.4,84.1,-,-,87.7,"Melbourne, Australia"
55.0,Brown University,69.2,51.5,85.5,64.8,53.5,"Providence, United States"
56.0,Keio University,69.1,55.2,71.2,-,78.7,"Tokyo, Japan"
57.0,University of Illinois at Urbana-Champaign,69.0,78.3,-,95.4,56.1,"Champaign, United States"
58.0,RWTH Aachen University,68.2,94.7,-,-,94.7,"Aachen, Germany"
59.0,University of Southern California,67.8,72.2,-,61.2,54.7,"Los Angeles, United States"
60.0,University of North Carolina at Chapel Hill,67.6,96.9,-,72.3,44.3,"Chapel Hill, United States"
61.0,University of Washington,67.4,76.5,-,69.4,50.1,"Seattle, United States"
62.0,University of Technology Sydney,67.1,75.6,74,70.4,77.3,"Haymarket, Australia"
63.0,California Institute of Technology (Caltech),,91.3,-,67.7,83.1,
64.0,The University of Queensland,,91.6,-,-,78.3,
65.0,University of Wisconsin-Madison,,69.5,84.1,-,50.1,
