2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,Harvard University,United States,100,100,90.9,91.4,,98.2
2,2=,Massachusetts Institute of Technology (MIT) ,United States,95.9,94.6,90.3,89.9,,94.4
3,2=,Stanford University,United States,95.5,93.1,92.8,90.4,,94
4,4  ,University of Oxford,United Kingdom,92,96,83,89.4,,92
5,5  ,University of Chicago,United States,94.8,79.9,100,94.7,,90.8
6,7  ,The London School of Economics and Political Science (LSE),United Kingdom,92.8,85.1,84.1,91.4,,89.5
7,6  ,University of Cambridge,United Kingdom,89.8,95.5,81.4,74.7,,89.2
8,8  ,University of Pennsylvania,United States,91.2,79.1,93.6,93.8,,88.1
9,9  ,"University of California, Berkeley (UCB)",United States,88.3,85.7,91.6,87.7,,87.8
10,10  ,New York University (NYU),United States,88.7,80.2,91,94.7,,87
11,11  ,Columbia University,United States,87.2,81.6,88.2,92.4,,86.1
12,13  ,Yale University,United States,85.3,87.1,89.1,80.5,,85.7
13,12  ,London Business School,United Kingdom,88.9,79,91.9,81.2,,85.5
14,14  ,National University of Singapore (NUS),Singapore,85.6,84.7,81.4,85.9,,84.9
15,15  ,University of Toronto,Canada,84.6,82.1,88.8,89.4,,84.8
16,16  ,"University of California, Los Angeles (UCLA)",United States,85.3,85.1,83.5,82,,84.7
17,17  ,Università Commerciale Luigi Bocconi (Bocconi University),Italy,85,80.7,89.2,84.7,,84.1
18,18  ,HEC Paris,France,84,78.7,86.3,83.3,,82.6
19,24  ,Peking University,China (Mainland),80.4,82.9,80.4,89.4,,82.1
=20,19=,Imperial College London,United Kingdom,79,84.2,89.8,81.2,,81.9
=20,21=,The University of New South Wales (UNSW Sydney),Australia,81.3,79.8,81.7,90.9,,81.9
=22,21=,"Nanyang Technological University, Singapore (NTU)",Singapore,81.7,82,83.3,79.7,,81.8
=22,19=,The University of Manchester,United Kingdom,78.5,80.7,88.8,94.3,,81.8
24,23  ,The University of Melbourne,Australia,80.2,79.8,81.5,89.4,,81.1
25,27=,Tsinghua University,China (Mainland),78.3,83.1,84.2,85.3,,81
=26,25  ,Princeton University,United States,81.5,81.9,78.1,73.8,,80.5
=26,29=,University of British Columbia,Canada,80.2,80.5,84,78.2,,80.5
28,35  ,The University of Sydney,Australia,77.3,77.8,87.5,93.8,,80.1
29,29=,Northwestern University,United States,80.2,72.2,92.9,85.3,,79.6
30,27=,Cornell University,United States,75.8,78.3,90.9,89.9,,79.5
31,32=,The University of Hong Kong,Hong Kong SAR,78.8,76.3,87.2,83.3,,79.3
32,26  ,University of Michigan-Ann Arbor,United States,79.7,74.2,88.3,82,,79.1
33,32=,University of Texas at Austin,United States,78.8,73.4,90.1,85.3,,79
34,34  ,The Hong Kong University of Science and Technology,Hong Kong SAR,83.1,72.5,82.6,73.8,,78.9
35,36=,Monash University,Australia,76.8,75.3,79.9,91.4,,78.1
36,45  ,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,77.2,72.5,88.1,85.9,,77.8
37,38  ,The University of Warwick,United Kingdom,76.9,76,83,80.5,,77.6
38,36=,Duke University,United States,76.7,73,89.5,82,,77.4
39,41=,The University of Tokyo,Japan,77.3,83.1,67.3,69.7,,77.3
40,43  ,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,72.7,79.8,84.7,79.7,,76.7
41,31  ,INSEAD (France),France,83.3,78.8,59.3,53.7,,76.6
=42,40  ,Erasmus University Rotterdam ,Netherlands,77.1,69.3,83.8,87.1,,76.4
=42,41=,Seoul National University,South Korea,76.4,79,71.1,73.8,,76.4
=42,44  ,The Australian National University,Australia,74.8,76,78.4,84,,76.4
45,51=,UCL,United Kingdom,71.2,80.4,80.9,78.2,,75.6
46,46=,The University of Edinburgh,United Kingdom,71.8,78.1,77.4,82.7,,75.3
47,39  ,Shanghai Jiao Tong University,China (Mainland),70.4,75.9,82.9,87.1,,75
48,55  ,McGill University,Canada,73.5,77.5,73.8,71.8,,74.6
49,54  ,University of Amsterdam,Netherlands,74.3,70.1,82.1,81.2,,74.5
50,72  ,Pontificia Universidad Católica de Chile (UC),Chile,74.8,84.7,60.1,55.6,,74.4
=51,48  ,Fudan University,China (Mainland),70.6,77.5,77,80.5,,74.3
=51,51=,University of Illinois at Urbana-Champaign,United States,73.8,67.4,85.4,85.9,,74.3
=53,53  ,University of Navarra,Spain,70.7,74.4,82.2,79.7,,73.9
=53,46=,University of Southern California,United States,71.1,66.4,91.7,92.4,,73.9
55,57  ,Copenhagen Business School,Denmark,77.4,57.9,89.9,85.9,,73.7
56,56  ,The University of Auckland,New Zealand,70.3,70.9,84.5,85.3,,73.4
=57,59=,Korea University,South Korea,73,74.8,69.9,73.8,,73.3
=57,62=,Université PSL,France,67.8,77.3,81.9,79.7,,73.3
59,49=,Singapore Management University,Singapore,73.7,63.6,86.7,85.3,,73.1
60,69=,"Trinity College Dublin, The University of Dublin",Ireland,64.9,71.5,97.1,93.8,,73
=61,67=,The Hong Kong Polytechnic University,Hong Kong SAR,71.3,65.8,87.5,87.7,,72.9
=61,59=,The University of Queensland,Australia,69.9,73,77.4,83.3,,72.9
=61,49=,Tilburg University,Netherlands,76.9,60.1,81.6,82.7,,72.9
64,65=,KAIST - Korea Advanced Institute of Science & Technology,South Korea,71.7,74.1,69.6,72.8,,72.3
65,64  ,Yonsei University,South Korea,72.2,76,65.2,67.4,,72.2
66,74=,Universiti Malaya (UM),Malaysia,70.4,73.8,70,77.3,,72.1
=67,61  ,University of Glasgow,United Kingdom,69.9,69.6,78.3,83.3,,72
=67,58  ,University of Washington,United States,70.1,65.6,87.3,85.3,,72
69,92=,Universidade de São Paulo,Brazil,70.7,78.8,62.8,64.9,,71.8
70,76=,City University of Hong Kong,Hong Kong SAR,70.5,64.8,83.6,86.5,,71.7
=71,92=,Tecnológico de Monterrey,Mexico,71.7,82.3,57.9,51.6,,71.5
=71,76=,University of Birmingham,United Kingdom,66.4,71.1,82.5,87.1,,71.5
73,67=,The Ohio State University,United States,68.3,65.7,90.5,82.7,,71.2
74,62=,"ESSEC Business School, Paris",France,72.1,71.5,67.1,68.6,,71.1
=75,74=,Boston University,United States,67.6,72,80.7,75.6,,71
=75,,King's College London,United Kingdom,65.4,75.9,78.2,77.3,,71
=75,65=,Lancaster University,United Kingdom,70.2,65.7,80,82,,71
=75,86  ,Pennsylvania State University,United States,65.3,70.1,83.7,89.9,,71
79,91  ,Université Paris 1 Panthéon-Sorbonne ,France,65.8,72.7,81.9,79.7,,70.9
80,71  ,National Taiwan University (NTU),Taiwan,69.3,73.3,72,69.7,,70.8
=81,82=,Stockholm School of Economics,Sweden,76.7,54.7,83.3,76.5,,70.7
=81,80=,Universität Mannheim,Germany,73.3,61.5,75.1,81.2,,70.7
=81,80=,"University of North Carolina, Chapel Hill",United States,69.8,62.3,88,82.7,,70.7
=84,69=,"City, University of London",United Kingdom,71,62,83.4,80.5,,70.5
=84,76=,Durham University,United Kingdom,65.6,72.5,77.2,82.7,,70.5
86,76=,Universidad Carlos III de Madrid (UC3M),Spain,69.8,70.1,69.9,74.7,,70.4
87,90  ,University of Zurich,Switzerland,70.3,61.9,83.1,80.5,,70.1
=88,87=,Carnegie Mellon University,United States,69.1,71.3,71.1,69.7,,70
