2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,University of Oxford,United Kingdom,99.8,92.1,87.3,100,,97.8
2,2  ,Harvard University,United States,97.8,100,90.1,99.2,,97.4
3,3  ,University of Cambridge,United Kingdom,100,92.2,84.2,96,,97.2
4,4  ,UCL,United Kingdom,96,76.9,87.6,100,,93.7
5,5  ,"University of California, Berkeley (UCB)",United States,97.3,73.3,85.2,90.2,,93
6,6  ,University of Chicago,United States,95.4,72.1,90.6,92.3,,92.3
=7,10  ,Stanford University,United States,93.4,89.8,88.1,89.1,,92.1
=7,7  ,"University of California, Los Angeles (UCLA)",United States,92.9,85.1,89.8,96,,92.1
9,8  ,The Australian National University,Australia,94.6,87.3,81.2,86.8,,91.8
10,17  ,Universidad Nacional Autónoma de México (UNAM),Mexico,95.3,87.4,67.6,71,,89.3
11,9  ,The London School of Economics and Political Science (LSE),United Kingdom,90.2,74.1,90.7,96,,89.2
12,11  ,University of Michigan-Ann Arbor,United States,89,71,92,98.5,,88.5
13,20  ,National University of Singapore (NUS),Singapore,89.1,92.2,77.7,80,,87.4
14,21  ,University of British Columbia,Canada,88.6,74.8,88.8,89.1,,87.3
15,16  ,The University of Edinburgh,United Kingdom,89.3,74.8,84.3,88,,87.2
16,13  ,University of Toronto,Canada,86,75.3,88.6,99.2,,86.5
17,15  ,Yale University,United States,87.8,74.7,85.3,86.8,,86.1
18,18  ,Leiden University,Netherlands,88,73.3,81.5,86.8,,85.8
19,12  ,SOAS University of London ,United Kingdom,88.2,79.2,73.7,76.8,,84.7
20,22  ,The University of Melbourne,Australia,82.7,90.4,85.1,91.3,,84.6
21,14  ,Columbia University,United States,83.8,74,91.8,90.2,,84.3
22,19  ,University of Amsterdam,Netherlands,83.1,72,89.8,98.5,,84.2
23,27=,Universidade de São Paulo,Brazil,87.4,75.7,71.9,78.5,,83.8
24,27=,Universidad de Buenos Aires (UBA),Argentina,86.6,81.5,67.2,73.1,,82.8
25,32=,McGill University,Canada,82,79.6,84.6,88,,82.6
26,29  ,New York University (NYU),United States,79.7,82,89.3,94.2,,82.3
27,31  ,The University of Sydney,Australia,80.7,83.6,85.1,85.6,,81.9
28,23  ,Durham University,United Kingdom,81,71.4,88,91.3,,81.8
29,26  ,The University of Manchester,United Kingdom,81.7,69.6,85.6,89.1,,81.6
30,24  ,Duke University,United States,78.4,68.5,100,97.7,,81.5
31,25  ,University of Copenhagen,Denmark,80.5,74.6,83.5,91.3,,81.3
32,34  ,Princeton University,United States,81.2,71.5,82.2,88,,81
33,35  ,The University of Tokyo,Japan,84.9,76,67.2,71,,80.9
34,42=,University of Pennsylvania,United States,78.9,75.7,90.3,88,,80.6
35,36  ,Aarhus University,Denmark,78.3,72.8,87.1,94.2,,80.2
36,37  ,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,80.8,77.4,75.6,81.5,,80
37,39=,Ecole des Hautes Etudes en Sciences Sociales (EHESS),France,84.2,56,72.2,81.5,,79.9
38,39=,Arizona State University,United States,77.2,66,92.8,98.5,,79.8
39,42=,The University of Arizona,United States,79.1,59,89.3,95.1,,79.7
40,45=,University of Wisconsin-Madison,United States,79.4,65.2,89.7,85.6,,79.6
41,,The University of Hong Kong,Hong Kong SAR,80.4,80.2,77,75,,79.5
42,49  ,Universidad Nacional de Colombia,Colombia,81.3,87.9,61.7,68.8,,78.8
=43,41  ,Kyoto University,Japan,80.5,70.2,73,78.5,,78.5
=43,38  ,University of Vienna,Austria,79.6,71.7,77.2,78.5,,78.5
=45,51-100,Brown University,United States,77.9,70.2,81,81.5,,77.8
=45,30  ,Humboldt-Universität zu Berlin,Germany,83.5,48.8,71.7,73.1,,77.8
=45,48  ,Université Paris 1 Panthéon-Sorbonne ,France,79.9,79.1,70.4,68.8,,77.8
=48,51-100,Cornell University,United States,74.6,67.5,93.5,92.3,,77.6
=48,47  ,The University of Auckland,New Zealand,77.1,72,80,84.3,,77.6
=48,51-100,Universidad de los Andes,Colombia,81.4,84.4,61.3,60.8,,77.6
=48,45=,University of Texas at Austin,United States,74.6,65.8,90.7,96.8,,77.6
51-100,51-100,Alma Mater Studiorum - University of Bologna,Italy,74.9,68.5,77.4,78.5,,
51-100,51-100,City University of New York,United States,66.2,56.4,87.5,95.1,,
51-100,51-100,Complutense University of Madrid,Spain,73.3,78.4,81.5,86.8,,
51-100,51-100,Eberhard Karls Universität Tübingen,Germany,74.5,52.8,84.9,86.8,,
51-100,32=,Freie Universitaet Berlin,Germany,81.7,62.2,69.1,71,,
51-100,101-150,Gadjah Mada University,Indonesia,74.2,65.7,55.4,53.9,,
51-100,51-100,"Goldsmiths, University of London",United Kingdom,75.9,63.7,70.7,68.8,,
51-100,101-150,Jawaharlal Nehru University,India,77.6,57.9,47.1,49.6,,
51-100,51-100,Johns Hopkins University,United States,70.9,76.6,85.5,89.1,,
51-100,51-100,La Trobe University,Australia,73.4,71.4,67,71,,
51-100,51-100,Ludwig-Maximilians-Universität München,Germany,75,55,72.5,80,,
51-100,50=,Massachusetts Institute of Technology (MIT) ,United States,76.4,88.1,65.5,68.8,,
51-100,101-150,Michigan State University,United States,67.4,57.8,88.3,86.8,,
51-100,51-100,Monash University,Australia,69,77,82.2,84.3,,
51-100,51-100,National Taiwan University (NTU),Taiwan,76.5,75.5,49.4,44.6,,
51-100,51-100,Northwestern University,United States,65.3,62.5,92,90.2,,
51-100,51-100,Peking University,China (Mainland),73.4,78.3,63.1,57.6,,
51-100,51-100,Pennsylvania State University,United States,70.8,62.6,86.5,90.2,,
51-100,51-100,Pontificia Universidad Católica de Chile (UC),Chile,74,82.8,70.1,68.8,,
51-100,51-100,Radboud University ,Netherlands,68.6,91,72,71,,
51-100,51-100,Ruprecht-Karls-Universität Heidelberg,Germany,76.3,63.7,64.3,73.1,,
51-100,51-100,Sapienza University of Rome,Italy,75.5,72.2,72.8,76.8,,
51-100,51-100,Seoul National University,South Korea,74.9,78.9,65.1,60.8,,
51-100,51-100,Simon Fraser University,Canada,67.5,58.3,84.7,85.6,,
51-100,51-100,Stockholm University,Sweden,71.8,67.3,79.1,76.8,,
51-100,51-100,The University of New South Wales (UNSW Sydney),Australia,66.2,85,76.7,71,,
51-100,51-100,The University of Queensland,Australia,70.3,80.4,85.2,89.1,,
51-100,51-100,Universidad Autónoma de Madrid,Spain,72.7,70.4,65.6,66.4,,
51-100,51-100,Universidad de Chile,Chile,73.2,77.4,72.6,73.1,,
51-100,51-100,Universidade Estadual de Campinas (Unicamp),Brazil,79.2,55.3,67.3,73.1,,
51-100,50=,Universidade Federal do Rio de Janeiro,Brazil,76.4,71.6,74.5,81.5,,
51-100,,Universidade Federal do Rio Grande Do Sul ,Brazil,70.8,65.6,69.3,73.1,,
51-100,51-100,Universitat Autònoma de Barcelona,Spain,64.3,71.8,83.3,88,,
51-100,51-100,Universitat de Barcelona,Spain,71.4,61.9,78.8,84.3,,
51-100,51-100,Université PSL,France,66.5,68.8,80,88,,
51-100,51-100,University of Aberdeen,United Kingdom,73.1,55.6,79,75,,
51-100,51-100,University of Bergen,Norway,72.8,50.7,73,78.5,,
51-100,101-150,"University of California, Davis",United States,68.8,44.1,84.8,88,,
51-100,51-100,"University of California, San Diego (UCSD)",United States,67.7,62.7,80.7,81.5,,
51-100,51-100,University of Cape Town,South Africa,73.3,35,78.3,78.5,,
51-100,101-150,University of Delhi,India,75,75.6,55.8,57.6,,
51-100,51-100,University of Hawaiʻi at Mānoa,United States,70.1,76.9,73.2,73.1,,
