2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,University of Cambridge,United Kingdom,100,96.5,92.1,100,,98.9
2,2,University of Oxford,United Kingdom,98.7,97.1,91.9,97.2,,97.7
3,3  ,UCL,United Kingdom,97.8,85.7,91.8,99.1,,96.1
4,4  ,Harvard University,United States,91.1,100,89,80,,90.7
=5,10  ,Durham University,United Kingdom,90.9,82.8,92,91.7,,90.3
=5,6=,Leiden University,Netherlands,94,78.4,84.7,81.7,,90.3
7,6=,Stanford University,United States,91.1,86.8,92.4,78.1,,89.5
8,8  ,The Australian National University,Australia,90.6,78.4,88.6,86.4,,88.8
9,5  ,"University of California, Berkeley (UCB)",United States,92.1,73.9,89,78.1,,88.6
10,11  ,Sapienza University of Rome,Italy,90.1,89,80.5,80,,88
11,9  ,"University of California, Los Angeles (UCLA)",United States,88.8,85.4,87.5,74,,86.9
12,12  ,Eberhard Karls Universität Tübingen,Germany,85.9,84.5,89.2,81.7,,85.7
13,14=,Peking University,China (Mainland),85.6,84,89.9,78.1,,85.1
14,16  ,Université Paris 1 Panthéon-Sorbonne ,France,86.2,83.8,78.9,81.7,,84.8
=15,22  ,Arizona State University,United States,84.2,67.8,93.5,86.4,,83.7
=15,17  ,Freie Universitaet Berlin,Germany,85,94.1,81.3,66.4,,83.7
17,14=,Christian-Albrechts-University zu Kiel,Germany,85,71.2,91.4,78.1,,83.6
18,28  ,The University of Arizona,United States,82.6,78.6,92.8,85,,83.5
19,21  ,University of Pennsylvania,United States,83.3,77.1,91.7,80,,83.2
20,13  ,Yale University,United States,83.6,85,87.3,71.7,,82.9
21,25  ,Ruprecht-Karls-Universität Heidelberg,Germany,82.6,80.8,92.6,74,,82.6
22,24  ,University of Michigan-Ann Arbor,United States,85.2,65.4,88.9,74,,82.5
23,18  ,University of Chicago,United States,84.6,69.3,86.8,76.1,,82.4
24,23  ,The University of Tokyo,Japan,85.1,74.1,83.7,63.4,,81.7
25,26  ,Pennsylvania State University,United States,82,66.9,92.7,80,,81.4
=26,19  ,Aarhus University,Denmark,81.3,69.7,92.7,80,,81.2
=26,20  ,University of York,United Kingdom,79.8,73.4,89.5,90.5,,81.2
28,34  ,Alma Mater Studiorum - University of Bologna,Italy,79.7,90.9,80.3,76.1,,80.5
=29,43  ,Aix-Marseille University,France,77.9,76.1,90.4,86.4,,79.8
=29,42  ,The University of Sheffield,United Kingdom,78,70.4,99.8,81.7,,79.8
31,45  ,The University of Sydney,Australia,77.3,94.1,86.1,76.1,,79.7
32,27  ,Universidad Nacional Autónoma de México (UNAM),Mexico,82.7,70.5,73.9,71.7,,79.5
33,31  ,University of Copenhagen,Denmark,77.8,73,92.6,83.4,,79.4
34,39=,Brown University,United States,77.3,76.1,91.3,83.4,,79.2
35,37  ,University of Vienna,Austria,79.3,87.1,77.4,71.7,,79.1
=36,35=,Ludwig-Maximilians-Universität München,Germany,80.4,75.1,81.3,69.2,,78.8
=36,33  ,University of Southampton,United Kingdom,78.8,63.1,91.6,81.7,,78.8
38,51-100,University of Texas at Austin,United States,80.9,58.3,86.1,76.1,,78.7
=39,38  ,Columbia University,United States,75.5,76.5,96.2,85,,78.6
=39,46  ,The University of Auckland,New Zealand,78.3,73.7,94.6,69.2,,78.6
=39,51-100,The University of Melbourne,Australia,78.2,83.3,85.8,69.2,,78.6
42,30  ,The University of Edinburgh,United Kingdom,75.9,79.1,89.1,85,,78.5
43,51-100,University of Glasgow,United Kingdom,76.2,63.7,91.3,90.5,,77.9
=44,29  ,Sorbonne University,France,74.7,89.6,84.2,80,,77.7
=44,51-100,The University of Exeter,United Kingdom,74.8,76.3,90.2,86.4,,77.7
=44,,Universidade de São Paulo,Brazil,77.9,73.4,84.2,74,,77.7
47,41  ,University of British Columbia,Canada,75.7,74.5,89.9,78.1,,77.2
48,,National University of Singapore (NUS),Singapore,79.7,88.5,68.3,56.1,,77.1
49,39=,University of Toronto,Canada,76.2,72.6,85.7,78.1,,77
=50,51-100,Complutense University of Madrid,Spain,75.1,78.2,80.6,76.1,,76.1
=50,51-100,The University of Queensland,Australia,74.3,66.4,91.4,83.4,,76.1
=50,51-100,University of Leicester,United Kingdom,73.7,75.3,88.4,81.7,,76.1
51-100,,Altai State University,Russia,75.1,61.5,71.9,56.1,,
51-100,51-100,Aristotle University of Thessaloniki,Greece,69.3,81.8,85,71.7,,
51-100,,Fudan University,China (Mainland),72.8,86.9,74.5,63.4,,
51-100,51-100,Ghent University,Belgium,69.4,74,84.4,74,,
51-100,,Griffith University,Australia,71.9,67.7,84.6,76.1,,
51-100,51-100,Humboldt-Universität zu Berlin,Germany,72.6,90.3,68.3,51.7,,
51-100,51-100,KU Leuven,Belgium,70.4,79.8,80.7,69.2,,
51-100,35=,Kyoto University,Japan,80.6,66.9,68.2,51.7,,
51-100,101-150,La Trobe University,Australia,76.2,79.9,79,66.4,,
51-100,51-100,Lomonosov Moscow State University,Russia,77.1,81.3,68.4,60,,
51-100,51-100,Massachusetts Institute of Technology (MIT) ,United States,70.2,86.6,82.1,71.7,,
51-100,101-150,Monash University,Australia,70,75.4,77.7,69.2,,
51-100,,National Taiwan University (NTU),Taiwan,73.1,72.1,78.7,66.4,,
51-100,51-100,New York University (NYU),United States,72.5,87.1,81,60,,
51-100,51-100,Newcastle University,United Kingdom,69.7,70,84.9,69.2,,
51-100,51-100,Novosibirsk State University,Russia,75.8,63.1,66.5,56.1,,
51-100,,Pontificia Universidad Católica de Chile (UC),Chile,72.4,72.7,84,69.2,,
51-100,51-100,Pontificia Universidad Católica del Perú,Peru,82.7,57.5,63.2,40,,
51-100,51-100,Princeton University,United States,76.6,75.6,74.2,56.1,,
51-100,51-100,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,73,78.1,80.1,66.4,,
51-100,47=,Seoul National University,South Korea,76.2,74.6,70.5,60,,
51-100,44  ,Simon Fraser University,Canada,71.2,51.9,91.8,86.4,,
51-100,,The University of Adelaide,Australia,72.2,78.8,87.6,69.2,,
51-100,51-100,The University of Manchester,United Kingdom,68.8,73.5,93.3,80,,
51-100,51-100,The University of Western Australia,Australia,73.9,59,87.3,78.1,,
51-100,,"Trinity College Dublin, The University of Dublin",Ireland,72.5,81.8,77.5,60,,
