2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,The Bartlett School of Architecture  | UCL,United Kingdom,100,91,91.8,91.4,,97.4
2,2  ,Massachusetts Institute of Technology (MIT) ,United States,97.1,95.2,93.7,85.8,,95.4
3,3=,Delft University of Technology,Netherlands,93.8,87.7,90.9,96.8,,93.2
4,3=,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,92.8,86.1,93.9,89.2,,91.9
5,5,Manchester School of Architecture,United Kingdom,87.8,98.8,93.6,84.6,,89.2
5,7  ,National University of Singapore (NUS),Singapore,85.8,89.2,96.3,89.9,,87.6
6,6  ,Harvard University,United States,87,100,89.5,75.6,,87.4
7,10  ,Politecnico di Milano,Italy,88.4,89,79.6,85.8,,87.3
8,8  ,Tsinghua University,China (Mainland),83.8,91.4,94,95.5,,86.8
9,9  ,"University of California, Berkeley (UCB)",United States,84.4,89.5,95.7,90.8,,86.7
10,11  ,University of Cambridge,United Kingdom,81,95.1,91.3,83.5,,83.7
11,13  ,EPFL,Switzerland,82.3,79.7,92.4,80.5,,82.9
12,14  ,The University of Hong Kong,Hong Kong SAR,79.2,82,93.6,92,,82.2
13,12  ,Tongji University,China (Mainland),80.9,74.7,84.4,96,,82.1
14,16  ,The Hong Kong Polytechnic University,Hong Kong SAR,77.4,74.9,95.9,100,,81.3
15,17  ,The University of Tokyo,Japan,81,81.8,81,77.7,,80.8
16,15  ,Columbia University,United States,79,77.8,89.6,72.8,,79.3
17,18=,"University of California, Los Angeles (UCLA)",United States,77,88.5,89.9,74.5,,79.2
18,25  ,RMIT University,Australia,75.5,77.3,90.6,85.4,,78.2
19,21  ,Cornell University,United States,76.2,79.4,90,74.5,,77.7
20,26=,Universidad Politécnica de Madrid (UPM),Spain,76.3,82.8,78.9,80.5,,77.6
=21,28=,Politecnico di Torino,Italy,75.9,78.9,82.9,80.5,,77.4
=21,18=,Technische Universität Berlin (TU Berlin),Germany,76.8,68.9,89,78.6,,77.4
23,18=,Georgia Institute of Technology,United States,76,60.6,92.5,87.2,,77.2
=24,24  ,Technical University of Munich,Germany,76.9,68.6,83.5,78.6,,76.9
=24,23  ,The University of Melbourne,Australia,73.1,83.4,88,85.4,,76.9
26,22  ,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,75.1,75.7,80,79.6,,76.1
27,31  ,The University of Sydney,Australia,71.8,82.6,90.5,84.6,,76.0
=28,36=,"Nanyang Technological University, Singapore (NTU)",Singapore,70.7,83.6,93.3,86.5,,75.8
=28,,University of Oxford,United Kingdom,69.3,95.2,96.6,80.9,,75.8
=30,26=,KTH Royal Institute of Technology ,Sweden,74.7,55.6,93,85.4,,75.7
=30,36=,Pontificia Universidad Católica de Chile (UC),Chile,73.3,89.3,79.6,75.1,,75.7
32,35  ,University of Michigan-Ann Arbor,United States,72.8,66.1,96.1,83.9,,75.6
