2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,Royal College of Art,United Kingdom,100,85,,,,98.5
2,2  ,University of the Arts London,United Kingdom,93.8,93.1,,,,93.7
3,,Parsons School of Design at The New School,United States,93.7,79.7,,,,92.3
4,3  ,Rhode Island School of Design (RISD),United States,93.3,77.6,,,,91.7
5,5  ,Massachusetts Institute of Technology (MIT) ,United States,83.7,100,,,,85.3
6,6=,Pratt Institute,United States,86.5,72.8,,,,85.1
7,8  ,Politecnico di Milano,Italy,83.4,87.3,,,,83.8
8,6=,Aalto University,Finland,84.7,66.2,,,,82.9
9,9  ,Design Academy Eindhoven,Netherlands,83.6,69.6,,,,82.2
10,11  ,School of the Art Institute of Chicago (SAIC),United States,82.7,65.8,,,,81
11,10  ,Tongji University,China (Mainland),80.8,70.8,,,,79.8
12,13  ,Delft University of Technology,Netherlands,78.6,81.6,,,,78.9
13,12  ,Glasgow School of Art (GSA),United Kingdom,80.2,66.2,,,,78.8
14,14  ,Art Center College of Design,United States,79.5,69.6,,,,78.5
15,16  ,Savannah College of Art and Design,United States,77.8,65.7,,,,76.6
16,17  ,Carnegie Mellon University,United States,75.3,77.8,,,,75.6
17,15  ,China Central Academy of Fine Arts,China (Mainland),77.6,54.9,,,,75.3
18,19  ,RMIT University,Australia,74.5,80.4,,,,75.1
19,20  ,The Hong Kong Polytechnic University,Hong Kong SAR,73.5,75.7,,,,73.7
20,21  ,School of Visual Arts (SVA),United States,75.5,55.4,,,,73.5
21,22  ,"Goldsmiths, University of London",United Kingdom,73.6,67,,,,72.9
22,23  ,The Royal Danish Academy of Fine Arts - The School of Design,Denmark,73.9,60.8,,,,72.6
23,24  ,California Institute of the Arts,United States,73,66.6,,,,72.4
24,18  ,Tsinghua University,China (Mainland),68.5,100,,,,71.7
=25,27  ,Stanford University,United States,68.3,98.9,,,,71.4
=25,28  ,University of Oxford,United Kingdom,68.2,99.7,,,,71.4
=27,45=,Universidad Nacional Autónoma de México (UNAM),Mexico,68.7,90.6,,,,70.9
=27,30  ,Yale University,United States,68.7,90.8,,,,70.9
29,25  ,Emily Carr University of Art and Design,Canada,74.8,34.4,,,,70.8
30,26  ,"Konstfack University College of Arts, Crafts and Design",Sweden,70.8,60.9,,,,69.8
31,38  ,Zurich University of the Arts (ZHdK),Switzerland,71.1,54.4,,,,69.4
32,32  ,Loughborough University,United Kingdom,69.2,70.3,,,,69.3
=33,39  ,"Nanyang Technological University, Singapore (NTU)",Singapore,67,88.5,,,,69.2
=33,34  ,National University of Singapore (NUS),Singapore,66.5,93.8,,,,69.2
35,31  ,Universität der Knste Berlin,Germany,70.5,56.2,,,,69.1
36,33  ,Maryland Institute College of Art,United States,68.8,66.1,,,,68.5
37,29  ,Seoul National University,South Korea,67.3,77.8,,,,68.4
=38,,King Abdulaziz University (KAU),Saudi Arabia,67.3,70.7,,,,67.6
=38,51-100,Pontificia Universidad Católica de Chile (UC),Chile,65.1,89.9,,,,67.6
40,48=,New York University (NYU),United States,65.1,86.5,,,,67.2
41,37  ,Ecole Nationale Supérieure des Arts Décoratifs (ENSAD),France,73,14,,,,67.1
42,,Eindhoven University of Technology,Netherlands,66.7,68.4,,,,66.9
43,42  ,UCL,United Kingdom,65.1,82,,,,66.8
=44,50  ,Columbia University,United States,64.9,83,,,,66.7
=44,51-100,Universidad de Palermo (UP),Argentina,67.1,63.4,,,,66.7
=46,,KAIST - Korea Advanced Institute of Science & Technology,South Korea,65.4,76.9,,,,66.6
=46,51-100,Universidad de Buenos Aires (UBA),Argentina,63.8,92.1,,,,66.6
=46,35=,University of Technology Sydney,Australia,66,71.5,,,,66.6
49,44  ,The University of Tokyo,Japan,64.7,82.2,,,,66.5
50,51-100,Tecnológico de Monterrey,Mexico,64,88.1,,,,66.4
51-100,51-100,Aarhus University,Denmark,59.5,67,,,,
51-100,51-100,"Academy of Arts, Architecture and Design Prague",Czech Republic,60.2,71.5,,,,
51-100,51-100,Altai State University,Russia,64.9,69,,,,
51-100,48=,California College of the Arts,United States,69.9,26.9,,,,
51-100,51-100,Chiba University,Japan,66.7,47.6,,,,
51-100,51-100,Cornell University,United States,58.9,80.1,,,,
51-100,51-100,Cranbrook Academy of Art,United States,65.2,41.6,,,,
51-100,40=,"École Nationale Supérieure de Création Industrielle, ENSCI Les Ateliers",France,67.4,46.6,,,,
51-100,51-100,Haute école d'art et de design de Genève (HEAD),Switzerland,63.1,37.9,,,,
51-100,51-100,Hongik University ,South Korea,61.3,57.4,,,,
51-100,51-100,Imperial College London,United Kingdom,61.1,83.3,,,,
51-100,51-100,Indian Institute of Technology Bombay (IITB),India,58.7,73.9,,,,
51-100,51-100,Istituto Marangoni,Italy,59.1,72.3,,,,
51-100,51-100,Kolding School of Design,Denmark,61,56.3,,,,
51-100,101-150,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,61.1,71.1,,,,
51-100,51-100,Lancaster University,United Kingdom,60,66.4,,,,
51-100,101-150,Management and Science University,Malaysia,58.6,91.5,,,,
51-100,51-100,Manchester Metropolitan University (MMU),United Kingdom,62.2,63,,,,
51-100,51-100,Monash University,Australia,61.7,79.6,,,,
51-100,51-100,NABA - Nuova Accademia di Belle Arti,Italy,63.4,64,,,,
51-100,51-100,National Cheng Kung University (NCKU),Taiwan,59.4,65,,,,
51-100,51-100,National College of Art and Design,Ireland,64.9,62.7,,,,
51-100,51-100,"National Institute of Design, India",India,64.4,54.6,,,,
51-100,51-100,Nottingham Trent University,United Kingdom,61.1,71,,,,
51-100,51-100,OCAD University,Canada,64.2,31.7,,,,
51-100,101-150,Oslo National Academy of the Arts,Norway,65.2,11.2,,,,
51-100,51-100,Peking University,China (Mainland),60.3,100,,,,
51-100,51-100,Politecnico di Torino,Italy,64.5,71.7,,,,
51-100,51-100,Princeton University,United States,58.7,79.1,,,,
51-100,51-100,Queensland University of Technology (QUT),Australia,58.9,68.9,,,,
51-100,51-100,"Royal Academy of Art, The Hague (KABK)",Netherlands,64.2,55.2,,,,
51-100,51-100,Royal University College of Fine Arts,Sweden,64,62.4,,,,
51-100,51-100,Taylor's University,Malaysia,59.5,73.2,,,,
51-100,51-100,The University of Edinburgh,United Kingdom,62.4,79.9,,,,
51-100,51-100,The University of Melbourne,Australia,62.5,84.6,,,,
51-100,51-100,The University of New South Wales (UNSW Sydney),Australia,59.7,79.5,,,,
51-100,51-100,The University of Sydney,Australia,57.3,82.5,,,,
51-100,151-200,UCSI University,Malaysia,58.5,78.7,,,,
51-100,51-100,Umea University,Sweden,66.8,45.3,,,,
51-100,101-150,Universidad de los Andes,Colombia,60.5,76.4,,,,
51-100,151-200,Universidad Nacional de Colombia,Colombia,57.7,77.4,,,,
51-100,51-100,Universidade de São Paulo,Brazil,59.4,84.3,,,,
51-100,40=,Universität für Musik und darstellende Kunst Wien,Austria,67.1,44,,,,
51-100,101-150,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,59.3,68.8,,,,
51-100,101-150,Universitat Politècnica de València,Spain,59.5,61,,,,
51-100,151-200,Universiti Malaya (UM),Malaysia,57.8,78.8,,,,
51-100,45=,University of Applied Arts Vienna,Austria,67.4,40.8,,,,
51-100,51-100,"University of California, Berkeley (UCB)",United States,59.9,92,,,,
51-100,47  ,"University of California, Los Angeles (UCLA)",United States,63.6,90.3,,,,
51-100,43  ,University of Gothenburg,Sweden,65.8,52.3,,,,
101-150,101-150,Academy of Fine Arts Vienna,Austria,57.3,67.1,,,,
101-150,51-100,Bauhaus-Universität Weimar,Germany,60.1,54.8,,,,
101-150,101-150,Brunel University London,United Kingdom,56.8,61.8,,,,
101-150,151-200,Chulalongkorn University,Thailand,55,88.6,,,,
101-150,151-200,Complutense University of Madrid,Spain,54.4,73.8,,,,
101-150,101-150,Concordia University,Canada,58,62.7,,,,
101-150,101-150,"École Nationale Supérieure des Beaux-Arts, Paris",France,59.5,43.3,,,,
101-150,151-200,Estonian Academy of Arts,Estonia,58.2,51.1,,,,
101-150,151-200,Falmouth College of Arts University College Falmouth,United Kingdom,56.3,69.5,,,,
101-150,151-200,HSE University,Russia,53.8,79.1,,,,
101-150,,Humboldt-Universität zu Berlin,Germany,56,67.9,,,,
101-150,101-150,IED Istituto Europeo di Design,Italy,57.2,69.4,,,,
101-150,51-100,"Kingston University, London",United Kingdom,57.5,66.5,,,,
101-150,51-100,Korea National University of Arts,South Korea,57.6,49.3,,,,
101-150,35=,Krirk University,Thailand,55.9,76.3,,,,
101-150,101-150,KTH Royal Institute of Technology ,Sweden,56.8,67.6,,,,
101-150,151-200,Kyushu University,Japan,56.2,63.2,,,,
101-150,,Lomonosov Moscow State University,Russia,54.7,85.3,,,,
101-150,101-150,Massey University,New Zealand,56.2,57.6,,,,
101-150,101-150,Musashino University,Japan,60.1,34.6,,,,
101-150,101-150,National Taiwan University (NTU),Taiwan,56.8,75,,,,
101-150,151-200,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,55.9,60.5,,,,
101-150,101-150,North Carolina State University,United States,55.9,62.7,,,,
101-150,101-150,Northumbria University at Newcastle,United Kingdom,57.3,58.4,,,,
101-150,,Novosibirsk State University,Russia,56.7,67.3,,,,
101-150,151-200,Pontificia Universidad Javeriana,Colombia,56.3,76.4,,,,
101-150,201-240,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,57,67.7,,,,
101-150,101-150,Sapienza University of Rome,Italy,55.4,69.2,,,,
101-150,,Satbayev University,Kazakhstan,56.5,61.4,,,,
101-150,51-100,Shanghai Jiao Tong University,China (Mainland),55.3,82.9,,,,
101-150,101-150,Swinburne University of Technology,Australia,57.8,62.5,,,,
101-150,101-150,The Courtauld Institute of Art,United Kingdom,58.8,58.6,,,,
101-150,101-150,Universidad Autónoma Metropolitana (UAM),Mexico,55.3,73,,,,
101-150,151-200,Universidad de Chile,Chile,54.9,87.4,,,,
101-150,101-150,Universidad del Desarrollo (UDD),Chile,57.1,63.2,,,,
101-150,101-150,Universidad Iberoamericana IBERO,Mexico,55.6,75.6,,,,
101-150,101-150,Universidad Politécnica de Madrid (UPM),Spain,57.4,67.7,,,,
101-150,101-150,Universita' IUAV di Venezia,Italy,59.5,51.1,,,,
101-150,,University for the Creative Arts,United Kingdom,57.5,57,,,,
101-150,51-100,University of Brighton,United Kingdom,58.3,55.5,,,,
101-150,101-150,"University of California, San Diego (UCSD)",United States,57.5,62.8,,,,
101-150,101-150,University of Chicago,United States,56.7,83.7,,,,
101-150,51-100,University of Cincinnati,United States,58,54.8,,,,
101-150,101-150,University of Glasgow,United Kingdom,54.9,69,,,,
101-150,101-150,University of Leeds,United Kingdom,56.4,78,,,,
101-150,101-150,University of Michigan-Ann Arbor,United States,54.9,79.6,,,,
101-150,151-200,University of Reading,United Kingdom,53.9,82.9,,,,
101-150,101-150,University of Southern California,United States,54.5,75.6,,,,
101-150,101-150,University of Toronto,Canada,55,82,,,,
101-150,151-200,University of Washington,United States,55.8,73.7,,,,
101-150,101-150,Utrecht School of the Arts,Netherlands,58.7,54.2,,,,
101-150,51-100,Yonsei University,South Korea,55.9,75.2,,,,
151-200,101-150, University of Dundee,United Kingdom,54.8,50.9,,,,
151-200,151-200,Aalborg University,Denmark,52.8,68.1,,,,
151-200,151-200,Academy of Fine Arts in Warsaw,Poland,53.9,65.4,,,,
151-200,201-240,Ajman University,United Arab Emirates,51.8,92.5,,,,
151-200,,Alma Mater Studiorum - University of Bologna,Italy,52.1,75.9,,,,
151-200,151-200,American University of Sharjah,United Arab Emirates,51.1,79.3,,,,
151-200,101-150,Amsterdam School of the Arts,Netherlands,54.9,57.6,,,,
151-200,101-150,Applied Science University - Bahrain,Bahrain,52.8,63.5,,,,
151-200,151-200,Beirut Arab University ,Lebanon,53.8,59.9,,,,
151-200,101-150,Domus Academy,Italy,56.2,35.1,,,,
151-200,51-100,Ewha Womans University,South Korea,54.9,59.6,,,,
151-200,101-150,"Fashion Institute of Technology (FIT), SUNY",United States,56.7,39,,,,
151-200,151-200,Hochschule für Gestaltung und Kunst Zürich,Switzerland,56.5,47.4,,,,
151-200,151-200,Indonesia Institute of the Arts Yogyakarta,Indonesia,57.1,43.7,,,,
151-200,201-240,ITMO University,Russia,54.3,70.8,,,,
151-200,101-150,Korea University,South Korea,51.9,74.2,,,,
151-200,151-200,KU Leuven,Belgium,52.4,67.3,,,,
151-200,151-200,Kyoto University,Japan,53.4,76.2,,,,
151-200,151-200,Lasalle College of the Arts,Singapore,56.4,45.3,,,,
151-200,101-150,Lebanese Canadian University Lebanon,Lebanon,56.8,31.6,,,,
151-200,101-150,Malmo University,Sweden,56.2,37.6,,,,
151-200,,Middle East Technical University,Turkey,52.7,74.9,,,,
151-200,,MIT Art Design and Technology University,India,55.2,62.7,,,,
151-200,201-240,Moscow Architectural Institute,Russia,53.7,61.1,,,,
151-200,151-200,Newcastle University,United Kingdom,54,67.8,,,,
151-200,,Purdue University,United States,51.7,74.7,,,,
151-200,151-200,Rochester Institute of Technology (RIT),United States,54,62.4,,,,
151-200,101-150,Ryerson University,Canada,54.5,66,,,,
151-200,101-150,Sheffield Hallam University,United Kingdom,55.6,53.1,,,,
151-200,151-200,Simon Fraser University,Canada,53.9,62.2,,,,
151-200,151-200,Singapore University of Technology and Design,Singapore,53.6,57.5,,,,
151-200,151-200,Sorbonne University,France,53.2,80.4,,,,
151-200,151-200,Technische Universität Berlin (TU Berlin),Germany,54,65.1,,,,
151-200,101-150,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,53.3,76.1,,,,
151-200,151-200,The University of Auckland,New Zealand,53.7,73.3,,,,
151-200,,Universidad Diego Portales (UDP),Chile,51.4,77.3,,,,
151-200,201-240,Universidade Estadual de Campinas (Unicamp),Brazil,53.7,75.7,,,,
151-200,201-240,Universidade Federal do Rio de Janeiro,Brazil,52.2,77.3,,,,
151-200,201-240,Universiti Teknologi MARA - UiTM,Malaysia,54.1,59.9,,,,
151-200,,University of Antwerp,Belgium,55.2,56.4,,,,
151-200,151-200,University of British Columbia,Canada,51.9,86.1,,,,
151-200,101-150,University of Pennsylvania,United States,53.2,79.1,,,,
151-200,,University of the Arts Helsinki,Finland,53.6,58,,,,
151-200,101-150,University of Tsukuba,Japan,56.4,54.2,,,,
151-200,,University of Twente,Netherlands,55.2,63.4,,,,
151-200,,University of Waterloo,Canada,51.8,77.5,,,,
151-200,,Virginia Polytechnic Institute and State University,United States,54.6,56,,,,
151-200,51-100,Zhejiang University,China (Mainland),52,87.5,,,,
201-240,,Abai Kazakh National Pedagogical University,Kazakhstan,53.3,54.2,,,,
201-240,151-200,Academy of Fine Arts,Czech Republic,54.7,38.6,,,,
201-240,151-200,Auckland University of Technology (AUT),New Zealand,51.6,59.1,,,,
201-240,101-150,Bandung Institute of Technology (ITB),Indonesia,50.6,64.8,,,,
201-240,151-200,Bard College,United States,52,56.6,,,,
201-240,151-200,Beijing Institute of Technology,China (Mainland),50.6,65.2,,,,
201-240,201-240,Brown University,United States,51.2,70.7,,,,
201-240,,Canadian University Dubai,United Arab Emirates,52.2,63.9,,,,
201-240,,Chang Jung Christian University,Taiwan,49.8,73,,,,
201-240,,City University of Hong Kong,Hong Kong SAR,50.5,71.8,,,,
201-240,201-240,Coventry University,United Kingdom,52.3,65.2,,,,
201-240,,Deakin University,Australia,51.6,62.4,,,,
201-240,151-200,Fudan University,China (Mainland),48.9,92.6,,,,
201-240,,Fundación Universidad De Bogotá-Jorge Tadeo Lozano,Colombia,52.1,67.6,,,,
201-240,201-240,Griffith University,Australia,51.4,60.5,,,,
201-240,,Helwan University ,Egypt,50.6,65.9,,,,
201-240,51-100,Jiangnan University,China (Mainland),52.9,60.9,,,,
201-240,,Keio University,Japan,51.2,70.9,,,,
201-240,151-200,Lebanese University,Lebanon,51.8,60.9,,,,
201-240,151-200,Norwegian University of Science And Technology,Norway,51.8,54.6,,,,
201-240,151-200,Otis College of Art and Design,United States,54.2,34.2,,,,
201-240,201-240,Pennsylvania State University,United States,50.6,68.2,,,,
201-240,201-240,Pontificia Universidad Católica del Perú,Peru,50.4,73.9,,,,
201-240,151-200,Shih Chien University,Taiwan,53.3,39.3,,,,
201-240,,Stockholm University,Sweden,51.8,66,,,,
201-240,151-200,Strate Ecole de design ,France,54.7,30.4,,,,
201-240,101-150,Sungkyunkwan University(SKKU),South Korea,50.7,68.2,,,,
201-240,151-200,Technische Universität Wien,Austria,52.3,58.1,,,,
201-240,,Texas A&M University,United States,49.7,73.2,,,,
201-240,151-200,The Australian National University,Australia,49.9,76.1,,,,
201-240,151-200,The University of Queensland,Australia,49.2,74.4,,,,
201-240,201-240,Universidad Anáhuac México,Mexico,51.3,72.8,,,,
201-240,,Universidad Nacional de La Plata (UNLP),Argentina,50.7,72.2,,,,
201-240,,Universitat Pompeu Fabra (Barcelona),Spain,49.7,71.4,,,,
201-240,201-240,Université du Québec,Canada,50.4,63.4,,,,
201-240,151-200,Université Paris 1 Panthéon-Sorbonne ,France,50.2,75.3,,,,
201-240,201-240,Universiti Sains Malaysia (USM),Malaysia,50.9,64.4,,,,
201-240,201-240,University of Illinois at Chicago (UIC),United States,51.9,63.1,,,,
201-240,201-240,University of Illinois at Urbana-Champaign,United States,49.7,70.9,,,,
201-240,201-240,University of Texas at Austin,United States,50.3,78.1,,,,
201-240,201-240,University of Westminster,United Kingdom,52.2,59.1,,,,
