2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,Sapienza University of Rome,Italy,100,95.2,,,,99.5
2,2  ,University of Oxford,United Kingdom,93.2,93.1,,,,93.2
3,3  ,University of Cambridge,United Kingdom,92.4,92.3,,,,92.4
4,6  ,Ruprecht-Karls-Universität Heidelberg,Germany,93.8,71.4,,,,91.6
5,4  ,Scuola Normale Superiore di Pisa,Italy,91.5,84.9,,,,90.8
6,8  ,Durham University,United Kingdom,88.3,90.2,,,,88.5
7,11  ,Humboldt-Universität zu Berlin,Germany,89.1,71.6,,,,87.4
8,5  ,Ludwig-Maximilians-Universität München,Germany,89.7,62.7,,,,87
9,7  ,Harvard University,United States,85.7,94.1,,,,86.5
10,9  ,Peking University,China (Mainland),85.3,82.9,,,,85.1
11,18  ,King's College London,United Kingdom,85,82.9,,,,84.8
12,14  ,University of St Andrews,United Kingdom,85.9,73.4,,,,84.7
13,10  ,Leiden University,Netherlands,86.8,60.6,,,,84.2
14,13  ,"University of California, Berkeley (UCB)",United States,82.7,85,,,,82.9
15,15  ,Université Paris 1 Panthéon-Sorbonne ,France,81,90.5,,,,82
16,19  ,Princeton University,United States,83.1,68.1,,,,81.6
17,17  ,Yale University,United States,80.5,86.6,,,,81.1
18,22=,National Taiwan University (NTU),Taiwan,82.9,63.6,,,,81
19,25  ,Alma Mater Studiorum - University of Bologna,Italy,78.7,95.4,,,,80.4
20,27=,Kyoto University,Japan,82,56.8,,,,79.5
21,21  ,UCL,United Kingdom,79.6,77.2,,,,79.4
=22,32  ,KU Leuven,Belgium,80.2,66.9,,,,78.9
=22,22=,University of Pisa,Italy,80.6,63.3,,,,78.9
=24,27=,Ghent University,Belgium,79.3,74,,,,78.8
=24,12  ,Sorbonne University,France,78.3,83.5,,,,78.8
26,20  ,Freie Universitaet Berlin,Germany,78.3,78.3,,,,78.3
=27,26  ,The University of Edinburgh,United Kingdom,78.7,66.9,,,,77.5
=27,24  ,University of Cologne,Germany,80.7,48.2,,,,77.5
29,36  ,Université catholique de Louvain (UCLouvain),Belgium,76.2,85.1,,,,77.1
30,43  ,National Chengchi University,Taiwan,76.9,67.4,,,,76
=31,42  ,Aristotle University of Thessaloniki,Greece,75.3,75.9,,,,75.4
=31,16  ,Stanford University,United States,73.9,89.3,,,,75.4
=31,38  ,Università Cattolica del Sacro Cuore,Italy,73.2,94.7,,,,75.4
=34,34  ,The University of Exeter,United Kingdom,75.3,75.2,,,,75.3
=34,39  ,The University of Sydney,Australia,74.3,84.7,,,,75.3
=36,31  ,Nanjing University,China (Mainland),76.9,55,,,,74.7
=36,35  ,University of Naples - Federico II,Italy,73.4,86.5,,,,74.7
38,,National University of Singapore (NUS),Singapore,72.5,91.9,,,,74.4
39,29  ,Eberhard Karls Universität Tübingen,Germany,76.9,50.1,,,,74.2
=40,30  ,"University of Rome ""Tor Vergata""",Italy,72.4,87.8,,,,73.9
=40,33  ,University of Vienna,Austria,72.9,83.1,,,,73.9
42,51-90,The University of Tokyo,Japan,73.6,73,,,,73.5
43,51-90,Complutense University of Madrid,Spain,72.1,83.8,,,,73.3
44,47  ,University of Zurich,Switzerland,75.3,54.3,,,,73.2
45,51-90,Ca' Foscari University of Venice ,Italy,71.5,84.1,,,,72.8
46,45  ,University of Geneva,Switzerland,72.8,69.8,,,,72.5
47,48  ,Université PSL,France,72,74.7,,,,72.3
48,51-90,Brown University,United States,70.4,88.2,,,,72.2
49,44  ,Università di Padova,Italy,71.6,73.3,,,,71.8
50,37  ,Fudan University,China (Mainland),70.8,79.4,,,,71.7
51-100,51-90,Aarhus University,Denmark,66.1,62.6,,,,
51-100,51-90,Aix-Marseille University,France,69.2,76.2,,,,
51-100,49=,Albert-Ludwigs-Universitaet Freiburg,Germany,67,62.1,,,,
51-100,51-90,Beijing Normal University ,China (Mainland),67.7,56.3,,,,
