2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,University of Amsterdam,Netherlands,100,72.1,97.9,100,,96.8
=2,3  ,The London School of Economics and Political Science (LSE),United Kingdom,89.6,84.9,97.8,88.3,,90.5
=2,2  ,University of Southern California,United States,95.3,67.6,93.4,86.9,,90.5
=4,6  ,"Nanyang Technological University, Singapore (NTU)",Singapore,88.3,81.3,98.4,90.7,,90.1
=4,5  ,University of Texas at Austin,United States,92.9,72.9,90.8,91,,90.1
6,,Harvard University,United States,92.9,100,84.5,82.1,,89.8
7,7  ,University of Pennsylvania,United States,87.5,79.3,91.2,89.4,,87.8
8,4  ,Stanford University,United States,91.7,92.8,87.7,74.8,,87.6
9,10  ,New York University (NYU),United States,91.8,81.5,86.2,79,,87.1
10,14=,University of Vienna,Austria,84,63.5,96.2,94.3,,86.5
11,8  ,University of Wisconsin-Madison,United States,88.3,65.7,91.1,87.2,,86.4
12,,University of Cambridge,United Kingdom,91.2,95.2,79.1,71.9,,85.3
=13,9  ,Michigan State University,United States,83,68.1,94.1,90.4,,85.2
=13,12=,"University of California, Berkeley (UCB)",United States,90.2,86.3,84.4,72.7,,85.2
15,16=,Columbia University,United States,88.5,82.5,85.2,77.9,,85.1
16,11  ,"Goldsmiths, University of London",United Kingdom,91.2,55.4,90.8,78.5,,85
17,16=,Northwestern University,United States,82.3,71.4,93.8,88,,84.7
18,12=,University of Michigan-Ann Arbor,United States,83.7,73.7,91.7,84.8,,84.5
19,19  ,Queensland University of Technology (QUT),Australia,82.4,63.6,96,88,,84.4
20,14=,Massachusetts Institute of Technology (MIT) ,United States,80.2,93.8,100,74.1,,84.3
=21,18  ,"University of California, Los Angeles (UCLA)",United States,88.1,85.7,83.9,73.4,,84.1
=21,33  ,University of Toronto,Canada,83.9,82.2,85.9,83.5,,84.1
23,22  ,Ludwig-Maximilians-Universität München,Germany,80.3,69,95.5,89.4,,84
24,23=,National University of Singapore (NUS),Singapore,86.1,84.9,85,76.7,,83.9
25,21  ,University of Zurich,Switzerland,78.5,62,99.3,92.6,,83.8
26,20  ,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,82.3,72.6,92,83.5,,83.5
27,26  ,King's College London,United Kingdom,85.9,76.7,85.8,77.9,,83.4
28,27=,Yale University,United States,86.4,87.6,84.2,71.9,,83.2
29,35  ,The University of Sydney,Australia,82.5,78.4,85.4,82.6,,82.7
30,34  ,Cornell University,United States,79.9,78.8,90.9,83.1,,82.6
31,25  ,Pennsylvania State University,United States,80.8,71.5,88.1,86.5,,82.5
32,40=,The University of Melbourne,Australia,81.3,80.2,84,84,,82.3
33,27=,The Ohio State University,United States,77.8,66.1,95.9,85.7,,81.8
=34,39  ,Freie Universitaet Berlin,Germany,84.8,63.1,87.1,77.9,,81.7
=34,23=,University of Leeds,United Kingdom,83.7,71.8,83.9,79.6,,81.7
=36,29=,"University of California, Santa Barbara (UCSB)",United States,83.6,54.8,89.9,80.6,,81.4
=36,31  ,University of Illinois at Urbana-Champaign,United States,80.7,65.7,89.1,83.5,,81.4
=38,45=,The University of Edinburgh,United Kingdom,84.4,77.7,81.3,75.4,,81.3
=38,47=,University of British Columbia,Canada,79.6,82.2,84.7,81.6,,81.3
=40,29=,Cardiff University,United Kingdom,80.3,62.4,91.5,82.6,,81.2
=40,32  ,University of Copenhagen,Denmark,80.7,67,90.3,80.6,,81.2
42,36  ,UCL,United Kingdom,78.6,79.8,87.6,81.2,,81
43,51-100,Pontificia Universidad Católica de Chile (UC),Chile,81.2,83.1,85.6,74.1,,80.9
44,43  ,Yonsei University,South Korea,81,75,85.9,73.4,,79.9
=45,42  ,RMIT University,Australia,77.7,69.1,88.5,81.2,,79.7
=45,51-100,University of Chicago,United States,81.5,78.7,84.9,70.3,,79.7
47,51-100,Monash University,Australia,77.2,77.4,84.1,82.1,,79.6
48,40=,University of Washington,United States,74.9,66.9,94.1,82.1,,79.4
49,45=,"University of North Carolina, Chapel Hill",United States,77.8,60.9,88.5,82.1,,79.1
50,37  ,Seoul National University,South Korea,81,77.7,82.2,70.3,,78.8
51-100,47=,Aarhus University,Denmark,79.1,61.5,84,76.7,,
51-100,101-150,Alma Mater Studiorum - University of Bologna,Italy,77.8,72.1,77.4,65.7,,
51-100,51-100,Boston University,United States,63.6,73.2,93.7,82.6,,
