2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,University of Sussex,United Kingdom,100,85.2,93.2,95.2,,96.8
2,4  ,University of Oxford,United Kingdom,91.9,92.1,91.1,99.6,,93
=3,2  ,SOAS University of London ,United Kingdom,97,71.7,92.1,90.3,,92.7
=3,3  ,The London School of Economics and Political Science (LSE),United Kingdom,89.5,98.1,94.6,100,,92.7
5,6  ,University of Cambridge,United Kingdom,91.1,91.5,89.7,94.7,,91.5
6,5  ,Harvard University,United States,92.3,95.1,89,85.1,,91
7,8=,Wageningen University & Research,Netherlands,87.8,71.1,92.8,96.1,,88.1
8,8=,"University of California, Berkeley (UCB)",United States,87.6,82.5,91.9,85.8,,87.5
9,,National University of Singapore (NUS),Singapore,85.2,100,89.2,85.8,,87.4
=10,14  ,The Australian National University,Australia,87.5,86.3,86.7,87.2,,87.2
=10,7  ,The University of Manchester,United Kingdom,85.8,72.1,93.6,96.6,,87.2
12,10  ,Stanford University,United States,87.5,87.6,90.5,81.1,,87
13,17  ,Princeton University,United States,86.1,81.7,85.7,76.3,,84.1
14,,UCL,United Kingdom,80.4,80.5,90.8,92.1,,83.7
=15,16  ,Columbia University,United States,81.6,80.6,89.2,85.1,,83.2
=15,12  ,University of Cape Town,South Africa,85.6,60.8,86.1,85.8,,83.2
17,15  ,The University of Melbourne,Australia,78.8,91.8,88.8,87.8,,83
18,24  ,Cornell University,United States,80.6,66.8,94.2,89.7,,82.6
19,11  ,University of East Anglia (UEA),United Kingdom,81.5,52.4,96.5,90.9,,82.3
=20,,Jawaharlal Nehru University,India,87.4,58.7,82.7,70.3,,81.3
=20,39=,Johns Hopkins University,United States,78.1,80.1,93.4,82.7,,81.3
=20,18  ,University of Chicago,United States,83.9,77.5,83.3,71.6,,81.3
23,19  ,"University of California, Los Angeles (UCLA)",United States,81.1,70.5,88.3,79.3,,80.9
24,13  ,Erasmus University Rotterdam ,Netherlands,75.4,71.1,94.6,93.7,,80.6
25,25  ,University of British Columbia,Canada,78,71.3,91.5,85.1,,80.4
=26,26  ,Leiden University,Netherlands,77.8,76.4,87.6,81.9,,79.7
=26,27  ,The University of Tokyo,Japan,80.5,83,82.5,71.6,,79.7
28,,"Nanyang Technological University, Singapore (NTU)",Singapore,78.9,88.6,84.1,70.3,,79.4
29,20  ,University of Leeds,United Kingdom,74.5,70.6,91.8,90.9,,79.2
=30,50  ,King's College London,United Kingdom,72.3,77.8,92.7,90.9,,78.7
=30,29  ,Massey University,New Zealand,78.1,70.3,89.2,76.3,,78.7
32,36  ,McGill University,Canada,77.3,71.8,88.7,76.3,,78.3
33,35  ,Boston University,United States,72.8,74.6,95,84.3,,78
=34,34  ,The University of Sydney,Australia,71.9,81.3,91.3,86.5,,77.9
=34,22=,University of Amsterdam,Netherlands,74.8,69.2,90.5,83.5,,77.9
36,21  ,University of Toronto,Canada,73.4,75,90.6,83.5,,77.7
37,30=,Universidad Nacional Autónoma de México (UNAM),Mexico,79.4,78.4,76.8,68.9,,77.3
38,45  ,Yonsei University,South Korea,77.9,78.4,82.9,67.4,,77.1
39,46  ,Ghent University,Belgium,72.7,67.6,91.1,85.8,,76.9
40,39=,Universidad de los Andes,Colombia,75.3,80.2,84.3,72.9,,76.8
41,51-100,University of Wisconsin-Madison,United States,77.4,59.3,86.8,74.1,,76.5
42,39=,The University of Hong Kong,Hong Kong SAR,70.7,82.4,89.1,81.1,,76.2
43,49  ,University of Delhi,India,79.7,71,76.9,64.2,,76.1
=44,33  ,Makerere University,Uganda,78.8,52.8,81.4,74.1,,75.9
=44,32  ,University of Witwatersrand,South Africa,77,47.4,83.4,82.7,,75.9
=46,,Pennsylvania State University,United States,73.3,61,90.8,79.3,,75.6
=46,47=,The University of Queensland,Australia,66.9,67.6,98.2,93.1,,75.6
48,30=,The University of Edinburgh,United Kingdom,70.4,74.5,88.7,83.5,,75.5
=49,51-100,Newcastle University,United Kingdom,71.3,64.2,92.4,80.2,,75.1
=49,39=,Université Paris 1 Panthéon-Sorbonne ,France,72.9,73.1,83.7,76.3,,75.1
=49,44  ,"University of California, Davis",United States,75.5,48.2,91.5,75.2,,75.1
51-100,, Western Sydney University,Australia,68.1,60.3,83.2,72.9,,
51-100,51-100,American University,United States,72.7,60,86.5,78.3,,
51-100,51-100,American University of Beirut (AUB),Lebanon,71.2,75.9,71.2,64.2,,
51-100,51-100,"Asian Institute of Technology, Thailand",Thailand,69.9,70,83.5,64.2,,
51-100,51-100,Brown University,United States,73.5,78.6,80.4,67.4,,
51-100,,Cairo University,Egypt,70.1,79.3,75.8,58.3,,
51-100,51-100,Chulalongkorn University,Thailand,72.5,76.7,66,58.3,,
51-100,,Deakin University,Australia,66.5,55.2,91.1,83.5,,
51-100,51-100,Duke University,United States,74,67,85.2,72.9,,
51-100,51-100,Fudan University,China (Mainland),66,79.2,89.5,74.1,,
51-100,51-100,George Washington University,United States,67.2,74.5,87.8,72.9,,
51-100,,Humboldt-Universität zu Berlin,Germany,69.4,65.3,92.6,77.3,,
51-100,51-100,Imperial College London,United Kingdom,70.7,71.2,80.1,65.9,,
51-100,,Kyoto University,Japan,76.4,65.8,74.3,58.3,,
51-100,28  ,Lund University,Sweden,71.5,56.5,89.2,80.2,,
51-100,51-100,Michigan State University,United States,63.6,64.7,93.2,90.9,,
51-100,51-100,Monash University,Australia,61.5,73.6,90.1,85.1,,
51-100,51-100,Nagoya University,Japan,78.6,60,63.7,47.3,,
51-100,,New York University (NYU),United States,66.7,78.4,87.9,79.3,,
51-100,,Politecnico di Milano,Italy,71.8,63.7,77.3,70.3,,
51-100,,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,66.6,33.8,94.5,82.7,,
51-100,101-120,Sapienza University of Rome,Italy,63.5,68.6,91.8,76.3,,
51-100,37  ,Seoul National University,South Korea,66.6,81.2,88.4,67.4,,
51-100,51-100,Stellenbosch University,South Africa,71.7,47.1,81.2,81.9,,
51-100,51-100,The Ohio State University,United States,68.1,54.2,90.8,80.2,,
51-100,51-100,The University of Auckland,New Zealand,68.5,78.8,83,70.3,,
51-100,51-100,The University of Sheffield,United Kingdom,63.4,65,95.1,94.2,,
51-100,51-100,The University of Warwick,United Kingdom,69.6,67.3,91.3,81.1,,
51-100,,The University of Western Australia,Australia,61.6,64.2,90.7,85.1,,
