2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,UCL Institute of Education | University College London,United Kingdom,100,84.1,91.6,97.6,,96.3,
2,2  ,Harvard University,United States,90.7,100,92.9,99.6,,93.9,
3,3  ,Stanford University,United States,88.1,92.1,97.7,99.6,,92.7,
4,5  ,University of Oxford,United Kingdom,89.1,96.8,95,96.1,,92.5
5,4  ,University of Cambridge,United Kingdom,88.5,95.6,99.8,92.5,,92.3
6,6  ,"University of California, Berkeley (UCB)",United States,83.2,85.8,99.5,96.8,,89.4
7,8  ,The University of Hong Kong,Hong Kong SAR,83.5,84.1,93.4,97.2,,88.3
8,7  ,University of Toronto,Canada,82.8,82.8,91.7,100,,88.0
9,10  ,"University of California, Los Angeles (UCLA)",United States,81.2,85.8,90.4,94.2,,86.1
10,11  ,"Nanyang Technological University, Singapore (NTU)",Singapore,83.6,87.3,87,89.8,,85.9
11,9  ,Columbia University,United States,82.5,83,88.4,92.8,,85.8
12,13=,The University of Edinburgh,United Kingdom,81.9,78.4,91.2,91.7,,85.4
13,12  ,The University of Melbourne,Australia,79.1,85.6,89.5,95.4,,85.1
14,13=,University of Michigan-Ann Arbor,United States,78.5,72.5,92.1,98,,84.5
15,17  ,University of Wisconsin-Madison,United States,82,74.8,86.9,92.8,,84.4
16,18  ,Beijing Normal University ,China (Mainland),82.8,73.7,85.1,89.2,,83.6
=17,16  ,Michigan State University,United States,79.1,63,89.1,98.2,,83.3
=17,15  ,University of British Columbia,Canada,77.2,78.6,90,94.2,,83.3
19,29  ,Peking University,China (Mainland),78,94.5,92.8,80.3,,83.1
20,21  ,The Education University of Hong Kong,Hong Kong SAR,83,57.7,85.7,89.2,,82.3
21,22=,King's College London,United Kingdom,76.8,78,91.6,88.6,,82.2
22,26  ,The University of Sydney,Australia,75.4,83.9,87.6,91.7,,82.0
=23,19=,Monash University,Australia,73.4,79.1,89.8,96.5,,81.9
=23,19=,Vanderbilt University,United States,78.5,55.3,90.4,95.2,,81.9
25,24=,University of Helsinki,Finland,81,61.3,86.5,88.9,,81.7
26,30  ,McGill University,Canada,73.4,78.2,93.2,91.2,,81.4
27,28  ,National Taiwan Normal University,Taiwan,76.4,74.4,87.9,90.3,,81.3
=28,22=,Johns Hopkins University,United States,76.5,75.8,88.5,87.6,,81.1
=28,24=,Tsinghua University,China (Mainland),72.7,94,95.1,81.5,,81.1
30,36  ,University of Texas at Austin,United States,72.8,73.5,90.3,95.9,,81.0
31,33  ,Utrecht University,Netherlands,72.1,63.5,94.5,97.8,,80.9
32,42  ,University of Amsterdam,Netherlands,69.2,71.2,100,93.5,,80.4
=33,32  ,Pontificia Universidad Católica de Chile (UC),Chile,78.1,90.7,82.9,77.1,,80.1
=33,40=,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,74.2,78.8,88.4,87.3,,80.1
35,34=,Pennsylvania State University,United States,74.4,66.2,86.4,94.5,,80.0
36,27  ,Gazi Üniversitesi,Turkey,84.7,63.8,86.4,69,,79.8
37,37  ,The University of Auckland,New Zealand,71.9,80.9,86.4,90.3,,79.4
38,31  ,University of Bristol,United Kingdom,70.8,69.7,99.3,85,,79.2
39,51=,Universidad Nacional Autónoma de México (UNAM),Mexico,84,88.7,71,69,,78.9
40,40=,The University of Queensland,Australia,70.2,77.1,88,90.6,,78.5
41,38=,Deakin University,Australia,65.9,69.7,94.2,97.6,,78.3
42,55=,University of Illinois at Urbana-Champaign,United States,74,61.3,85.5,88.6,,78.0
43,51=,"University of Maryland, College Park",United States,67.8,73.5,91.3,91.2,,77.8
=44,44  ,KU Leuven,Belgium,71.7,64.4,87.7,89.5,,77.7
=44,38=,University of Pennsylvania,United States,67.6,76,89.6,92,,77.7
46,59=,Arizona State University,United States,69.1,72.3,85.3,94,,77.6
=47,45=,The University of Manchester,United Kingdom,70.1,77.4,88.9,84.6,,77.5
=47,48  ,University of Nottingham,United Kingdom,70,68.7,90.8,87.3,,77.5
49,43  ,University of Glasgow,United Kingdom,71.4,70.2,88.5,84.2,,77.3
50,59=,New York University (NYU),United States,63.8,77.2,93.8,94.2,,77.2
51,,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,70.2,73.7,96,77.1,,77.1
52,55=,University of Oslo,Norway,70.8,54.5,89.4,91.2,,77.0
53,53=,University of Washington,United States,65.5,66.5,91.3,96.3,,76.9
=54,76=,Abai Kazakh National Pedagogical University,Kazakhstan,94.6,68.2,59.1,54.2,,76.8
=54,59=,The Ohio State University,United States,71,58.3,85.7,91.4,,76.8
56,62=,University of Minnesota Twin Cities,United States,69.2,62.9,86.3,92.5,,76.7
=57,66  ,The University of Tokyo,Japan,78.5,84.1,77.9,66.8,,76.6
=57,68  ,Universitat de Barcelona,Spain,72.7,72.4,82.2,82.7,,76.6
=57,53=,University of Calgary,Canada,63.8,74.5,98.5,87.6,,76.6
=60,49=,Lomonosov Moscow State University,Russia,85,93.8,66.1,56.6,,76.4
=60,47  ,University of York,United Kingdom,67.5,66.5,92.8,87.3,,76.4
=62,72=,The University of New South Wales (UNSW Sydney),Australia,65.2,81.8,87.9,89.5,,76.3
=62,70=,"Trinity College Dublin, The University of Dublin",Ireland,71.7,73.7,85.7,79.8,,76.3
