2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,Massachusetts Institute of Technology (MIT) ,United States,100,100,95.7,88.2,70.5,96.5
2,2  ,Stanford University,United States,94.2,96.2,100,90.3,66.5,93.7
3,4  ,"University of California, Berkeley (UCB)",United States,94.1,91.9,97.1,88.4,69.3,91.9
4,3  ,University of Cambridge,United Kingdom,93.1,97,91,82.8,75,91.8
5,6  ,National University of Singapore (NUS),Singapore,90.8,94.3,94.1,90.7,76.6,91.5
6,5  ,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,92.6,93.8,88.8,83.7,73.4,90.4
7,9  ,University of Oxford,United Kingdom,89.1,97.1,89.7,80.9,73.4,89.8
8,7  ,Imperial College London,United Kingdom,92.5,89.7,86.6,81.5,85.6,89.2
9,10  ,"Nanyang Technological University, Singapore (NTU)",Singapore,87.2,89.2,96.9,93.5,74.1,89.1
10,13  ,EPFL,Switzerland,92.9,85.7,92.7,80.9,78.5,88.5
11,8  ,Delft University of Technology,Netherlands,93,85.6,87.1,82,73.2,87.7
12,12  ,Tsinghua University,China (Mainland),86.1,85.9,91.9,97,66.7,87.2
13,11  ,California Institute of Technology (Caltech),United States,92.1,88.6,94.3,76.6,44.4,87
14,15  ,The University of Manchester,United Kingdom,86.4,83.9,88.6,80.9,88.5,85.3
15,22  ,The University of Tokyo,Japan,86.5,86,84.1,83,61.8,84.4
=16,14  ,Princeton University,United States,91.2,81.5,92.6,74.3,49,84.2
=16,17  ,Seoul National University,South Korea,84.9,87.6,84.8,83,58.9,84.2
18,18  ,Georgia Institute of Technology,United States,84.9,86,90.8,82,47.8,83.8
19,23=,"University of California, Los Angeles (UCLA)",United States,81.8,87.1,92,80.2,63.7,83.6
20,19  ,UCL,United Kingdom,85.9,80.6,86.9,80.2,81.9,83.5
=21,32  ,"KIT, Karlsruhe Institute of Technology",Germany,91,74.4,83,77.7,80.3,82.8
=21,16  ,University of Minnesota Twin Cities,United States,91,76.6,85.9,78.7,57.6,82.8
=23,27  ,Peking University,China (Mainland),79,83.9,93.1,92.8,53.7,82.7
=23,23=,University of Toronto,Canada,80.5,85.8,90.5,82.2,63.9,82.7
25,25=,Yale University,United States,82.1,89.3,93.4,74,38.8,82.5
26,20=,University of Texas at Austin,United States,81.3,83,93.6,80.6,48.2,81.6
27,34  ,Politecnico di Milano,Italy,85.2,82.7,76.8,73.7,74.7,81.4
=28,28  ,Purdue University,United States,76.5,91.2,84.6,78.7,59.5,81.3
=28,93=,Tianjin University,China (Mainland),79.1,81.1,88.2,92,55.5,81.3
=28,20=,University of Wisconsin-Madison,United States,87.2,76.7,88.6,77.7,52.1,81.3
31,31  ,Technical University of Denmark,Denmark,90.1,67,88.4,80.6,77.8,81.2
32,29=,Cornell University,United States,77.9,82,91.7,79.5,72.6,80.8
33,33  ,University of Pennsylvania,United States,80,84,89.7,74.9,52.8,80.4
34,35  ,Eindhoven University of Technology,Netherlands,83.6,74.4,88.9,81.5,61.9,80.2
=35,38=,McGill University,Canada,78.8,82.4,86.1,76.1,64.2,79.7
=35,37  ,University of Michigan-Ann Arbor,United States,74.5,85.3,91.1,80.9,55.5,79.7
=35,36  ,Zhejiang University,China (Mainland),73.6,81.4,85.9,91.7,72,79.7
=38,29=,Northwestern University,United States,77.5,76.9,95.1,84.3,61.6,79.6
=38,51=,Technical University of Munich,Germany,82.2,76.3,86.1,79.7,61.9,79.6
40,38=,RWTH Aachen University,Germany,81.2,73.7,84.6,79.9,87.6,79.5
=41,43=,KU Leuven,Belgium,79.6,76.4,84.4,78.5,83.7,79.3
