2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,Massachusetts Institute of Technology (MIT) ,United States,100,100,92.3,92.4,73.5,96.8
2,2  ,Stanford University,United States,94.7,95.8,95.3,88.8,71.6,93.2
3,3  ,Delft University of Technology,Netherlands,97.5,90.8,88.6,89.2,82.8,92.6
4,4  ,University of Cambridge,United Kingdom,91.9,95.6,93.5,87.5,75.5,91.8
5,13  ,Harvard University,United States,86,98.6,98.8,84.8,63.5,90.1
6,5  ,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,90.2,92.9,91.7,85.9,74.8,89.9
=7,10  ,National University of Singapore (NUS),Singapore,83.8,94.3,96.3,92.4,73.8,89.1
=7,6  ,"University of California, Berkeley (UCB)",United States,90.5,90.8,94.6,86.1,60.9,89.1
=9,7  ,Politecnico di Milano,Italy,89.8,92.3,82.5,83.2,90.5,88.8
=9,9  ,University of Oxford,United Kingdom,88.2,95.6,89.2,80.3,72.2,88.8
11,8  ,Imperial College London,United Kingdom,90,89,89.5,86.1,81.8,88.7
12,11  ,"Nanyang Technological University, Singapore (NTU)",Singapore,82.6,91.5,98.1,97.6,63.9,88.1
13,17=,Tsinghua University,China (Mainland),85.8,88.2,90.6,100,68.6,88
14,14  ,Georgia Institute of Technology,United States,87.2,89.3,90.2,90.3,64.7,87.5
15,12  ,University of Michigan-Ann Arbor,United States,90.2,84.5,90,89,66.8,87.1
16,15  ,Purdue University,United States,84.1,93.6,84.7,85.5,76.2,86.8
17,17=,California Institute of Technology (Caltech),United States,90.3,89,84.5,80,52,86
18,16  ,EPFL,Switzerland,85.6,86.2,88.8,83.2,77.2,85.5
19,19  ,RWTH Aachen University,Germany,89.8,80.4,81.9,80.6,75.4,84.1
20,23  ,KTH Royal Institute of Technology ,Sweden,88.7,76.2,87.4,80.8,86.5,83.7
=21,25  ,Shanghai Jiao Tong University,China (Mainland),82.3,79.3,85.1,92.1,73.9,82.6
=21,20  ,Technical University of Munich,Germany,85.5,83.3,80.8,79.8,66.4,82.6
=21,21=,The University of Tokyo,Japan,85.6,85.7,78.1,79,61.1,82.6
24,21=,The University of Manchester,United Kingdom,76.4,82.9,92.4,83.5,91.9,82
25,34  ,Peking University,China (Mainland),76.6,82.9,97.4,94.9,47.3,81.9
26,32  ,Pennsylvania State University,United States,78.4,81.4,87.6,86.3,78.4,81.4
27,35=,"University of California, Los Angeles (UCLA)",United States,75.6,86.7,92.7,81.8,61.5,81.1
=28,28  ,Cranfield University,United Kingdom,80.3,78,89.4,81.1,67.5,80.2
=28,26=,Politecnico di Torino,Italy,80.2,81.8,79.5,78.1,76.8,80.2
=30,29  ,KU Leuven,Belgium,82.8,73,88.6,78.1,83.2,80
=30,30=,Texas A&M University,United States,76.6,81.2,82.7,81.6,88.9,80
32,38  ,University of Toronto,Canada,75.3,83.7,88.6,81.6,60.9,79.6
33,30=,University of Illinois at Urbana-Champaign,United States,75.6,85.6,83.8,79.5,63.9,79.5
=34,37  ,Technical University of Denmark,Denmark,83.4,72.7,85.7,79.2,71.1,79.3
=34,33  ,University of Texas at Austin,United States,73.2,82.3,90.9,84.2,69.4,79.3
36,39=,Eindhoven University of Technology,Netherlands,81.1,76.9,86.4,76.4,65.1,79.1
37,35=,"KIT, Karlsruhe Institute of Technology",Germany,81.8,75.2,82.3,78.4,72.7,79
38,42  ,McGill University,Canada,78.1,79.5,85.9,77.9,59.6,78.5
39,24  ,KAIST - Korea Advanced Institute of Science & Technology,South Korea,75.2,80.3,87.8,83.9,52.4,78.3
40,39=,Technische Universität Berlin (TU Berlin),Germany,80.7,74.4,82.5,77,70.1,78
41,41  ,Princeton University,United States,78.7,77.6,88.1,73.5,55.6,77.7
42,47  ,The Hong Kong University of Science and Technology,Hong Kong SAR,71.2,80.4,95.9,83.7,49.7,77.5
43,76=,Harbin Institute of Technology,China (Mainland),74.8,71.2,85.9,94,69,77.2
44,62=,Indian Institute of Technology Madras (IITM),India,77.8,79.9,77.3,72.4,64.4,77
=45,48  ,University of Bristol,United Kingdom,77.9,73.3,84.4,77.9,60.9,76.5
=45,49=,Zhejiang University,China (Mainland),71.5,74.2,87.6,92.4,63.2,76.5
47,44  ,Northwestern University,United States,74.3,74.3,92.9,80.3,53.3,76.3
=48,26=,Seoul National University,South Korea,70.7,81,86.4,82.3,51.3,76.2
=48,43  ,Universität Stuttgart,Germany,81.5,70.4,76.7,75.1,69.2,76.2
=50,70=,Indian Institute of Technology Delhi (IITD),India,72.8,81.3,81,73.8,63.5,76
=50,49=,The University of New South Wales (UNSW Sydney),Australia,65.5,79.9,90.7,85.9,75,76
=50,,Université Paris-Saclay,France,70.7,77.9,81,79.5,85.6,76
53,54=,University of Nottingham,United Kingdom,71.5,71.8,89.9,79.2,91.3,75.8
=54,57=,King Fahd University of Petroleum & Minerals,Saudi Arabia,65.6,79.7,95.1,82.1,67.5,75.7
=54,68=,Tokyo Institute of Technology (Tokyo Tech),Japan,75.3,79.2,78.7,72.1,58.5,75.7
56,57=,Chalmers University of Technology,Sweden,76.7,68.8,86.7,78.1,74.2,75.6
57,68=,Indian Institute of Technology Bombay (IITB),India,74.7,84.9,77,68.6,39.4,75.5
58,56  ,University of Waterloo,Canada,64.1,80.9,92.4,82.5,69.2,75.2
=59,52=,Cornell University,United States,71,77.6,88.1,74.2,62.8,75.1
=59,62=,Norwegian University of Science And Technology,Norway,77.6,64.4,82.4,79.5,90.8,75.1
=59,80  ,The University of Hong Kong,Hong Kong SAR,67.1,81.1,94.6,79.8,42.2,75.1
