2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,University of Texas at Austin,United States,100,99.6,94.8,97.2,,98.7
2,4  ,King Fahd University of Petroleum & Minerals,Saudi Arabia,86.1,100,92.4,90.2,,91.8
3,3  ,Texas A&M University,United States,90.8,92.3,89.4,92.3,,91.3
4,5  ,University of Alberta,Canada,91,86.9,92.4,93.1,,90.3
5,6  ,Imperial College London,United Kingdom,84,84.1,97.7,99,,88.3
6,7  ,The University of Adelaide,Australia,82.4,84.6,99.7,94.8,,87.5
7,10  ,Middle East Technical University,Turkey,79.4,92.1,83.7,76.9,,83.5
8,8  ,Khalifa University of Science and Technology,United Arab Emirates,77.3,82.3,92.6,87.9,,82.7
9,11  ,The University of Manchester,United Kingdom,75.1,78,95.3,94.2,,81.9
10,13  ,The University of New South Wales (UNSW Sydney),Australia,71.1,77.4,97.7,100,,81.3
11,12  ,Heriot-Watt University,United Kingdom,71.3,83.3,89,84.6,,79.6
12,,Politecnico di Milano,Italy,74.1,77.1,86.1,91.1,,79.4
13,16=,University of Surrey,United Kingdom,69.6,79.2,95,87.4,,79
14,16=,Universiti Teknologi PETRONAS (UTP),Malaysia,74.1,78.7,85.6,81.9,,78.4
15,9  ,Colorado School of Mines,United States,68.3,79.6,93.1,87.4,,78.3
16,18  ,King Abdullah University of Science & Technology (KAUST),Saudi Arabia,66.2,71,100,97.3,,77.4
17,20  ,The University of Queensland,Australia,68.6,71.7,95.4,93.7,,77.3
18,,"KIT, Karlsruhe Institute of Technology",Germany,72.8,70.1,88.4,91,,77.1
19,22  ,Universidad Nacional Autónoma de México (UNAM),Mexico,72.6,76.2,81.2,82.7,,76.5
=20,14  ,National Research Tomsk Polytechnic University,Russia,73.4,80.4,76.5,75.5,,76.3
=20,19  ,Pennsylvania State University,United States,67,72.1,92.2,93.5,,76.3
22,,Kyoto University,Japan,76.2,62,87.2,90.2,,75.7
23,28  ,University of Copenhagen,Denmark,81.1,54.7,92.9,85.7,,75.6
24,27  ,University of Tehran,"Iran, Islamic Republic of",73.6,59.8,91.7,92.5,,75
25,29=,Universidad de Buenos Aires (UBA),Argentina,69.4,75.8,83.8,77.1,,74.6
26,29=,University of Leeds,United Kingdom,65.4,68.7,93.6,91,,74.5
27,39  ,Sultan Qaboos University,Oman,67,73.6,90.9,76.9,,74.1
28,23  ,Sharif University of Technology,"Iran, Islamic Republic of",73,61,89.5,85.7,,73.8
=29,40=,Kazan (Volga region) Federal University,Russia,77.8,69.2,68.8,69.1,,72.6
=29,38  ,King Saud University,Saudi Arabia,59.1,70.5,92.7,92.6,,72.6
31,37  ,Universidad Industrial de Santander - UIS,Colombia,65.5,80.3,80.6,65.3,,72.2
32,47=,University of Oslo,Norway,70.5,54.1,94.7,90,,72.1
33,31  ,University of Calgary,Canada,61.9,67.2,89.1,88.1,,71.5
34,,Universidade Federal do Rio de Janeiro,Brazil,64.5,68.7,82.2,80.1,,70.8
=35,45=,Saint Petersburg State University,Russia,67.6,69,74.3,78.2,,70.6
=35,40=,University College Dublin,Ireland,60.7,66.2,90.9,85.5,,70.6
37,40=,Cairo University,Egypt,59.2,71.9,85,83.1,,70.5
38,35  ,Norwegian University of Science And Technology,Norway,65.8,59.4,85.9,89.4,,70.4
=39,34  ,Amirkabir University of Technology,"Iran, Islamic Republic of",66.3,58.5,88,86.2,,70.2
=39,36  ,Curtin University,Australia,56.2,63.9,95.7,94.3,,70.2
41,45=,Istanbul Technical University,Turkey,59.8,70,83.9,83.9,,70.1
=42,51-100,Indian Institute of Technology Guwahati (IITG),India,57.1,72.5,86.1,82.3,,69.9
=42,32  ,University of Southern California,United States,56.3,66.4,93.7,89.1,,69.9
=44,26  ,Aalborg University,Denmark,64.8,47.3,98,99.3,,69.7
=44,47=,RUDN University,Russia,65.3,67,81.2,75.2,,69.7
46,51-100,Universidad de los Andes,Colombia,62.6,71.4,84.1,69.5,,69.5
47,33  ,University of Oklahoma,United States,59,63.1,91.2,87.3,,69.3
48,49  ,Texas Tech University,United States,56.5,70.8,88,80.3,,69.1
49,51-100,University of Liverpool,United Kingdom,59.8,59,92.8,88.4,,68.8
50,51-100,Novosibirsk State University,Russia,63.5,70.7,73.6,73.7,,68.7
51-100,51-100,AGH University of Science and Technology,Poland,48.9,49.8,75.5,76.9,,
51-100,,American University of Beirut (AUB),Lebanon,54.4,73,90.5,74.6,,
51-100,101-150,"Arab Academy for Science, Technology and Maritime Transport",Egypt,46,54.4,80.9,71.7,,
51-100,101-150,Beirut Arab University ,Lebanon,47.7,55.6,76.6,59.4,,
51-100,51-100,Brunel University London,United Kingdom,45.6,53.7,96.7,84.6,,
51-100,51-100,Case Western Reserve University,United States,48.5,56.1,94.7,81.4,,
51-100,101-150,China University of Geosciences,China (Mainland),52.3,33.2,93.3,96,,
51-100,51-100,China University of Petroleum,China (Mainland),58.5,36.6,89.3,91.5,,
51-100,,Chung-Ang University (CAU),South Korea,38,53.8,87.9,83.1,,
51-100,51-100,Cranfield University,United Kingdom,45.9,62.4,93.3,83.3,,
51-100,51-100,Dalhousie University,Canada,55.8,52.9,92.3,81.4,,
51-100,51-100,Escuela Superior Politécnica del Litoral (ESPOL),Ecuador,49.6,62.7,83.3,63.4,,
51-100,51-100,Instituto Politécnico Nacional (IPN),Mexico,55,76.8,79.2,74.6,,
51-100,,Isfahan University of Technology,"Iran, Islamic Republic of",44.7,38.9,90.3,81.9,,
51-100,101-150,King Mongkut\'s Institute of Technology Ladkrabang,Thailand,45.4,52.9,75,73,,
51-100,,Kobe University,Japan,50.7,46.5,80.9,75.2,,
51-100,51-100,Kuwait University,Kuwait,48.7,52.9,83.5,70.3,,
51-100,101-150,Lebanese American University,Lebanon,45.9,60.9,80.3,61.2,,
51-100,,Loughborough University,United Kingdom,49.1,62.5,93.5,85,,
51-100,51-100,Louisiana State University,United States,39.1,52.7,88.3,82.1,,
51-100,,Macquarie University,Australia,56.7,55.3,93.7,88.2,,
51-100,51-100,Memorial University of Newfoundland,Canada,42.6,59.7,92.7,84.6,,
51-100,51-100,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,50.9,59.7,79.3,68.8,,
51-100,51-100,Qatar University,Qatar,53.6,49.6,94.9,86.4,,
51-100,51-100,Saint-Petersburg Mining University,Russia,55.4,63,73.1,67.9,,
51-100,51-100,Satbayev University,Kazakhstan,58.6,53.3,65.6,61.8,,
51-100,,Savitribai Phule Pune University,India,33.4,74.1,78.6,77.1,,
51-100,101-150,Shiraz University,"Iran, Islamic Republic of",44.9,42.2,89,83.9,,
51-100,101-150,Skolkovo Institute of Science and Technology,Russia,41.9,53.3,85.9,75.2,,
51-100,101-150,Technical University of Crete,Greece,44.9,38.7,93.2,75.8,,
51-100,51-100,The American University in Cairo,Egypt,54.1,73.7,79.7,67.1,,
51-100,51-100,The University of Lahore,Pakistan,46.3,53.5,92.2,76.3,,
51-100,51-100,United Arab Emirates University,United Arab Emirates,54.8,66.4,84.2,73.7,,
51-100,,Universidad Central de Venezuela,Venezuela,44.5,64,73.6,59.4,,
51-100,101-150,Universidad Nacional de Ingeniería Peru,Peru,48.4,60.7,69.5,56.8,,
51-100,,Universidade Federal do Ceará (UFC),Brazil,44.7,51.4,85.1,75.5,,
51-100,51-100,Università degli Studi di Perugia,Italy,48.7,42.6,89.4,81.9,,
51-100,51-100,Universiti Putra Malaysia (UPM),Malaysia,60.7,54.5,87.6,85,,
51-100,101-150,Universiti Teknologi Brunei,Brunei,43.1,56.9,81.2,60.6,,
51-100,50  ,Universiti Teknologi Malaysia ,Malaysia,57.6,60.3,85.6,89.3,,
51-100,51-100,University of Aberdeen,United Kingdom,59.7,54.3,90.2,79.4,,
51-100,51-100,University of Baghdad,Iraq,49.1,62.2,78.4,72,,
51-100,101-150,University of Belgrade,Serbia,51.8,35.8,80.4,78.9,,
51-100,51-100,University of Bergen,Norway,66,48.2,88.9,79.6,,
51-100,51-100,University of Houston,United States,49.7,52,92.9,90.6,,
51-100,51-100,University of Kansas,United States,43.8,50.4,87.3,77.7,,
51-100,51-100,University of Pittsburgh,United States,48.4,51.9,93.5,83.5,,
51-100,51-100,University of Sharjah,United Arab Emirates,46.7,67,87.5,79.9,,
51-100,101-150,University of the Punjab,Pakistan,48.4,54.1,85.8,72.7,,
51-100,101-150,University of Zagreb,Croatia,49.9,39.8,80.1,79.4,,
101-150,101-150,Aligarh Muslim University,India,39.3,44.1,88.9,80.1,,
101-150,,Asia Pacific University of Technology and Innovation (APU),Malaysia,37.6,54.6,63.7,53.8,,
101-150,,Azerbaijan State Oil and Industry University,Azerbaijan,42.7,54.2,47.5,39.3,,
101-150,,British University in Egypt,Egypt,31.8,48.4,79.4,61.8,,
101-150,,China University of Petroleum (East China),China (Mainland),38.5,17.1,88.5,90.6,,
101-150,101-150,Chittagong University of Engineering and Technology,Bangladesh,42,47.5,78.2,64.4,,
101-150,,Dnipro Polytechnic National Technical University,Ukraine,42.2,42.1,65.8,48.3,,
101-150,151-160,Edith Cowan University ,Australia,34.2,46.3,96,76.6,,
101-150,,Future University in Egypt,Egypt,29.7,58.8,77.2,60,,
101-150,101-150,"Indian School of Mines (ISM) University, Dhanbad",India,32.1,44,86.7,84.6,,
