2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,University of Oxford,United Kingdom,98.2,97.2,93.1,100,,97.6
2,2  ,The London School of Economics and Political Science (LSE),United Kingdom,100,87.7,93.5,92.7,,96.7
3,3  ,University of Cambridge,United Kingdom,96.6,96.7,92.4,97.4,,96.1
4,,Harvard University,United States,95.7,100,91.8,92.3,,95
5,4  ,"University of California, Berkeley (UCB)",United States,93.5,87.6,100,96.1,,94.3
6,5  ,National University of Singapore (NUS),Singapore,93.1,85.8,92.6,92.3,,92.2
7,6  ,UCL,United Kingdom,90.9,86.7,92.2,99.4,,92
8,,Stanford University,United States,90.2,93,97.6,87.4,,91.2
9,7  ,University of British Columbia,Canada,90.7,82.5,93.8,92.7,,90.6
10,8  ,"University of California, Los Angeles (UCLA)",United States,90.3,80.1,95.6,92.3,,90.4
11,9  ,The Australian National University,Australia,88,81.7,92.6,88.3,,88.1
12,10  ,University of Amsterdam,Netherlands,88,72,92,91.9,,87.6
13,11  ,University of Toronto,Canada,86.4,81.7,89.8,92.7,,87.4
=14,12  ,Humboldt-Universität zu Berlin,Germany,86,77.9,97.9,88.3,,87.3
=14,13  ,The University of Hong Kong,Hong Kong SAR,87.1,79.4,92.1,88.3,,87.3
16,14  ,Durham University,United Kingdom,84.6,78.1,96.9,91.4,,86.8
17,,Yale University,United States,86.6,88.9,93.2,77.3,,86.4
18,16  ,The University of Tokyo,Japan,88.7,86.8,85.4,75.1,,86
19,17=,The University of Manchester,United Kingdom,81.5,78.4,95.9,97.4,,85.7
20,17=,The University of Melbourne,Australia,83.1,84.8,88.4,93.1,,85.6
21,21  ,The University of Sydney,Australia,84,80.6,91.9,87.8,,85.4
=22,19=,The University of Edinburgh,United Kingdom,84.2,82.3,88.2,85.8,,84.9
=22,22  ,Utrecht University,Netherlands,83,64.5,95.9,95,,84.9
24,23  ,King's College London,United Kingdom,81.7,79,94.6,90.2,,84.6
25,15  ,Peking University,China (Mainland),80.7,85.7,91.7,91,,84.4
26,,University of Michigan-Ann Arbor,United States,81.2,73.4,94.3,91,,83.9
27,19=,University of Chicago,United States,86.4,82.3,79.8,78.7,,83.8
28,,Leiden University,Netherlands,88,62.3,88.8,74.3,,83.5
