2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,100,99.2,94.1,97.1,73.4,95.1
2,2=,Harvard University,United States,89.4,100,97.3,97.9,73.8,93
3,6  ,University of Oxford,United Kingdom,91.2,96.2,94.5,95,76,92
4,4  ,University of Cambridge,United Kingdom,91.9,95.8,94.8,92.7,77.3,91.8
=5,2=,California Institute of Technology (Caltech),United States,87.8,91.8,92.5,100,76.8,91.3
=5,7  ,Massachusetts Institute of Technology (MIT) ,United States,92.3,98.3,93.4,93.7,70.1,91.3
=5,5  ,"University of California, Berkeley (UCB)",United States,90.6,92,94.5,95.5,74.3,91.3
8,8=,Columbia University,United States,87,77.5,99.6,98.1,76.4,90.9
9,8=,Stanford University,United States,91.2,96.7,93.1,93.7,66.2,90.4
10,10  ,University of Washington,United States,94.2,72.4,95.5,95.7,68.9,90.2
11,14=,Princeton University,United States,84.2,86.3,97.7,94.8,62.6,88.3
12,12  ,University of Colorado Boulder,United States,89.1,73.2,90.8,96.9,72.4,88.2
=13,11  ,The Australian National University,Australia,91.3,86.6,92.7,88,68.5,88.1
=13,13  ,The University of Tokyo,Japan,88.8,87.5,87.2,92.3,78.4,88.1
15,17=,University of British Columbia,Canada,95.1,84.9,89,87.1,60.3,87.1
=16,16  ,Sorbonne University,France,73.7,82.7,90.3,95.9,100,86.9
=16,21  ,UCL,United Kingdom,84.5,78.8,90.9,90.5,83.2,86.9
18,22=,University of Leeds,United Kingdom,88.3,74.7,91.8,88.9,76.3,86.8
=19,35=,Delft University of Technology,Netherlands,93.6,89.9,82.5,86.4,74.4,86.7
=19,24  ,The University of Edinburgh,United Kingdom,85,84.6,92.5,89.5,72.5,86.7
=21,14=,Pennsylvania State University,United States,85.4,85.3,90.6,90.1,71.8,86.5
=21,31=,Utrecht University,Netherlands,93.3,68.8,91.7,89.2,63.8,86.5
23,17=,University of Texas at Austin,United States,87.8,79.1,88.7,91.4,70,86.3
24,20  ,"University of California, Los Angeles (UCLA)",United States,84.4,87.4,90,91,67.5,86.1
=25,45  ,Peking University,China (Mainland),82.2,85.8,91.1,93.9,62.4,85.7
=25,19  ,"University of California, San Diego (UCSD)",United States,86.6,72.9,92.7,91.4,64.3,85.7
=27,26  ,"University of Maryland, College Park",United States,72,77.3,97.1,96.9,77.2,85.6
=27,25  ,University of Toronto,Canada,84.1,84.9,92.7,90.7,60.3,85.6
29,35=,Université Grenoble Alpes,France,84,62.4,90.5,90.6,83.3,85
30,51-100,The University of Exeter,United Kingdom,83.2,74,95.3,89.3,61.9,84.7
31,39=,The University of New South Wales (UNSW Sydney),Australia,80.5,81.7,91.2,89.6,71,84.6
=32,22=,The University of Arizona,United States,82.5,58.3,92,92.3,78.1,84.5
=32,31=,Tsinghua University,China (Mainland),75.2,86.3,91.1,95.9,65.2,84.5
=34,27=,Imperial College London,United Kingdom,85.7,90.2,87.3,86.6,61.9,84.4
=34,42  ,Wageningen University & Research,Netherlands,76,87.9,96.2,88,68,84.4
36,27=,University of Bristol,United Kingdom,87.2,73.4,90.9,85.4,66.8,84.3
37,39=,McGill University,Canada,84.5,84.9,92.6,85.7,55.5,84
38,50  ,Stockholm University,Sweden,82.6,62.3,94.3,88.9,69.8,83.8
39,38  ,Texas A&M University,United States,80.8,79.6,88.9,88.7,71.3,83.7
40,31=,Yale University,United States,77.2,87.7,96.3,85.9,57.8,83.3
41,41  ,University of Michigan-Ann Arbor,United States,79.1,76.4,89.9,89.2,69.1,83.1
=42,29  ,Curtin University,Australia,78.6,76.7,87.4,88.3,77.1,82.9
=42,51-100,"University of California, Davis",United States,78.8,77,96.7,86.1,58.2,82.9
=42,43  ,University of Southampton,United Kingdom,78.3,74,89.9,88.6,73.8,82.9
45,48=,University of Copenhagen,Denmark,79.8,69.1,93.1,86.6,69.1,82.7
46,51-100,University of Bern,Switzerland,82.9,63.4,91.9,87.2,65.9,82.6
=47,30  ,The University of Western Australia,Australia,81.3,73.6,86.9,85.4,75.8,82.4
=47,44  ,University of Hawaiʻi at Mānoa,United States,70.3,84,92.5,89.5,74.3,82.4
=49,51-100,Monash University,Australia,74.1,77.6,94.2,90.6,60.7,82.3
=49,34  ,The University of Melbourne,Australia,82.5,87.1,89,85.4,52.5,82.3
=49,51-100,University of Oslo,Norway,84,64.5,91.7,86.9,59.6,82.3
51-100,101-150,Aarhus University,Denmark,70.9,69.7,90.3,82.8,,64.9
51-100,51-100,Alma Mater Studiorum - University of Bologna,Italy,68.1,79.4,88.5,82.6,,69.7
51-100,51-100,Arizona State University,United States,78,64.1,92.5,86.9,,63.1
51-100,46  ,Colorado State University,United States,78.4,82.1,93.5,88.7,,46.8
51-100,51-100,Cornell University,United States,73.7,84.6,92.4,85.4,,62.4
51-100,47  ,Durham University,United Kingdom,74.7,70,94.4,88.1,,67.2
51-100,51-100,EPFL,Switzerland,74.1,90.6,92.1,80.6,,56
51-100,51-100,Georgia Institute of Technology,United States,70.4,78.1,90,85,,52.6
51-100,101-150,Ghent University,Belgium,75,65,91.2,83.4,,70.7
51-100,51-100,Johns Hopkins University,United States,73.4,71.6,90.3,87.2,,62.5
51-100,101-150,"KIT, Karlsruhe Institute of Technology",Germany,69,62.7,90.4,85.6,,74.8
51-100,51-100,Kyoto University,Japan,81.4,75.1,82.9,84.3,,66.4
51-100,51-100,Ludwig-Maximilians-Universität München,Germany,71.8,63.1,94.9,87.5,,64.8
51-100,51-100,Lund University,Sweden,76.7,62.3,94.3,84.3,,66.7
51-100,51-100,Nanjing University,China (Mainland),74.6,71.2,89.6,92.7,,58.6
51-100,51-100,"Nanyang Technological University, Singapore (NTU)",Singapore,83.4,89.2,84.8,77.6,,47.5
51-100,101-150,Newcastle University,United Kingdom,73.5,73.7,89.6,80.4,,60.1
