2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,Harvard University,United States,97.7,100,99.5,100,,98.5
2,2  ,University of Oxford,United Kingdom,100,99.2,89.3,97.8,,98
3,3  ,University of Cambridge,United Kingdom,99.4,98.3,89.4,94.6,,97.1
4,6  ,The London School of Economics and Political Science (LSE),United Kingdom,92.2,88.4,96.6,91.8,,92.4
5,4=,Yale University,United States,92.6,90.4,93.2,87.9,,91.8
6,7  ,"University of California, Berkeley (UCB)",United States,91.1,88.7,94,87.9,,90.8
7,8  ,Columbia University,United States,89.2,90.7,96.4,89.5,,90.5
8,4=,Stanford University,United States,88.8,94.7,95,88.7,,90.3
9,10  ,Princeton University,United States,91.5,83.5,92,81,,89.2
10,9  ,"University of California, Los Angeles (UCLA)",United States,86.8,85,95.1,89.5,,88.3
11,13=,National University of Singapore (NUS),Singapore,90.2,89.6,88.4,76.1,,87.8
12,19  ,The University of Tokyo,Japan,94.4,87.8,77.7,66.3,,87
13,13=,The Australian National University,Australia,85.8,86.1,92.3,86.1,,86.9
14,11  ,University of Chicago,United States,88.8,82.7,87.8,79.8,,86.7
15,12  ,UCL,United Kingdom,80.3,87.2,96.3,97.2,,85.9
16,20  ,Université Paris 1 Panthéon-Sorbonne ,France,89.2,81.4,79.2,78.6,,85.3
17,17=,Peking University,China (Mainland),89.5,85.6,82.9,70,,85.2
18,17=,Leiden University,Netherlands,88.8,67.8,85.4,81,,85
19,28=,Freie Universitaet Berlin,Germany,87.4,78.4,83.8,78.6,,84.6
20,15=,University of Toronto,Canada,80.2,85.6,93.1,92.6,,84.5
21,15=,University of Michigan-Ann Arbor,United States,78.4,82.6,98.8,94.6,,84.3
22,21=,The University of Edinburgh,United Kingdom,80.4,87.1,91.4,90.3,,84.2
23,21=,King's College London,United Kingdom,80.7,84.3,92.2,88.7,,84
24,34  ,Kyoto University,Japan,93.2,79.5,68.3,56.8,,82.6
25,25  ,University of Pennsylvania,United States,77.1,82.6,98.4,87,,82.3
26,33  ,New York University (NYU),United States,78,84.4,90.9,87,,81.9
27,27  ,Ludwig-Maximilians-Universität München,Germany,82,70.6,88.4,82.1,,81.8
=28,24  ,University of Amsterdam,Netherlands,77.9,69.3,94,92.6,,81.7
=28,31  ,University of British Columbia,Canada,76,85.6,96.3,87,,81.7
30,36  ,Universidad Nacional Autónoma de México (UNAM),Mexico,85.4,85.2,75.9,70,,81.6
31,35  ,Humboldt-Universität zu Berlin,Germany,83.2,81.1,81.8,73.2,,81.3
32,23  ,Cornell University,United States,77.3,79.5,95,83.1,,81
=33,28=,The University of Manchester,United Kingdom,76.2,80.9,94.1,86.1,,80.8
=33,43=,University of Vienna,Austria,80.3,76.7,84.2,82.1,,80.8
35,38=,The University of Melbourne,Australia,75.7,85.5,89.9,87,,80.5
36,37  ,Sorbonne University,France,81.3,79.1,79.4,78.6,,80.4
=37,26  ,Johns Hopkins University,United States,74.5,78.1,100,85.1,,80.3
=37,32  ,The University of Sydney,Australia,75.3,83,90.8,87.9,,80.3
=37,30  ,"University of North Carolina, Chapel Hill",United States,77.9,61.7,96.3,86.1,,80.3
=40,48  ,Ruprecht-Karls-Universität Heidelberg,Germany,81.1,73.4,83.8,76.1,,80
=40,47  ,The University of Hong Kong,Hong Kong SAR,78.1,85.5,87.6,76.1,,80
42,38=,Durham University,United Kingdom,74.8,83.3,94.2,81,,79.5
43,43=,University of St Andrews,United Kingdom,78,76.5,84.4,78.6,,78.9
44,42  ,McGill University,Canada,72.5,85.3,94.3,84.2,,78.8
45,49  ,Sapienza University of Rome,Italy,80,73.5,77.5,77.4,,78.6
46,50  ,Ecole des Hautes Etudes en Sciences Sociales (EHESS),France,83.7,37,81.2,82.1,,78.4
=47,51-100,Alma Mater Studiorum - University of Bologna,Italy,77,79.8,80.1,79.8,,78.2
=47,40  ,University of Wisconsin-Madison,United States,76.2,61.3,91.5,84.2,,78.2
=49,45=,The University of Warwick,United Kingdom,72.8,80.2,90.1,84.2,,77.8
=49,45=,University of Texas at Austin,United States,72.9,72.8,92.4,86.1,,77.8
51-100,51-100,Brown University,United States,71.1,72.7,91.5,76.1,,
51-100,101-150,Ca' Foscari University of Venice ,Italy,71.1,68.4,80.4,74.7,,
51-100,51-100,Central European University,Austria,75.7,64.5,75.8,64.2,,
51-100,51-100,Colegio de México,Mexico,82,69.1,68.4,66.3,,
51-100,51-100,Complutense University of Madrid,Spain,76.3,77,75.3,77.4,,
51-100,41  ,Duke University,United States,74.5,69.5,91.1,79.8,,
51-100,51-100,Eberhard Karls Universität Tübingen,Germany,72.5,70.9,83.3,74.7,,
51-100,51-100,European University Institute,Italy,77.8,60.1,82.6,78.6,,
51-100,51-100,Fudan University,China (Mainland),82,79.6,70.7,59.5,,
51-100,51-100,George Washington University,United States,64,77.1,91.9,78.6,,
51-100,51-100,Georgetown University,United States,67.8,74.9,87.9,74.7,,
51-100,51-100,HSE University,Russia,71.3,76.1,75.4,74.7,,
51-100,51-100,KU Leuven,Belgium,73.3,68.5,83.5,78.6,,
51-100,51-100,Lomonosov Moscow State University,Russia,75.5,83.9,67.6,66.3,,
51-100,51-100,Lund University,Sweden,67.8,64.1,92.1,83.1,,
51-100,51-100,Massachusetts Institute of Technology (MIT) ,United States,66.9,93.6,93.1,77.4,,
51-100,51-100,Monash University,Australia,65.8,79,90.3,84.2,,
51-100,51-100,"Nanyang Technological University, Singapore (NTU)",Singapore,74.7,82.7,79.5,70,,
51-100,51-100,National Taiwan University (NTU),Taiwan,83.4,81.2,71.8,56.8,,
51-100,51-100,Pontificia Universidad Católica de Chile (UC),Chile,77.5,80.9,79.9,66.3,,
51-100,51-100,Queen Mary University of London,United Kingdom,73.7,65.1,87.4,78.6,,
51-100,101-150,Sciences Po ,France,77,66.6,77.3,68.2,,
51-100,51-100,Seoul National University,South Korea,79.9,83.2,73.7,61.9,,
51-100,51-100,SOAS University of London ,United Kingdom,76,67.8,81.4,74.7,,
51-100,51-100,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,78.3,82.4,72.7,56.8,,
51-100,51-100,The University of Exeter,United Kingdom,70.9,77.4,89.9,82.1,,
51-100,51-100,The University of New South Wales (UNSW Sydney),Australia,67.9,80.7,93.1,79.8,,
51-100,51-100,The University of Queensland,Australia,67.1,79.2,89,81,,
51-100,51-100,"Trinity College Dublin, The University of Dublin",Ireland,73.5,77.5,90.5,82.1,,
51-100,101-150,Universidad Autónoma de Madrid,Spain,70.2,76,78.7,70,,
51-100,51-100,Universidad de Buenos Aires (UBA),Argentina,80.6,78.8,72.8,70,,
51-100,51-100,Universidad de Chile,Chile,74.9,80.3,79.5,71.6,,
51-100,51-100,Universidad de los Andes,Colombia,77,75,78.4,66.3,,
51-100,51-100,Universidade de São Paulo,Brazil,77,73.1,79.7,77.4,,
51-100,51-100,Université PSL,France,72.4,73.7,80.3,79.8,,
51-100,51-100,University College Dublin,Ireland,66.8,72.1,89.7,83.1,,
51-100,51-100,University of Birmingham,United Kingdom,64.4,73.7,89.7,83.1,,
51-100,51-100,University of Bristol,United Kingdom,64,84.1,90.7,85.1,,
51-100,51-100,University of Copenhagen,Denmark,66.6,64.8,89.7,85.1,,
51-100,51-100,University of Geneva,Switzerland,66.5,66.2,93.7,83.1,,
51-100,51-100,University of Glasgow,United Kingdom,72.3,68.8,91.8,86.1,,
51-100,51-100,University of Groningen,Netherlands,67.8,56.6,89.5,79.8,,
51-100,51-100,University of Helsinki,Finland,67.3,57.8,89.3,85.1,,
51-100,51-100,University of Leeds,United Kingdom,69.5,77.7,89.7,83.1,,
51-100,51-100,University of Minnesota Twin Cities,United States,66.4,56.9,95.6,87,,
51-100,51-100,University of Notre Dame,United States,67.8,72.5,87.5,77.4,,
51-100,51-100,University of Washington,United States,66.9,70.9,97.7,82.1,,
51-100,51-100,University of York,United Kingdom,69.9,71.3,89.3,82.1,,
51-100,101-150,University of Zurich,Switzerland,70.9,72.2,91.4,76.1,,
51-100,51-100,Utrecht University,Netherlands,70.6,58.1,91.1,87.9,,
51-100,101-150,Waseda University,Japan,78.7,75.8,72.8,53.7,,
101-150,101-150,Aarhus University,Denmark,61.4,59.8,93.5,82.1,,
101-150,101-150,Albert-Ludwigs-Universitaet Freiburg,Germany,66.2,68.9,77.1,68.2,,
101-150,101-150,Emory University,United States,60.3,61,94.4,84.2,,
