2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1,Ecole hôtelière de Lausanne (EHL Hospitality Business School),Switzerland,100,100,83.6,,,99.2
2,3,SHMS - Swiss Hotel Management School,Switzerland,93.2,98.1,,,,91
3,6,Cesar Ritz Colleges,Switzerland,94.4,96.7,,,,90.8
4,2,University of Nevada - Las Vegas,United States,97.3,82.7,86.5,,,89.5
5,4,Les Roches Global Hospitality Education,Switzerland,86.9,98.7,,,,88.5
6,7,Hotel Institute Montreux - HIM,Switzerland,91.2,93.4,,,,87.7
7,8,Culinary Arts Academy Switzerland,Switzerland,92.2,91.8,,,,87.4
8,5,Glion Institute of Higher Education,Switzerland,85.5,96.7,,,,86.8
9,13,The Emirates Academy of Hospitality Management (EAHM),United Arab Emirates,74.1,87.1,82.2,,,81
10,9,Hotelschool The Hague,Netherlands,80.9,87.4,,,,80.1
11,12,The Hong Kong Polytechnic University,Hong Kong SAR,88.4,55.6,85.7,,,71.9
12,10,Macao Institute for Tourism Studies (IFTM),Macau SAR,74.1,68.5,80.7,,,71.6
13,11,Hotel School Vatel,France,69.5,79.9,,,,71.2
14,20,Cornell University | School of Hotel Administration,United States,82.6,56.7,72.1,,,69.1
15,15,University of Surrey,United Kingdom,83.6,53.7,90.7,,,69
16,14,Escuela Universitaria de hosteleria y turismo de Sant Pol de Mar,Spain,62.1,81.6,,,,68.7
17,19,Bournemouth University,United Kingdom,74.4,54.7,89.5,,,65.3
17,21,"IMI-Luzern - International Hotel Management School, Switzerland",Switzerland,62,74.8,,,,65.3
19,17,Taylor's University,Malaysia,77.2,51.7,80.2,,,64.6
20,24,Oxford Brookes University,United Kingdom,67.3,59,86.4,,,64.1
21,23,Pennsylvania State University | School of Hospitality Management,United States,74.8,52.3,79.8,,,63.8
22,16,University of Central Florida,United States,79.1,46.9,85.9,,,63.3
23,18,"Hotel and Tourism Management Institute, Switzerland",Switzerland,61,70.6,,,,62.8
24,29,Griffith University,Australia,75.2,49.2,84.9,,,62.7
25,22,Blue Mountains International Hotel Management School (BMIHMS),Australia,69.3,62.1,,,,62.2
26,25,Virginia Polytechnic Institute and State University,United States,71,50.1,86.2,,,61.3
