2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,Harvard University,United States,100,100,93.5,100,,99.7
2,2  ,University of Oxford,United Kingdom,99.6,97.2,91.2,97,,98.1
3,3  ,University of Cambridge,United Kingdom,97.8,96.5,90.6,98,,97.1
4,4  ,Yale University,United States,95.8,88.9,98.5,98.7,,94.3
5,5  ,Stanford University,United States,92.8,93.1,96.5,95.5,,93.5
6,6  ,New York University (NYU),United States,94.9,83.5,92.4,97,,91.7
7,7  ,The London School of Economics and Political Science (LSE),United Kingdom,90.1,89.7,91,93.9,,90.6
8,8  ,Columbia University,United States,90.2,84.1,91,96.6,,89.4
9,9  ,"University of California, Berkeley (UCB)",United States,89.6,85.5,92,94.3,,89.2
10,11  ,The University of Melbourne,Australia,90.6,83,85.6,91.8,,88.3
11,10  ,University of Chicago,United States,88.6,80.7,97.5,97,,87.9
=12,12  ,National University of Singapore (NUS),Singapore,88.4,89.9,86.5,80.5,,87.6
=12,13  ,The University of New South Wales (UNSW Sydney),Australia,88.9,84.6,86.3,89.9,,87.6
14,14  ,UCL,United Kingdom,83.9,79.3,92.9,96.3,,84.8
15,15  ,King's College London,United Kingdom,86.9,78.2,85.2,87.4,,84.3
16,16  ,The University of Sydney,Australia,85.3,81.4,84.6,85.7,,84.2
=17,18  ,Université Paris 1 Panthéon-Sorbonne ,France,93.1,78,71.6,62.9,,83
=17,19=,University of Toronto,Canada,83.3,78.6,85.9,89.5,,83
19,22  ,"University of California, Los Angeles (UCLA)",United States,75.6,84.8,94.8,93.9,,82.1
=20,17  ,The University of Edinburgh,United Kingdom,84.1,77.1,84.7,83.9,,82
=20,25  ,The University of Hong Kong,Hong Kong SAR,83.6,79.2,86.1,81.2,,82
22,19=,The University of Tokyo,Japan,86.2,84.3,90.9,59.6,,81.9
23,21  ,Georgetown University,United States,83.7,72.5,91.8,90.9,,81.8
24,23  ,Leiden University,Netherlands,89.1,65.3,84.2,86.3,,81.3
25,24  ,The Australian National University,Australia,80.6,79.5,85.2,84.5,,81.1
=26,33  ,Universidad de Buenos Aires (UBA),Argentina,84.7,85.1,68.7,64.4,,81
=26,26  ,Universidad Nacional Autónoma de México (UNAM),Mexico,85.9,85.9,66.9,59.6,,81
28,29=,McGill University,Canada,82.5,76.8,81.9,79.8,,80.4
29,27  ,University of Pennsylvania,United States,74.5,77.9,96.6,98.7,,80.3
30,29=,Duke University,United States,75.8,76,92.8,94.3,,79.5
=31,28  ,Peking University,China (Mainland),79.6,86,82.2,64.4,,79.4
=31,37  ,Pontificia Universidad Católica de Chile (UC),Chile,79.5,87.1,72.4,65.8,,79.4
33,29=,Tsinghua University,China (Mainland),76.3,84.2,91.2,73.8,,79
34,34=,Cornell University,United States,75.3,75.5,97.4,91.4,,78.9
35,36  ,University of Amsterdam,Netherlands,79.6,68.4,87.1,90.9,,78.3
=36,40=,Monash University,Australia,73.9,77.3,89,90.9,,78.2
=36,34=,University of Michigan-Ann Arbor,United States,76.1,73.5,91.5,89.9,,78.2
=38,32  ,Queen Mary University of London,United Kingdom,80.5,72.5,83.2,79.8,,78.1
=38,40=,Universidad de los Andes,Colombia,76.6,83.2,78.8,72.8,,78.1
40,38  ,KU Leuven,Belgium,80.3,69.3,84.4,85.7,,78
41,42  ,Alma Mater Studiorum - University of Bologna,Italy,79.9,71,81.9,82.6,,77.7
42,44  ,University of British Columbia,Canada,73.9,78.1,92.3,83.9,,77.6
=43,47=,Ludwig-Maximilians-Universität München,Germany,86.2,63.2,82.6,71.8,,77
=43,58  ,Universidad de Chile,Chile,76.8,82.8,73.5,67.2,,77
