2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,The University of Sheffield,United Kingdom,100,69.1,99.4,95.7,,96.6
2,2  ,"University of North Carolina, Chapel Hill",United States,98.2,69.4,88.9,86.8,,93.4
3,3  ,University of Washington,United States,95.1,77.8,89.9,90.7,,92.4
4,16  ,University of Michigan-Ann Arbor,United States,94,70.3,91,93.3,,91.1
5,4  ,University of Illinois at Urbana-Champaign,United States,94.2,54.5,86.2,95.7,,89.1
6,8  ,McGill University,Canada,81.3,100,95.6,89.7,,85.7
7,19  ,"Nanyang Technological University, Singapore (NTU)",Singapore,82,96.8,89.9,90.7,,85.1
8,13=,University of British Columbia,Canada,83.7,82,91.6,87.8,,84.9
9,7  ,"University of Maryland, College Park",United States,81.8,74.8,97.8,97.2,,84.3
10,5  ,University of Texas at Austin,United States,84.5,75.1,85.3,88.8,,83.9
11,9  ,Indiana University Bloomington,United States,84.3,59.1,92.8,92.4,,83.5
12,12  ,Université de Montréal ,Canada,82.9,74.9,88.6,86.8,,83.2
13,15  ,University of Toronto,Canada,80.5,86.9,84.8,88.8,,82.2
14,6  ,"University of California, Berkeley (UCB)",United States,79.5,73.5,96.4,86.8,,81.8
15,13=,Rutgers University–New Brunswick,United States,83.6,36.5,98,90.7,,81.4
16,17  ,UCL,United Kingdom,77.3,74,99.1,93.3,,81
17,20  ,University of Pittsburgh,United States,80.1,56.8,93.7,82.4,,79.9
18,11  ,Syracuse University,United States,87.2,46.4,69.2,71.3,,79.6
19,10  ,Wuhan University,China (Mainland),77.2,63.3,91.7,100,,79.1
20,37  ,University of Amsterdam,Netherlands,73.1,79.9,98.8,92.4,,78.6
21,18  ,Tampere University,Finland,76.7,49,95.6,88.8,,77.4
22,21  ,Loughborough University,United Kingdom,76.9,63.9,87,78.7,,77.2
23,,The University of Manchester,United Kingdom,72.9,83.6,88.3,84.7,,76.9
24,22  ,University of Strathclyde,United Kingdom,78.9,56.5,75.1,78.7,,76.1
25,48  ,The University of Sydney,Australia,69.2,85.5,91.6,90.7,,75.3
26,26  ,Yonsei University,South Korea,73.6,75.9,74.5,77.4,,74.2
27,23=,University College Dublin,Ireland,74,75.2,73.5,72.9,,74
28,27  ,Universiti Malaya (UM),Malaysia,70.9,65.4,86.9,87.8,,73.6
29,25  ,Cornell University,United States,69,70.8,90,83.6,,73.1
30,34  ,Drexel University,United States,72.6,37.1,92.6,86.8,,72.8
31,23=,University of Technology Sydney,Australia,68.5,70.6,87.8,87.8,,72.6
32,50  ,University of Glasgow,United Kingdom,75,70.2,63.1,67.8,,72.4
33,28  ,Peking University,China (Mainland),66.9,72.5,93.1,84.7,,72.3
34,,The University of Hong Kong,Hong Kong SAR,67.2,79.3,86,82.4,,72
35,51-70,National Taiwan University (NTU),Taiwan,71,69.2,74,74.5,,71.4
=36,43  ,Sapienza University of Rome,Italy,67.5,87.1,76.7,77.4,,71.3
=36,29=,The University of Arizona,United States,70.7,58.6,79.8,80,,71.3
38,,Cairo University,Egypt,72.8,96.3,52.4,47.6,,70.8
=39,44  ,Kuwait University,Kuwait,70.9,61.2,70.6,81.2,,70.4
=39,33  ,"University of California, Los Angeles (UCLA)",United States,63.4,88.5,86.2,84.7,,70.4
41,32  ,University of Wisconsin Milwaukee ,United States,77.3,0,79.5,85.8,,70.3
42,,The University of Warwick,United Kingdom,66.4,66.5,89.8,72.9,,70.2
43,,Qatar University,Qatar,73.4,75.1,56.1,51,,69.9
44,,Purdue University,United States,65.4,57.3,90.4,87.8,,69.5
45,35  ,Nanjing University,China (Mainland),66.1,60.5,85.2,85.8,,69.4
=46,45=,"City, University of London",United Kingdom,69.7,70.2,65.6,69.6,,69.1
=46,51-70,University of Southern California,United States,60.9,71.1,100,87.8,,69.1
48,51-70,University of Tsukuba,Japan,72.3,43.5,69.3,72.9,,69
=49,51-70,KU Leuven,Belgium,63.8,74.2,83.5,82.4,,68.7
=49,51-70,University of Jordan,Jordan,65.8,91.7,64.3,76,,68.7
51-70,,Alexandria University ,Egypt,63.3,82.5,78,54,,
51-70,,Arizona State University,United States,63.6,68.4,83.4,82.4,,
51-70,51-70,Erasmus University Rotterdam ,Netherlands,63.1,60.9,77.4,71.3,,
51-70,51-70,Fudan University,China (Mainland),62.5,70.2,81.2,76,,
51-70,49  ,Humboldt-Universität zu Berlin,Germany,66.5,76.5,69.4,71.3,,
51-70,,Queensland University of Technology (QUT),Australia,60.9,65.2,87.1,87.8,,
51-70,29=,RMIT University,Australia,62,73,81.4,81.2,,
51-70,,Shanghai Jiao Tong University,China (Mainland),64.2,65,84.1,81.2,,
51-70,,Sultan Qaboos University,Oman,69.4,66.7,63.8,65.9,,
51-70,41  ,Sungkyunkwan University(SKKU),South Korea,65.3,60.2,72,72.9,,
51-70,,The University of Melbourne,Australia,56.5,89.1,90.5,83.6,,
51-70,40  ,Universidad Carlos III de Madrid (UC3M),Spain,61,72.8,81.2,86.8,,
51-70,51-70,Universidade de São Paulo,Brazil,59.2,90,85.1,72.9,,
51-70,29=,University College of Boras,Sweden,72.8,0,69.2,80,,
51-70,51-70,University of Ljubljana,Slovenia,61.9,72,78.7,80,,
51-70,,University of Ottawa,Canada,60.6,82.1,77,72.9,,
51-70,39  ,University of Science and Technology of China,China (Mainland),62.9,55.1,89.5,81.2,,
51-70,,University of the Punjab,Pakistan,59.4,65.1,88.3,88.8,,
51-70,51-70,University of Wisconsin-Madison,United States,60.7,60.8,92.5,90.7,,
51-70,42  ,Victoria University of Wellington,New Zealand,63.5,73.8,70.2,74.5,,
