2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,,Royal College of Music,United Kingdom,97.6,100,,,,98.1
2,,Royal Academy of Music,United Kingdom,93.8,98,,,,94.6
3,,Conservatoire national supérieur de musique et de danse de Paris (CNSMDP),France,94.6,89.7,,,,93.6
4,,Guildhall School of Music and Drama,United Kingdom,90.5,94.4,,,,91.3
=5,,Juilliard School,United States,100,51.1,,,,90.2
=5,,Royal Northern College of Music (RNCM),United Kingdom,92.4,81.3,,,,90.2
7,,The Gnesins Russian Academy of Music,Russia,86.5,82.4,,,,85.7
8,,Moscow P. I. Tchaikovsky Conservatory,Russia,83.9,87.3,,,,84.6
9,,Curtis Institute of Music,United States,91.9,52,,,,83.9
10,,Shanghai Conservatory of Music (SHCM),China (Mainland),87.7,62,,,,82.6
11,,University of Rochester,United States,85.1,70.8,,,,82.2
12,,University of the Arts Helsinki,Finland,85.5,67,,,,81.8
13,,The Royal Danish Academy of Music,Denmark,85.3,65.9,,,,81.4
14,,Rimsky-Korsakov St. Petersburg State Conservatory,Russia,80.8,82.8,,,,81.2
15,,The Liszt Academy of Music,Hungary,83.5,66.5,,,,80.1
16,,Columbia University,United States,81.1,68.5,,,,78.6
17,,Conservatoire national supérieur de musique et de danse de Lyon,France,80.3,66.2,,,,77.5
18,,McGill University,Canada,79.7,68.4,,,,77.4
19,,Trinity Laban Conservatoire of Music and Dance,United Kingdom,76.1,81,,,,77.1
20,,University of Huddersfield,United Kingdom,76.9,74.3,,,,76.4
