2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1,New York University (NYU),United States,100,86.7,96,94.4,,98.4
2,3,The London School of Economics and Political Science (LSE),United Kingdom,96.3,96.2,89.8,83.2,,94.3
3,2,Rutgers University–New Brunswick,United States,96,41.7,95.4,92.6,,92.9
4,4,University of Oxford,United Kingdom,89.4,97.7,89.6,100,,90.9
5,5,University of Pittsburgh,United States,95.7,47,85,76.6,,90.3
6,9,Ludwig-Maximilians-Universität München,Germany,91.2,70.4,83.9,85.9,,88.9
7,6,University of Cambridge,United Kingdom,87.7,96.1,87.3,91.6,,88.5
8,7,Harvard University,United States,86,100,88.2,85.9,,86.9
9,8,The Australian National University,Australia,87.1,87.8,87.4,83.9,,86.8
10,11,University of Toronto,Canada,87,83.3,82.5,84.6,,86.1
11,13,Humboldt-Universität zu Berlin,Germany,88,71.2,85.2,79.2,,86
12,10,University of St Andrews,United Kingdom,86.9,70.4,85.7,83.2,,85.6
13,19,King's College London,United Kingdom,83.5,86.7,86,83.9,,84
14,12,University of Notre Dame,United States,85.7,57.4,84,83.9,,83.9
15,14,Princeton University,United States,81.9,79,89.6,81.7,,82.5
16,16,Stanford University,United States,80,95.5,90,80.1,,81.8
17,17,"University of California, Berkeley (UCB)",United States,80.7,81.7,87.5,82.4,,81.6
18,15,Yale University,United States,80.8,90.6,86.1,77.5,,81.5
19,18,Massachusetts Institute of Technology (MIT) ,United States,76.3,94,100,84.6,,80.4
20,21,The University of Edinburgh,United Kingdom,76.3,81,89.6,88.9,,79.1
21,28=,The University of Sydney,Australia,77.6,89.9,83.4,79.2,,79
22,23,UCL,United Kingdom,76.6,81.3,88.3,84.6,,78.8
23,24,KU Leuven,Belgium,79.6,68.9,76.8,76.6,,78.5
23,26,Monash University,Australia,76.2,83.2,89.6,82.4,,78.5
25,25,Université Paris 1 Panthéon-Sorbonne ,France,80.4,69.6,75.4,71.2,,78.4
26,37,University of Amsterdam,Netherlands,75.2,81.3,89.7,88.3,,78.3
27,22,University of Chicago,United States,78.6,79.2,80.5,72.4,,78.2
28,20,University of Bristol,United Kingdom,75.3,74.1,88.3,80.9,,77.1
29,32,Durham University,United Kingdom,75.5,72.5,86.3,80.1,,76.9
30,30,Boston College,United States,79.1,56.1,75.9,65.9,,76.3
30,33,Université PSL,France,75,74.8,81.4,81.7,,76.3
32,27,Goethe-University Frankfurt am Main,Germany,77.5,44.9,80.5,75.6,,76
33,40,University of Michigan-Ann Arbor,United States,72.9,77.6,92.2,80.9,,75.9
34,31,National University of Singapore (NUS),Singapore,72.4,95.1,85.2,77.5,,75.3
35,41,Lomonosov Moscow State University,Russia,75.9,96.4,64.1,67.4,,74.9
35,28=,Macquarie University,Australia,71.6,72.2,90.1,85.9,,74.9
37,34=,Central European University,Austria,75.5,70,77.5,67.4,,74.6
38,51-100,Universidad Nacional Autónoma de México (UNAM),Mexico,75.7,82.5,67.5,65.9,,74.2
39,38,Freie Universitaet Berlin,Germany,74.1,67.7,79.3,68.7,,73.8
40,42,Université catholique de Louvain (UCLouvain),Belgium,76.8,70.1,66.5,59.1,,73.7
41,36,Sorbonne University,France,74.5,68.7,69.3,65.9,,72.8
42,45,University of Turin,Italy,72.6,64.9,71.2,73.5,,72.2
43,51-100,Eberhard Karls Universität Tübingen,Germany,71.5,63.1,82.2,70,,72
44,39,University of Leeds,United Kingdom,68.5,67.6,88.6,83.2,,71.9
45,51-100,The University of Warwick,United Kingdom,68.6,76.7,84.2,80.9,,71.8
46,51-100,University of Milan,Italy,72.1,74.2,69.1,70,,71.7
47,51-100,University of Copenhagen,Denmark,68.9,65,86,80.9,,71.6
48,48,University of Geneva,Switzerland,68.7,59.2,86.2,80.9,,71.2
49,49,University of Vienna,Austria,68.3,77,80.6,79.2,,71.1
50,51-100,Vrije Universiteit Amsterdam,Netherlands,71.1,41.8,81.7,74.6,,71
51-100,51-100,"Birkbeck, University of London",United Kingdom,61,51.6,88.7,73.5,,
