2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,Harvard University,United States,100,100,91.6,100,,99.6
2,2  ,University of Oxford,United Kingdom,97.4,96.3,86.2,95.7,,96.5
3,4  ,Stanford University,United States,93.7,91.5,96.9,97.9,,94.3
=4,3  ,The London School of Economics and Political Science (LSE),United Kingdom,95,91.4,88.9,93.3,,94.1
=4,5  ,"University of California, Berkeley (UCB)",United States,95.6,86,89.9,93.8,,94.1
6,6  ,University of Cambridge,United Kingdom,94.5,95.8,79.1,86.5,,92.7
7,12  ,Princeton University,United States,91.4,76.6,91.6,91.4,,89.9
8,9  ,Yale University,United States,90,87.7,88.4,89.6,,89.6
9,8  ,University of Chicago,United States,91.5,80.9,85.4,86.2,,89.3
10,10=,University of Wisconsin-Madison,United States,89.7,75.1,88.9,89.9,,88.2
11,10=,University of Michigan-Ann Arbor,United States,88.8,70.9,91.1,95.3,,88.1
=12,13  ,Columbia University,United States,88.5,81.2,83.3,90.9,,87.9
=12,14  ,"University of California, Los Angeles (UCLA)",United States,89.5,77.6,86,87.7,,87.9
14,7  ,National University of Singapore (NUS),Singapore,88.9,94,79.9,79.1,,87.5
15,15  ,University of Amsterdam,Netherlands,88.4,73.1,87.5,92.2,,87.4
=16,16  ,New York University (NYU),United States,85.6,81.5,88,92.9,,86.4
=16,22  ,The University of Manchester,United Kingdom,86.9,78.9,87.2,88.8,,86.4
18,18  ,University of Toronto,Canada,86.8,75.8,83.6,91.4,,86.2
19,17  ,The Australian National University,Australia,86.3,86.2,79.1,82.9,,85.4
20,19  ,UCL,United Kingdom,83,83.9,83.3,88.8,,84
21,21  ,Universidad Nacional Autónoma de México (UNAM),Mexico,90.4,81.3,61.1,62.3,,83.8
22,32  ,University of British Columbia,Canada,82.4,80.1,83.5,87.1,,82.9
23,20  ,The University of Edinburgh,United Kingdom,83.4,76.8,81.4,84,,82.7
=24,25  ,The University of Hong Kong,Hong Kong SAR,82.3,88.7,79.7,77.8,,82.1
=24,29  ,The University of Tokyo,Japan,85.7,85,75.9,65.5,,82.1
26,31  ,Humboldt-Universität zu Berlin,Germany,82.8,70.5,83.8,82.9,,81.6
27,27  ,Sciences Po ,France,83.3,72.8,79.8,78.7,,81.4
28,28  ,The University of Melbourne,Australia,78.6,87.1,81.4,87.7,,81
=29,30  ,Freie Universitaet Berlin,Germany,82.3,72,81,76.9,,80.4
=29,34=,Massachusetts Institute of Technology (MIT) ,United States,75.5,92.3,100,88.8,,80.4
=29,23  ,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,80.6,85,80.7,76,,80.4
=29,38=,The University of Sydney,Australia,79.8,79.9,81.1,83.3,,80.4
33,26  ,Cornell University,United States,78.3,75,90.4,89.6,,80.3
34,33  ,Duke University,United States,77.7,83,87.1,86.2,,80
35,24  ,Peking University,China (Mainland),78.8,96.7,82.4,73,,79.9
36,37  ,University of Pennsylvania,United States,75.4,83.9,91.4,92.6,,79.6
37,40  ,Yonsei University,South Korea,81.9,76.6,79.6,68.3,,79.2
38,34=,Stockholm University,Sweden,78.7,68.5,85.9,85.9,,79.1
39,36  ,University of Copenhagen,Denmark,78.3,71,86.1,85,,79
40,41  ,Universidad de Buenos Aires (UBA),Argentina,82.6,86.2,56.5,60.6,,78.4
41,43  ,King's College London,United Kingdom,74.7,81.6,82.4,87.4,,77.7
42,47  ,University of Sussex,United Kingdom,79.6,49,86.3,84.6,,77.6
43,44  ,Universidade de São Paulo,Brazil,82.2,71.4,61.7,64,,77.4
=44,46  ,The University of Queensland,Australia,76.1,77.6,81.3,81.1,,77.3
=44,68=,University of Bristol,United Kingdom,77.9,74.9,76.8,76,,77.3
46,42  ,Utrecht University,Netherlands,77.7,55.6,87.2,86.2,,77.2
=47,57  ,McGill University,Canada,76.3,74,80.6,81.1,,77
=47,45  ,University of Oslo,Norway,76.3,64.8,82.4,86.8,,77
=49,55=,National Taiwan University (NTU),Taiwan,79.6,74.5,80,64,,76.8
=49,52=,Northwestern University,United States,74.1,72,88,88.6,,76.8
51,38=,Seoul National University,South Korea,78.2,77.9,77.6,66.9,,76.4
52,55=,Ecole des Hautes Etudes en Sciences Sociales (EHESS),France,81.6,51.5,68.1,70.8,,76.3
53,66=,Kyoto University,Japan,80.1,71.7,68.1,63.2,,76.1
54,52=,University of Texas at Austin,United States,73.4,68.3,86.3,89.6,,76
=55,50=,"University of North Carolina, Chapel Hill",United States,73.7,63.2,87.2,89.4,,75.7
=55,63  ,University of Vienna,Austria,74.5,65.2,87.1,84.6,,75.7
57,66=,Universidad de Chile,Chile,77,88,66.5,61.5,,75.3
58,48  ,European University Institute,Italy,73.9,58.8,90.7,85.9,,75
59,59=,Pontificia Universidad Católica de Chile (UC),Chile,74.8,88.1,72.7,66.9,,74.8
60,62  ,University of Southern California,United States,73.1,68,85.8,82.6,,74.7
=61,88  ,Lund University,Sweden,73,67.7,84.3,82.6,,74.5
=61,79=,The University of Warwick,United Kingdom,71.8,77.3,83.3,82.6,,74.5
=63,73  ,SOAS University of London ,United Kingdom,74.8,70.8,80.5,73,,74.4
=63,52=,Tsinghua University,China (Mainland),71.7,93.8,86,70.2,,74.4
65,74  ,KU Leuven,Belgium,73.3,62.7,83.6,83.6,,74.3
=66,50=,Johns Hopkins University,United States,72.1,77.9,81.4,79.1,,74.2
=66,70=,"Nanyang Technological University, Singapore (NTU)",Singapore,72.4,87.1,81.1,71.9,,74.2
=66,64  ,Universitat Autònoma de Barcelona,Spain,72.3,69,84.4,83.3,,74.2
=66,81=,University of Helsinki,Finland,75,57.2,79.4,79.9,,74.2
70,79=,University of Leeds,United Kingdom,71.7,77.3,81.2,79.9,,74
71,59=,Monash University,Australia,70.7,81,81,81.1,,73.8
72,86=,Universidade Estadual de Campinas (Unicamp),Brazil,76.4,73.3,65.2,63.2,,73.6
73,59=,"Essex, University of",United Kingdom,74.7,54,81.7,78.3,,73.5
=74,70=,Central European University,Austria,74,69.4,80.8,70.8,,73.4
=74,85  ,Universidad Nacional de Colombia,Colombia,78,83.2,57.6,50.5,,73.4
=74,89  ,"University of Maryland, College Park",United States,68,83.8,88.3,86.8,,73.4
=77,94  ,Brown University,United States,69.6,79,81.3,79.9,,72.7
=77,75=,Ludwig-Maximilians-Universität München,Germany,71,68.4,83.8,79.5,,72.7
=79,49  ,Renmin (People's) University of China,China (Mainland),72.2,72.8,82.3,71.3,,72.6
=79,75=,The University of New South Wales (UNSW Sydney),Australia,69.9,80.8,79.5,77.4,,72.6
=79,77=,University of Washington,United States,69,70.7,85.7,86.5,,72.6
82,77=,"University of California, Irvine",United States,71.3,54.5,86,85.6,,72.5
83,83=,Lancaster University,United Kingdom,71.3,60.8,85.6,79.9,,72.3
84,90  ,Leiden University,Netherlands,70.5,67.6,79.2,79.9,,72.1
85,95=,University of Glasgow,United Kingdom,69,75.2,82.6,80.3,,72
86,101-150,University of Milan,Italy,70.4,73.6,74.7,75.5,,71.7
=87,83=,Alma Mater Studiorum - University of Bologna,Italy,69.2,79.3,75.8,76,,71.6
=87,58  ,"Goldsmiths, University of London",United Kingdom,71.7,51.5,85.6,79.9,,71.6
=87,101-150,The University of Sheffield,United Kingdom,66.2,73,89.5,89.6,,71.6
90,101-150,Universitat de Barcelona,Spain,70.5,78.2,72.2,71.3,,71.5
91,68=,Jawaharlal Nehru University,India,75.5,63.9,67,58.7,,71.4
92,95=,Pennsylvania State University,United States,66.8,73.6,83.1,86.8,,71.3
=93,101-150,Complutense University of Madrid,Spain,71.2,78.7,67.5,67.6,,71.2
=93,101-150,Goethe-University Frankfurt am Main,Germany,71.4,55,82,77.4,,71.2
=95,101-150,Copenhagen Business School,Denmark,68.9,69.3,89,76.5,,71.1
=95,101-150,The University of Auckland,New Zealand,69.1,75.3,81.3,74.1,,71.1
=95,101-150,University of Trento,Italy,71.6,61.7,78,72.5,,71.1
=98,99=,Université de Montréal ,Canada,69.1,67.2,81.2,79.1,,71
=98,91=,Uppsala University,Sweden,69.1,61.4,84.7,81.9,,71
100,101-150,University of Birmingham,United Kingdom,67.3,71.2,84,82.9,,70.9
101-150,101-150,Aarhus University,Denmark,67.7,67,84.1,83.3,,
101-150,101-150,Beijing Normal University ,China (Mainland),65.8,65.7,80.9,66.2,,
101-150,99=,Bielefeld University,Germany,73.7,34.6,77.7,69.5,,
101-150,101-150,Boston University,United States,64.1,64.7,84.8,83.6,,
101-150,95=,Cardiff University,United Kingdom,67.2,63.2,82.7,81.5,,
101-150,151-200,City University of Hong Kong,Hong Kong SAR,65.6,74.6,82.6,75.1,,
101-150,101-150,Durham University,United Kingdom,65.8,73.8,86.3,83.6,,
101-150,101-150,Erasmus University Rotterdam ,Netherlands,66.8,55.7,87.3,85.9,,
101-150,65  ,Fudan University,China (Mainland),67.4,90.6,74.8,64.7,,
101-150,101-150,Griffith University,Australia,65.2,70.4,79.6,75.5,,
101-150,91=,HSE University,Russia,65.3,83.3,66.9,77.4,,
101-150,70=,Korea University,South Korea,72.5,77.4,66.6,59.7,,
101-150,101-150,La Trobe University,Australia,65.7,61.6,75.4,73,,
101-150,101-150,Lomonosov Moscow State University,Russia,66.5,84.2,55.4,56.6,,
101-150,151-200,Loughborough University,United Kingdom,63.2,58.8,89.1,81.1,,
101-150,101-150,Michigan State University,United States,60,70.2,85.6,86.2,,
101-150,151-200,Osaka University,Japan,69.1,64.5,58.4,59.7,,
101-150,151-200,Pontificia Universidad Católica del Perú,Peru,68.6,79.4,59.1,53.2,,
101-150,101-150,Ruprecht-Karls-Universität Heidelberg,Germany,68.3,63,82.3,70.2,,
101-150,151-200,Sapienza University of Rome,Italy,63.5,76.3,70.8,70.8,,
101-150,81=,Sorbonne University,France,74.2,73.3,55.5,49.1,,
101-150,101-150,The Hong Kong University of Science and Technology,Hong Kong SAR,67.7,80.6,71.2,64.7,,
101-150,101-150,The New School,United States,70.4,54,68.6,65.5,,
101-150,101-150,"Trinity College Dublin, The University of Dublin",Ireland,68.3,73.3,79.6,76.5,,
101-150,101-150,Universidad de los Andes,Colombia,71.5,82.3,69.3,60.6,,
101-150,101-150,Universidade Federal do Rio de Janeiro,Brazil,75.6,64.2,61.9,54.4,,
101-150,101-150,Universität Bremen,Germany,69.7,47.3,82.7,76.5,,
101-150,101-150,Universität Mannheim,Germany,64.1,65,90.1,81.9,,
101-150,101-150,Universitat Pompeu Fabra (Barcelona),Spain,65.8,70.8,80.7,77.4,,
101-150,101-150,Université catholique de Louvain (UCLouvain),Belgium,67.7,60.1,79.4,74.6,,
101-150,101-150,Université PSL,France,68.4,76.3,68.4,65.5,,
101-150,101-150,University College Dublin,Ireland,65.9,70.8,77.8,73.5,,
101-150,101-150,University of Bath,United Kingdom,66.5,69.6,84.1,71.9,,
101-150,101-150,"University of California, San Diego (UCSD)",United States,63.9,66.9,91.6,88,,
101-150,91=,University of Delhi,India,72.7,75.9,59.2,55.5,,
101-150,101-150,University of Florence,Italy,63.9,58.9,80.6,75.1,,
101-150,101-150,University of Geneva,Switzerland,64.4,58.4,77.7,74.1,,
101-150,151-200,University of Gothenburg,Sweden,63.2,45.7,86.5,86.5,,
101-150,86=,University of Groningen,Netherlands,69.2,47,86.2,83.6,,
101-150,101-150,University of Lausanne,Switzerland,66.6,55.4,82.6,77.4,,
101-150,101-150,University of Minnesota Twin Cities,United States,63.9,71.3,86.5,86.2,,
101-150,151-200,University of Otago,New Zealand,65.2,72.1,79.2,66.2,,
101-150,101-150,University of York,United Kingdom,68.5,64.1,80.5,78.3,,
101-150,101-150,University of Zurich,Switzerland,65.6,60.3,92.9,88.6,,
101-150,101-150,Victoria University of Wellington,New Zealand,66.7,71,77,66.2,,
