QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Earth & Marine Sciences,,,,,,,,,
,,,,Institutions Considered,,1254,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 250 Universities - Earth & Marine Sciences,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
1,1  ,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,100,94.1,94.6,98.3,71.5,95.1
=2,2  ,Harvard University,United States,92.8,100,98.2,98.2,68.7,93.3
=2,6  ,University of Cambridge,United Kingdom,95.8,95.6,95,94.5,75.2,93.3
=2,4=,University of Oxford,United Kingdom,94.9,96.2,94.8,95.9,76.1,93.3
5,4=,Massachusetts Institute of Technology (MIT) ,United States,97.2,98.2,94.3,95,66.3,93.2
6,7  ,"University of California, Berkeley (UCB)",United States,94.2,91.4,95.3,96.7,70.3,92.3
7,3  ,California Institute of Technology (Caltech),United States,92.1,90.6,93.4,100,73.6,91.9
8,8  ,Stanford University,United States,95.3,96.7,93.7,95.2,61.2,91.7
9,9  ,Columbia University,United States,88.9,79.3,99.7,98.5,72.8,90.4
10,10  ,University of Washington,United States,93.1,72.4,96.1,97.2,69.6,90.1
11,12  ,The University of Tokyo,Japan,91.2,87.6,87.3,93.5,73.6,88.8
12,11  ,The Australian National University,Australia,90.5,85.7,92.9,91.4,67.7,88.4
13,13  ,Princeton University,United States,86.4,85.6,98.5,96.1,60.7,88.1
14,15  ,University of Colorado Boulder,United States,90.4,70.9,91.6,97.5,67.2,87.8
15,16  ,University of British Columbia,Canada,92.3,85.1,89.5,90.2,62.2,87.6
16,17  ,University of Texas at Austin,United States,88,81.4,90.3,94.9,68.4,87.2
=17,14  ,Pennsylvania State University,United States,87.5,86.2,91.5,92.3,67.6,87.1
=17,21  ,UCL,United Kingdom,85.4,80.7,91.5,92.5,80.5,87.1
=17,23  ,University of Leeds,United Kingdom,87.6,76.5,92.7,91.9,74.8,87.1
20,18  ,"University of California, Los Angeles (UCLA)",United States,87.3,87.4,91.2,93,64,86.9
21,20  ,Imperial College London,United Kingdom,88.6,90.8,90.2,90.1,62,86.8
=22,31=,Delft University of Technology,Netherlands,90.7,89.1,83.7,89.1,68.9,86.6
=22,19  ,"University of California, San Diego (UCSD)",United States,89.9,72.2,93.3,93.7,60.5,86.6
=24,24  ,The University of Edinburgh,United Kingdom,83,85.4,92.5,92.5,71.5,85.9
=24,25  ,University of Bristol,United Kingdom,89.5,76.4,90.7,89.4,64.6,85.9
26,22  ,Sorbonne University,France,76.6,80.3,90,97.2,95.7,85.7
27,28  ,Utrecht University,Netherlands,88.7,69.5,91.6,92.3,64.3,85.6
=28,27  ,Colorado School of Mines,United States,94.4,94.5,82.2,83.7,51,85.5
=28,26  ,University of Toronto,Canada,85.4,84.8,93.1,92.7,57,85.5
=30,36  ,The University of New South Wales (UNSW Sydney),Australia,80.7,85.1,91.1,92.6,67.7,84.3
=30,39=,Université Grenoble Alpes,France,83.2,58.3,91.2,92.9,83.3,84.3
32,29=,Yale University,United States,81.1,87.5,96.8,90.5,55.7,84.2
=33,34=,Texas A&M University,United States,81.9,79.7,88.7,91.2,73,84
=33,31=,The University of Arizona,United States,83.4,56.8,92.6,94.5,75.8,84
=35,39=,Peking University,China (Mainland),78.8,88.2,91.4,95.4,60.1,83.7
=35,34=,Tsinghua University,China (Mainland),78.3,86.1,91.7,96.7,60.8,83.7
37,33  ,Curtin University,Australia,79.9,77.1,89.3,92.2,75.4,83.5
=38,39=,University of Southampton,United Kingdom,81.4,76.4,90.2,91.7,67.9,83.4
=38,51-100,Wageningen University & Research,Netherlands,79.1,80.9,96.1,90.4,63.9,83.4
=40,51-100,The University of Exeter,United Kingdom,80.2,77.1,95.3,92,59.2,83.2
