QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Engineering - Civil & Structural,,,,,,,,
Faculty Area,,Engineering & Technology,,Institutions Considered,,1220,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.4,,,
,,,,Employer,0.3,,,
,,,,Citations,0.15,,,
,,,,H,0.15,,,
Top 240 Universities - Engineering - Civil & Structural,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
1,1  ,Massachusetts Institute of Technology (MIT) ,United States,100,98.1,93.5,80,95.5
2,3  ,"University of California, Berkeley (UCB)",United States,98.8,90.2,92.8,86.8,93.5
3,2  ,Delft University of Technology,Netherlands,98.4,92.9,86.9,86.5,93.2
4,4  ,National University of Singapore (NUS),Singapore,87.2,100,94,90,92.5
5,5  ,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,93.6,90.3,90.8,88.9,91.5
6,11  ,Tsinghua University,China (Mainland),88.9,89.1,92.2,98.9,91
7,7  ,Imperial College London,United Kingdom,93.3,88.1,92,87.4,90.7
8,6  ,University of Cambridge,United Kingdom,92.7,95.3,87.9,78.1,90.6
9,9  ,"Nanyang Technological University, Singapore (NTU)",Singapore,83.3,97,94.7,90.8,90.2
10,8  ,Stanford University,United States,94.9,94,87.1,71.6,90
11,10  ,EPFL,Switzerland,88.6,85.8,89.3,83.6,87.1
12,12  ,Politecnico di Milano,Italy,88.8,86.4,81.2,88,86.8
13,13  ,University of Oxford,United Kingdom,84.7,95.2,90.5,71,86.7
14,22=,The Hong Kong Polytechnic University,Hong Kong SAR,86.2,77.7,93.1,96.6,86.2
15,14  ,University of Illinois at Urbana-Champaign,United States,93.3,79.8,83.2,80,85.7
16,24  ,Tongji University,China (Mainland),88.7,72.1,85.6,100,85
=17,17  ,Purdue University,United States,85.5,83.9,86.2,81.5,84.5
=17,16  ,The University of New South Wales (UNSW Sydney),Australia,79,85.8,90.5,90.8,84.5
=17,15  ,University of Texas at Austin,United States,90.6,78.6,86.9,77.6,84.5
20,26=,The University of Hong Kong,Hong Kong SAR,79,84.5,92.6,89.1,84.2
21,25  ,The University of Tokyo,Japan,89.2,84.3,80.3,74.1,84.1
22,18  ,Georgia Institute of Technology,United States,87.3,76.2,88.2,80.4,83.1
=23,20  ,The University of Sydney,Australia,79.4,83.8,90.3,83.6,83
=23,26=,"University of California, Los Angeles (UCLA)",United States,81.2,86.6,88.8,74.5,83
25,22=,The University of Melbourne,Australia,76.3,86.6,89.9,83.6,82.5
26,29  ,Texas A&M University,United States,79.4,83.8,84.2,85.9,82.4
27,28  ,The Hong Kong University of Science and Technology,Hong Kong SAR,80.1,81.6,91.8,80,82.3
28,19  ,University of Toronto,Canada,81.8,79.2,87.4,84.3,82.2
29,38=,Pontificia Universidad Católica de Chile (UC),Chile,77.7,90.9,83.6,68.8,81.2
30,21  ,University of British Columbia,Canada,82.8,72.9,89.4,84.3,81
31,31=,University of Michigan-Ann Arbor,United States,81.6,70.6,94.1,84.3,80.6
32,36=,Shanghai Jiao Tong University,China (Mainland),73,80.1,91.5,90.2,80.5
33,33=,Politecnico di Torino,Italy,77,79.9,82.9,82.3,79.6
34,31=,Monash University,Australia,73.1,77.9,91.8,87.4,79.5
=35,30  ,California Institute of Technology (Caltech),United States,82.5,89.9,70.1,57.6,79.1
=35,42  ,UCL,United Kingdom,80.7,70.7,89.4,81.5,79.1
37,48  ,King Fahd University of Petroleum & Minerals,Saudi Arabia,69.6,84.4,93.5,78.9,79
38,45=,Universidade de São Paulo,Brazil,73.3,87.2,81.4,74.5,78.9
39,51-100,Indian Institute of Technology Delhi (IITD),India,73.2,88.2,82.5,71,78.8
=40,40=,Technical University of Munich,Germany,83.3,71.1,85.2,75,78.7
=40,35  ,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,82.8,71.4,81.9,78.9,78.7
42,51-100,Indian Institute of Technology Bombay (IITB),India,73.2,90.1,80.7,67.6,78.6
43,43  ,The University of Manchester,United Kingdom,70.8,81.9,92.4,78.5,78.5
=44,40=,Technical University of Denmark,Denmark,80.8,69.1,88.9,79.3,78.3
=44,51-100,Zhejiang University,China (Mainland),73.3,76.2,85.5,88.6,78.3
46,45=,The University of Auckland,New Zealand,72.4,82.4,86.1,77.2,78.2
47,45=,The University of Queensland,Australia,71.1,76.7,93.9,83,78
48,50  ,Universidad Nacional Autónoma de México (UNAM),Mexico,77.1,87.8,74,62.3,77.6
=49,44  ,KTH Royal Institute of Technology ,Sweden,74.3,74.2,89.7,78.9,77.3
=49,38=,Universidad Politécnica de Madrid (UPM),Spain,77,78.2,79.5,74.1,77.3
51-100,51-100,Carnegie Mellon University,United States,68.4,74.2,87.2,68.2,
51-100,101-150,City University of Hong Kong,Hong Kong SAR,65.8,75.5,91.6,86.2,
51-100,51-100,Columbia University,United States,77,73.7,89.5,69.9,
51-100,51-100,Cornell University,United States,78.4,71.6,83,63.1,
51-100,51-100,Curtin University,Australia,60.9,71.9,94.7,91.5,
51-100,51-100,Ecole des Ponts ParisTech,France,74.7,71,86.5,69.4,
51-100,,Eindhoven University of Technology,Netherlands,68.7,70,93.2,78.1,
51-100,51-100,Harbin Institute of Technology,China (Mainland),71.4,67.9,87.2,94.2,
51-100,101-150,Indian Institute of Technology Kanpur (IITK),India,69.6,83.9,74.1,60.1,
51-100,51-100,Indian Institute of Technology Kharagpur (IIT-KGP),India,68.4,83.3,80.7,70.5,
51-100,51-100,Indian Institute of Technology Madras (IITM),India,73.7,84.3,76.8,71,
51-100,101-150,Indian Institute of Technology Roorkee (IITR),India,68,75,82.2,75.9,
51-100,36=,KAIST - Korea Advanced Institute of Science & Technology,South Korea,75.4,73.7,87.3,69.9,
51-100,51-100,KU Leuven,Belgium,72.3,68.4,88.9,79.7,
51-100,51-100,Kyoto University,Japan,82,68.2,75,70.5,
51-100,51-100,McGill University,Canada,72.9,79.7,88.1,72.1,
51-100,51-100,National Taiwan University (NTU),Taiwan,74.2,74.3,83.6,71.6,
51-100,51-100,National Technical University of Athens,Greece,76.7,67.3,83.2,78.1,
51-100,51-100,Newcastle University,United Kingdom,66,71.8,92.7,75.9,
51-100,51-100,Northwestern University,United States,78.1,72.3,88.9,66.4,
51-100,51-100,Norwegian University of Science And Technology,Norway,74.1,68.5,85.7,83,
51-100,51-100,Pennsylvania State University,United States,72.1,76.5,83,73.6,
51-100,51-100,Princeton University,United States,73.3,78.3,74.5,60.1,
51-100,51-100,RMIT University,Australia,64.2,70.5,93,85.9,
51-100,51-100,RWTH Aachen University,Germany,74,65.8,85.1,80.8,
51-100,51-100,Sapienza University of Rome,Italy,72.1,72.4,82.7,81.5,
51-100,33=,Seoul National University,South Korea,75.7,71,80.9,75.5,
51-100,101-150,Southeast University,China (Mainland),67.7,60.9,86.9,95.5,
51-100,51-100,Technische Universität Berlin (TU Berlin),Germany,72.9,70.3,90.6,67.6,
51-100,51-100,The University of Edinburgh,United Kingdom,71.6,74.6,87,75.5,
51-100,51-100,The University of Sheffield,United Kingdom,72.3,72.3,89.8,82.3,
51-100,51-100,The University of Western Australia,Australia,70.4,71.7,91.1,78.9,
51-100,51-100,Tokyo Institute of Technology (Tokyo Tech),Japan,77.9,73,79,73.6,
51-100,101-150,Universidad de Chile,Chile,64.9,86.2,79.1,68.8,
51-100,,Université Paris-Saclay,France,66.3,75.5,84.8,69.9,
51-100,51-100,Universiti Malaya (UM),Malaysia,66.7,69.1,91.2,79.3,
51-100,51-100,Universiti Teknologi Malaysia ,Malaysia,66.7,71.2,86.5,78.5,
51-100,101-150,University of Birmingham,United Kingdom,67.8,67.1,91.6,80.4,
51-100,51-100,University of Bristol,United Kingdom,72.4,66.6,84.9,72.1,
51-100,51-100,"University of California, Davis",United States,77.6,67,88.5,75,
51-100,51-100,"University of California, San Diego (UCSD)",United States,81.1,63.9,81.1,63.1,
51-100,51-100,University of Canterbury | Te Whare Wānanga o Waitaha,New Zealand,71.6,79.4,79.3,67,
51-100,101-150,University of Colorado Boulder,United States,71.2,66.1,89.8,72.6,
51-100,49  ,University of Leeds,United Kingdom,73.5,71.4,92.4,80,
51-100,51-100,University of Naples - Federico II,Italy,68.4,65.6,86.6,88.6,
51-100,51-100,University of Nottingham,United Kingdom,68.8,72.2,89.2,82.3,
51-100,51-100,University of Southampton,United Kingdom,69.8,72.6,84.8,68.8,
51-100,51-100,University of Technology Sydney,Australia,64.9,73.3,91.9,84.6,
