QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Engineering - Electrical & Electronic,,,,,,,,,
,,,,Institutions Considered,,1709,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 530 Universities - Engineering - Electrical & Electronic,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
1,1  ,Massachusetts Institute of Technology (MIT) ,United States,100,100,96.4,93.5,82.7,97.9
2,2  ,Stanford University,United States,96.1,96.7,98.8,92.7,66.6,94.7
3,3  ,"University of California, Berkeley (UCB)",United States,93.5,92,96.4,89.7,70.3,91.8
4,5  ,University of Cambridge,United Kingdom,90,95.2,94.2,84.3,80.8,90.9
5,4  ,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,91.7,93.6,93.8,86.4,62.2,90.4
6,10=,National University of Singapore (NUS),Singapore,84.6,94.5,98.7,93.7,80,90.2
=7,6  ,EPFL,Switzerland,93.4,87.6,92.8,85.7,76.7,89.8
=7,7  ,Harvard University,United States,86.7,98,97.1,81.9,66.9,89.8
=7,8  ,University of Oxford,United Kingdom,87.4,95,96.9,84.4,72.7,89.8
10,9  ,"Nanyang Technological University, Singapore (NTU)",Singapore,86.2,92.4,95.9,95.5,72.1,89.7
11,10=,Imperial College London,United Kingdom,88,87.6,96.1,90.3,82,88.9
12,14  ,Tsinghua University,China (Mainland),86,88.4,92.2,100,74.1,88.7
13,13  ,Georgia Institute of Technology,United States,84.6,89,93.6,89.4,69.9,86.9
14,15  ,Delft University of Technology,Netherlands,83.7,88.8,88.6,84.9,91.2,86.4
15,12  ,California Institute of Technology (Caltech),United States,89,92.3,86.5,74.6,54,86.1
16,16  ,"University of California, Los Angeles (UCLA)",United States,85.2,87.4,92.7,81.7,54,84.8
17,17  ,Carnegie Mellon University,United States,83,86.4,95.4,78.9,66.5,84.2
18,18=,Politecnico di Milano,Italy,78.6,89,86.4,83.6,91.3,84
19,18=,Technical University of Munich,Germany,84.5,80.3,87.6,82.8,91.2,83.8
20,18=,University of Toronto,Canada,82.2,85.1,94.5,82.3,59.5,83.5
21,22  ,University of Illinois at Urbana-Champaign,United States,82.6,85.7,88,80.5,69.1,83.3
22,21  ,Princeton University,United States,80.9,83.9,96.6,82.3,55.3,82.7
23,23=,KTH Royal Institute of Technology ,Sweden,83.8,74.7,90.3,83.3,94.2,82.3
24,26  ,University of Michigan-Ann Arbor,United States,79.9,85,89.8,83.2,63.1,82.2
25,25  ,University of Texas at Austin,United States,78.6,83.3,92.3,85.8,65.5,82
26,38=,Peking University,China (Mainland),77.9,82.5,92,90.1,57.4,81.5
27,32=,Shanghai Jiao Tong University,China (Mainland),77.8,78.3,88.4,93.2,78,81.2
28,29=,University of Waterloo,Canada,73.2,84.9,96.3,86.5,70,81.1
=29,34  ,Purdue University,United States,74.9,87.6,86,79.9,79.1,80.9
=29,36=,The Hong Kong University of Science and Technology,Hong Kong SAR,77,81.6,98.5,84.7,54.7,80.9
