QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
English Language & Literature,,,,,,,,
Faculty Area,,Arts & Humanities,,Institutions Considered,,928,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.8,,,
,,,,Employer,0.1,,,
,,,,Citations,0.1,,,
,,,,H,,,,
Top 330 Universities - English Language & Literature,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
1,1  ,University of Oxford,United Kingdom,100,98.7,65.3,,96.4
2,2  ,University of Cambridge,United Kingdom,99.5,97.8,66.7,,96.1
3,3  ,Harvard University,United States,97.1,100,73.9,,95.1
4,4  ,"University of California, Berkeley (UCB)",United States,94.6,86.7,75.4,,91.9
5,5  ,Yale University,United States,92.9,89.6,67.6,,90
6,7  ,Stanford University,United States,91.6,93.2,71.5,,89.8
7,8  ,"University of California, Los Angeles (UCLA)",United States,89.9,87.5,85.3,,89.2
8,6  ,Columbia University,United States,91.6,82.6,73.6,,88.9
9,9  ,The University of Edinburgh,United Kingdom,91.8,81.5,70.8,,88.7
10,11  ,University of Toronto,Canada,90.1,81.6,69.2,,87.2
11,10  ,Princeton University,United States,89.1,84.4,72.1,,86.9
12,12  ,UCL,United Kingdom,88.4,85.2,74.4,,86.7
13,13  ,University of Chicago,United States,88.4,79.8,74.5,,86.2
14,14  ,New York University (NYU),United States,86.3,82.2,75,,84.8
15,15  ,King's College London,United Kingdom,86.4,80.7,70.4,,84.2
16,19  ,National University of Singapore (NUS),Singapore,84.1,87,68.6,,82.8
=17,20  ,Duke University,United States,83.9,73.2,80.2,,82.5
=17,16  ,University of British Columbia,Canada,84.5,82.8,66.1,,82.5
=19,22=,The University of Manchester,United Kingdom,82.8,82,73.9,,81.8
=19,18  ,The University of Sydney,Australia,83.2,83.3,68.6,,81.8
21,22=,"Trinity College Dublin, The University of Dublin",Ireland,84.9,74,63.8,,81.7
22,17  ,University of Pennsylvania,United States,83.3,80.1,63.7,,81
23,28  ,The University of Melbourne,Australia,82.5,82.9,65.9,,80.9
24,21  ,University of Michigan-Ann Arbor,United States,82.5,75.2,72.5,,80.8
25,25  ,Cornell University,United States,82,75.1,76.1,,80.7
26,27  ,University of Birmingham,United Kingdom,82.9,71.6,71.2,,80.6
27,24  ,The University of Hong Kong,Hong Kong SAR,82.7,81.2,61.7,,80.5
28,37  ,The Australian National University,Australia,79.4,80.4,80,,79.6
29,38  ,Durham University,United Kingdom,80.6,81.4,68.8,,79.5
30,26  ,The University of Warwick,United Kingdom,80.5,78.5,71.9,,79.4
=31,29  ,Massachusetts Institute of Technology (MIT) ,United States,81.4,92.1,48.5,,79.2
=31,31=,University of Glasgow,United Kingdom,81.4,74.1,66.7,,79.2
33,34  ,Peking University,China (Mainland),78.6,89.3,72.6,,79.1
34,35  ,University of York,United Kingdom,80.8,69.3,73,,78.9
35,33  ,McGill University,Canada,79.3,80.9,72.2,,78.8
36,31=,University of Leeds,United Kingdom,79.5,79.6,71.4,,78.7
37,30  ,The University of Tokyo,Japan,81,85.7,52.5,,78.6
38,40  ,Lancaster University,United Kingdom,79.6,73.9,74.3,,78.5
39,42  ,University of Amsterdam,Netherlands,78.6,69.8,80.9,,78
=40,41  ,Queen Mary University of London,United Kingdom,79,71.6,73.2,,77.7
=40,39  ,University College Dublin,Ireland,80.4,66.4,67.8,,77.7
=42,43  ,Freie Universitaet Berlin,Germany,80.5,67.8,56.6,,76.8
=42,53  ,"Nanyang Technological University, Singapore (NTU)",Singapore,76.6,81.5,73.6,,76.8
44,47=,University of St Andrews,United Kingdom,77.6,76.5,66.8,,76.4
45,36  ,University of Texas at Austin,United States,78.5,67.9,65.3,,76.1
=46,44  ,Humboldt-Universität zu Berlin,Germany,78.7,68.7,61.8,,76
=46,61  ,The University of Exeter,United Kingdom,76.8,72.8,73,,76
=48,50  ,Brown University,United States,77.7,69.2,67.8,,75.9
=48,47=,The University of Auckland,New Zealand,76.9,74.3,69.6,,75.9
50,46  ,Monash University,Australia,76.1,78.7,68.4,,75.6
=51,57  ,Pennsylvania State University,United States,77.4,65.7,70,,75.5
=51,51  ,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,77.8,78.1,54.6,,75.5
=53,45  ,Seoul National University,South Korea,78.1,78.3,50.7,,75.4
=53,52  ,Universiti Malaya (UM),Malaysia,75.9,75,71.7,,75.4
55,65=,Leiden University,Netherlands,76.9,62.7,70.8,,74.9
56,47=,University of Virginia,United States,76,60.7,73.7,,74.2
57,54=,The Ohio State University,United States,75.2,62.3,76.7,,74.1
58,54=,Yonsei University,South Korea,75.2,77.3,60.7,,74
59,58=,Ludwig-Maximilians-Universität München,Germany,76.5,69,56.7,,73.8
60,58=,Sorbonne University,France,77,70.5,49.1,,73.6
61,76  ,Victoria University of Wellington,New Zealand,75,70.5,64.5,,73.5
62,63=,University of Bristol,United Kingdom,73.4,78,68.3,,73.4
=63,67=,Northwestern University,United States,73.9,69.5,72.1,,73.3
=63,54=,University of Wisconsin-Madison,United States,73.9,66,75.6,,73.3
=65,60  ,Michigan State University,United States,70.9,65,100,,73.2
=65,62  ,University of Illinois at Urbana-Champaign,United States,74.6,65.6,69.3,,73.2
=67,87  ,KU Leuven,Belgium,74.4,61.7,74.3,,73.1
=67,70  ,SOAS University of London ,United Kingdom,73.2,68.4,76.9,,73.1
=69,71  ,Johns Hopkins University,United States,72.8,75.2,72.1,,73
=69,63=,The University of New South Wales (UNSW Sydney),Australia,72.2,79.4,72.5,,73
=71,,Alma Mater Studiorum - University of Bologna,Italy,74.7,74.2,57.6,,72.9
=71,73  ,University of Nottingham,United Kingdom,73,74.3,71,,72.9
73,74=,Ruprecht-Karls-Universität Heidelberg,Germany,74.2,65.6,67,,72.6
=74,78=,"University of California, Irvine",United States,75.2,53.4,70.4,,72.5
=74,72  ,University of Copenhagen,Denmark,72.9,65.4,76.1,,72.5
76,74=,York University,Canada,74.2,58.1,72.2,,72.4
77,80=,The University of Queensland,Australia,71.6,76.1,74.2,,72.3
78,101-150,Utrecht University,Netherlands,72.8,62.4,77.3,,72.2
79,80=,Rutgers University–New Brunswick,United States,72.8,61.6,77.3,,72.1
=80,67=,Cardiff University,United Kingdom,74.1,69.2,58.3,,72
=80,95=,Kyoto University,Japan,75.7,75.7,38.2,,72
=80,95=,Newcastle University,United Kingdom,73.1,71.2,63.9,,72
=83,77  ,National Taiwan University (NTU),Taiwan,73.7,80.2,49.6,,71.9
