QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
History of Art,,,,,,,,
Faculty Area,,Arts & Humanities,,Institutions Considered,,1945,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.9,,,
,,,,Employer,0.1,,,
,,,,Citations,,,,
,,,,H,,,,
Top 40 Universities - History of Art,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
1,1  ,Royal College of Art,United Kingdom,100,79.5,,,98
2,4  ,National University of Singapore (NUS),Singapore,97.7,95.1,,,97.4
3,2  ,Columbia University,United States,96.4,86.8,,,95.4
4,3  ,The Courtauld Institute of Art,United Kingdom,94.4,67.2,,,91.7
5,5  ,Tsinghua University,China (Mainland),89.6,77.9,,,88.4
6,,The University of Tokyo,Japan,88.2,87.6,,,88.1
7,9  ,The New School,United States,93.5,37.7,,,87.9
8,6  ,Harvard University,United States,86.3,100,,,87.7
9,7  ,Rhode Island School of Design (RISD),United States,87.1,69.5,,,85.3
10,8  ,University of Cambridge,United Kingdom,83.9,97.3,,,85.2
11,11  ,University of Oxford,United Kingdom,82.8,97.3,,,84.3
12,13=,"University of California, Berkeley (UCB)",United States,82.7,87.5,,,83.2
13,13=,Yale University,United States,83.2,75.5,,,82.4
14,17  ,Sapienza University of Rome,Italy,81.9,78.1,,,81.5
15,18  ,Universita' IUAV di Venezia,Italy,88.4,18.8,,,81.4
16,15  ,UCL,United Kingdom,81.6,77.8,,,81.2
17,10  ,Pratt Institute,United States,80.6,85.9,,,81.1
18,,Politecnico di Torino,Italy,82.8,60,,,80.5
19,19  ,Tokyo Institute of Technology (Tokyo Tech),Japan,82.5,56.9,,,79.9
20,,Universidad Nacional Autónoma de México (UNAM),Mexico,79.6,81.9,,,79.8
21-40,,Architectural Association School of Architecture,United Kingdom,79.4,56.6,,,
21-40,,Cornell University,United States,76.5,75,,,
21-40,,Glasgow School of Art (GSA),United Kingdom,81.2,18.8,,,
21-40,12  ,"Goldsmiths, University of London",United Kingdom,80.7,66,,,
21-40,,Humboldt-Universität zu Berlin,Germany,76.6,71.9,,,
21-40,,"Nanyang Technological University, Singapore (NTU)",Singapore,77.6,85.8,,,
21-40,,National Taiwan University (NTU),Taiwan,75.5,82.8,,,
21-40,,New York University (NYU),United States,78.1,75.6,,,
21-40,,Princeton University,United States,79.7,65.1,,,
21-40,,Sorbonne University,France,74.5,79.1,,,
21-40,,Technical University of Munich,Germany,78.2,58.2,,,
21-40,,The University of Edinburgh,United Kingdom,77.4,66.6,,,
21-40,,The University of Hong Kong,Hong Kong SAR,77.1,86.4,,,
21-40,,The University of Melbourne,Australia,75.9,67.8,,,
21-40,,The University of Sydney,Australia,78.1,76,,,
21-40,,Tianjin University,China (Mainland),78.9,46.5,,,
21-40,,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,79.6,60.9,,,
21-40,,Université Paris 1 Panthéon-Sorbonne ,France,75.6,85.6,,,
21-40,,University of Basel,Switzerland,77.9,65.3,,,
21-40,20  ,"University of California, Los Angeles (UCLA)",United States,79.7,68.4,,,
21-40,,Waseda University,Japan,80.1,69,,,
