QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Materials Science,,,,,,,,,
,,,,Institutions Considered,,1516,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 420 Universities - Materials Science,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
1,1  ,Massachusetts Institute of Technology (MIT) ,United States,100,100,90.5,91,74.8,93.8
2,2=,Stanford University,United States,93.2,96.1,93.3,91,73.1,91.1
=3,4  ,Harvard University,United States,90.7,97.6,92.3,88.6,82.7,90.5
=3,2=,University of Cambridge,United Kingdom,95.3,96.1,88.2,87.7,75.4,90.5
5,6  ,"Nanyang Technological University, Singapore (NTU)",Singapore,88.5,88.2,94.5,98.1,76.9,90.4
6,5  ,"University of California, Berkeley (UCB)",United States,92.6,93.3,91.3,89.2,70,89.5
7,7  ,University of Oxford,United Kingdom,93.6,95.9,86.9,81.6,79.9,88.7
8,12  ,National University of Singapore (NUS),Singapore,87.1,93.2,92.8,93.3,71.7,88.6
9,11  ,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,90.7,96.9,85.3,84.5,77.7,87.7
10,8  ,EPFL,Switzerland,91.7,92.4,86.5,82.8,77.4,87.5
11,9  ,Imperial College London,United Kingdom,88.7,89.9,85.5,84.9,88.5,87.4
12,10  ,Tsinghua University,China (Mainland),85.8,90.6,88.2,98.5,60.2,86.7
13,13  ,Georgia Institute of Technology,United States,85.5,87.8,90.4,90.2,68.2,85.9
14,16=,Delft University of Technology,Netherlands,87.9,89.1,82.5,79.2,77.7,84.2
15,19  ,"University of California, Los Angeles (UCLA)",United States,83.2,81.8,89.8,85.4,68.5,83.4
16,15  ,Northwestern University,United States,86.1,77.6,90.3,85.1,59.8,83.3
=17,14  ,California Institute of Technology (Caltech),United States,89.5,96,83.7,74.7,60.1,83.1
=17,16=,Peking University,China (Mainland),78.7,85.9,90.4,96.5,56,83.1
19,21  ,The University of Manchester,United Kingdom,82.3,79,86.4,82.6,80.5,82.7
20,20  ,The University of Tokyo,Japan,87.2,87.3,77.7,81.2,72.4,82.6
21,18  ,KAIST - Korea Advanced Institute of Science & Technology,South Korea,82.1,82.7,86.5,87.2,64.1,82.3
22,22  ,Seoul National University,South Korea,82.3,86.1,84.5,86.3,62.9,82
=23,31  ,Technical University of Munich,Germany,85.6,81.9,80.5,76.4,80.3,81.8
=23,24  ,University of Illinois at Urbana-Champaign,United States,82.7,85.6,84,80.1,73.6,81.8
=25,23  ,KTH Royal Institute of Technology ,Sweden,81.5,79,82.2,81.3,83.8,81.6
=25,28  ,Shanghai Jiao Tong University,China (Mainland),78.9,81.7,84.2,92.2,66.3,81.6
27,25  ,"University of California, Santa Barbara (UCSB)",United States,80.3,76,88.9,83.4,66.9,80.9
28,27  ,RWTH Aachen University,Germany,84.5,81.4,77.9,77.1,78.4,80.8
29,29  ,"KIT, Karlsruhe Institute of Technology",Germany,82,79.4,80.8,80.4,77.1,80.7
=30,26  ,Pennsylvania State University,United States,77.1,79.3,88.1,86.3,68.8,80.5
=30,38=,The University of New South Wales (UNSW Sydney),Australia,75,75.8,87.6,85.7,82.6,80.5
32,30  ,Technische Universität Dresden,Germany,78.4,68.9,82.6,82.8,90.3,80.4
=33,38=,KU Leuven,Belgium,78.7,80.3,80.9,77.4,85.6,79.7
=33,32  ,Monash University,Australia,74.2,76.1,90.4,85.9,71,79.7
=33,37  ,Purdue University,United States,75.1,90.6,82.5,81.3,78.2,79.7
=36,44  ,Cornell University,United States,79.2,82.8,86.4,78.9,65.2,79.5
=36,34=,University of Texas at Austin,United States,75.2,77.3,90,84.9,67.4,79.5
=36,41  ,University of Toronto,Canada,76.7,86.2,86,82.4,64.7,79.5
39,36  ,University of Michigan-Ann Arbor,United States,76.1,81.6,86.2,83.8,67,79.3
40,38=,Zhejiang University,China (Mainland),70.8,77.7,86.4,94.7,66.4,79
=41,34=,Politecnico di Milano,Italy,82.2,82.5,74.1,73.2,82.6,78.9
=41,43  ,UCL,United Kingdom,75.1,77,84.7,82,77.9,78.9
43,56  ,King Abdullah University of Science & Technology (KAUST),Saudi Arabia,71.2,69.7,95.1,87.2,69.3,78.8
44,42  ,Fudan University,China (Mainland),68.6,78.4,91.4,93.8,59.3,78.3
45,33  ,Pohang University of Science And Technology (POSTECH),South Korea,77.3,84.6,86.7,83.1,48.1,78.2
46,46  ,Tokyo Institute of Technology (Tokyo Tech),Japan,84.1,81.2,74.1,72.8,69.4,78.1
47,45  ,The Hong Kong University of Science and Technology,Hong Kong SAR,73.2,77.7,92.4,86.9,50.4,78
48,53  ,Kyoto University,Japan,78.4,75.5,80.2,81.5,62.3,77.5
49,63  ,Yonsei University,South Korea,76,77.4,83.8,82.6,59.1,77.3
=50,47=,Tohoku University,Japan,80.5,74.5,74.2,76.7,74.1,77.2
=50,51=,University of Science and Technology of China,China (Mainland),67.4,73.6,89.1,96.5,57.3,77.2
52,57  ,McGill University,Canada,77.6,84.8,80,74,68.1,77.1
53,59=,Université Paris-Saclay,France,71.2,80.5,76.4,77.6,96.8,77
54,61=,The University of Sheffield,United Kingdom,73.4,75.9,84,76.9,77.9,76.9
55,49  ,Carnegie Mellon University,United States,76,77.4,88.3,77.3,54.2,76.7
=56,47=,Chalmers University of Technology,Sweden,74.5,72.7,82.7,75.7,78.5,76.6
=56,67=,Harbin Institute of Technology,China (Mainland),66.9,75.1,83.1,91.8,73.7,76.6
=56,51=,Technical University of Denmark,Denmark,76.6,73.7,78.8,77.1,73.8,76.6
59,67=,University of British Columbia,Canada,72.8,84.4,82.5,77.4,69.3,76.5
60,,Eindhoven University of Technology,Netherlands,75.1,76.2,83.4,76.9,66.4,76.4
61,54=,"University of California, San Diego (UCSD)",United States,71.1,77.4,89,83.5,54.9,76.2
=62,67=,City University of Hong Kong,Hong Kong SAR,64.8,68.7,93.4,90.4,65.4,76.1
=62,61=,Technische Universität Berlin (TU Berlin),Germany,74.6,75.6,80,74,78.6,76.1
=62,,University of Chinese Academy of Sciences,China (Mainland),62.5,65.7,87.8,100,69.4,76.1
65,73=,Nanjing University,China (Mainland),65.9,71.5,90.3,92.5,57.2,75.8
66,59=,Politecnico di Torino,Italy,74.4,80.8,76.9,74.9,75.3,75.7
=67,50  ,Princeton University,United States,76.5,82.8,86.2,71.5,49.8,75.4
=67,54=,The University of Melbourne,Australia,69,77.8,86.9,78.4,69.9,75.4
=67,73=,University of Pennsylvania,United States,71.2,76.9,86.9,77.3,64,75.4
=70,85=,The University of Queensland,Australia,64.6,70.8,91,85.6,69.5,75.2
=70,92  ,University of Birmingham,United Kingdom,70.9,76.1,83.1,74.6,77.2,75.2
72,64  ,Université PSL,France,69,78.9,81.2,77.8,77.9,75.1
73,82=,Ghent University,Belgium,67.5,67.7,81.8,77.3,94.4,75
=74,70=,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,68.7,66.5,81.6,77.9,89,74.9
=74,58  ,Sungkyunkwan University(SKKU),South Korea,67.4,72.8,86.9,86.1,60.3,74.9
=74,89=,The University of Sydney,Australia,67.4,77.1,85.4,79.1,73.2,74.9
77,93  ,National Taiwan University (NTU),Taiwan,72.5,77.3,82.4,81.5,52.9,74.8
78,77=,Hanyang University,South Korea,66.7,73.8,85.2,84.8,66.3,74.7
=79,75  ,The University of Hong Kong,Hong Kong SAR,69.4,80,89.7,82.2,44.7,74.6
=79,77=,"Trinity College Dublin, The University of Dublin",Ireland,73.2,72.6,85.5,73,63.4,74.6
=79,82=,University of Waterloo,Canada,65.1,75.4,88.4,82.3,68.6,74.6
82,72  ,Indian Institute of Science,India,73.2,78.8,79.8,76.6,60.9,74.5
=83,66  ,King Abdulaziz University (KAU),Saudi Arabia,56.9,65.8,90,86,98.4,74.4
=83,76  ,The Ohio State University,United States,70.7,76.8,87.3,76.4,56.6,74.4
=85,101-150,Indian Institute of Technology Bombay (IITB),India,76.5,81.4,79.4,70.4,55,74.2
=85,100=,Norwegian University of Science And Technology,Norway,69.5,70.4,78.7,72.6,91.3,74.2
87,87=,Osaka University,Japan,73.1,73.7,73.3,76,76.3,74.1
88,94  ,Linköping University,Sweden,63.5,66.5,91.5,79.8,77,74
=89,101-150,Indian Institute of Technology Delhi (IITD),India,74.5,78.5,75.5,71.9,67.9,73.9
=89,89=,Texas A&M University,United States,66.4,68.4,82.6,81,77.5,73.9
=91,100=,Columbia University,United States,67.3,77.8,87.4,78.4,58.9,73.8
=91,70=,Rice University,United States,68.9,53.7,92.8,81.7,59.6,73.8
=91,101-150,Uppsala University,Sweden,67.2,71.8,82.9,75.9,79.3,73.8
94,82=,RMIT University,Australia,63.8,62.9,87.8,83.4,75.4,73.6
=95,85=,Sorbonne University,France,65.1,77.5,78.9,76.9,85.3,73.5
=95,87=,Université Grenoble Alpes,France,65.2,66.7,76.9,78.6,96.9,73.5
=97,95=,Swansea University,United Kingdom,66.2,76.4,86.1,71.5,77.6,73.4
=97,101-150,The Hong Kong Polytechnic University,Hong Kong SAR,66.2,68.1,88.4,86.2,52.3,73.4
=97,80=,University of Science and Technology Beijing,China (Mainland),65,69.8,82.1,89.7,60.7,73.4
=100,65  ,Korea University,South Korea,65.3,74.7,86.5,84.6,55.3,73.3
=100,101-150,Universiti Malaya (UM),Malaysia,69,68.5,79.4,72.8,84.3,73.3
101-150,80=,Aalto University,Finland,67.1,52,83,78.1,86.4,
101-150,101-150,Beihang University (former BUAA),China (Mainland),59,58.2,83.8,89.8,60.5,
101-150,101-150,Beijing Institute of Technology,China (Mainland),63.1,63,83.7,89.4,56.8,
101-150,95=,"Grenoble INP, Grenoble Institute of Technology",France,65.9,73.4,77.8,74,80.8,
101-150,101-150,Huazhong University of Science and Technology,China (Mainland),59.2,58.7,86.9,93.6,67.4,
101-150,101-150,Indian Institute of Technology Kanpur (IITK),India,70.7,78.2,77.3,71.1,46.9,
101-150,101-150,Indian Institute of Technology Kharagpur (IIT-KGP),India,68.5,75.3,78.4,74.2,63.9,
101-150,101-150,Indian Institute of Technology Madras (IITM),India,71.7,77.9,75.1,69.9,61.2,
101-150,101-150,Institut National des Sciences Appliquées de Lyon (INSA),France,67.6,67.8,74.7,65.8,78,
101-150,101-150,Institut Polytechnique de Paris,France,69.7,76.7,74.2,64.7,77.1,
101-150,101-150,Johns Hopkins University,United States,66.2,72.2,83,76,63.6,
101-150,101-150,King Fahd University of Petroleum & Minerals,Saudi Arabia,64.6,68.8,85.7,74,75.2,
101-150,101-150,King Saud University,Saudi Arabia,60.6,58.8,81.3,78.7,100,
101-150,101-150,Kyushu University,Japan,66.9,69.4,77,74.4,67.5,
101-150,101-150,Ludwig-Maximilians-Universität München,Germany,71,68.2,82.5,70.8,63.6,
101-150,101-150,Lund University,Sweden,68.4,72,79.5,68.5,75.5,
101-150,97  ,National Taipei University of Technology,Taiwan,81.5,66.7,78.9,71.3,34.4,
101-150,101-150,National Tsing Hua University,Taiwan,67.8,74.4,82.7,79.2,60.9,
101-150,101-150,North Carolina State University,United States,61,70.8,87.1,82.6,54.3,
101-150,151-200,Queensland University of Technology (QUT),Australia,56.6,61.5,91.5,82.4,61.4,
101-150,101-150,Sapienza University of Rome,Italy,66,75.1,76,70.1,72.9,
101-150,151-200,South China University of Technology,China (Mainland),59.9,50.6,88.5,94.2,56.2,
101-150,101-150,Technical University of Darmstadt,Germany,67,68.3,78.5,71.9,70.7,
101-150,101-150,Technische Universität Wien,Austria,69.2,62.1,74.9,68.5,76.2,
101-150,99  ,The Australian National University,Australia,62,78.2,83.4,77.1,63,
101-150,101-150,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,58.9,74.1,92.2,84.3,34.2,
101-150,101-150,The University of Adelaide,Australia,55.6,64.6,92.7,80.6,64.1,
101-150,101-150,The University of Edinburgh,United Kingdom,63.9,73.4,81.1,70.1,65.2,
101-150,151-200,Tianjin University,China (Mainland),53.8,63.4,85.7,93.9,65.8,
101-150,,Ulsan National Institute of Science and Technology (UNIST),South Korea,61.6,63.7,90.4,81.9,44.9,
101-150,101-150,Universidad Autónoma de Madrid,Spain,61.3,62.6,84.6,74.7,78.8,
101-150,101-150,Universidade de São Paulo,Brazil,67.6,79.1,72.8,71.1,69.6,
101-150,101-150,Universitat de Barcelona,Spain,63.1,70.8,81,68.7,78.1,
101-150,101-150,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,68,70,77,74,85.1,
101-150,151-200,Université de Montréal ,Canada,72.3,70.9,78,69.9,61.4,
101-150,101-150,Université de Strasbourg,France,64.7,72.8,81,71.9,85.7,
101-150,151-200,University of Alberta,Canada,62,68.2,81.8,76.2,64.7,
101-150,101-150,University of Bristol,United Kingdom,65.9,68.6,78.4,70.4,76.8,
101-150,151-200,University of Florida,United States,58.7,65,83,79.2,73.2,
101-150,101-150,University of Glasgow,United Kingdom,65,68.8,79.8,70.6,78.2,
101-150,101-150,University of Leeds,United Kingdom,62.6,67.5,80.5,71.7,75,
101-150,101-150,"University of Maryland, College Park",United States,54.7,70.1,88.8,83.8,67.5,
101-150,101-150,University of Minnesota Twin Cities,United States,65.7,69.9,84,77.1,60,
101-150,101-150,University of Nottingham,United Kingdom,66,70.9,83,72.3,81,
101-150,151-200,University of Technology Sydney,Australia,58.6,60.2,89.4,78.7,66,
101-150,,University of Twente,Netherlands,65.9,71.3,80.1,72.3,69.6,
101-150,101-150,University of Washington,United States,57.7,73.5,90,82.8,59.2,
101-150,100=,University of Wisconsin-Madison,United States,64.7,70.2,85.5,78.9,65.2,
101-150,101-150,University of Wollongong,Australia,58.2,58,94.9,89,72.7,
101-150,101-150,Wuhan University,China (Mainland),56.8,66.3,88.7,90.2,60.2,
101-150,79  ,Xi’an Jiaotong University,China (Mainland),61.9,63.3,83.8,92.9,66.2,
101-150,98  ,Yale University,United States,69,82,88.7,75.1,43.8,
151-200,,Aarhus University,Denmark,57.8,58.3,84.9,71.9,68,
151-200,151-200,Alma Mater Studiorum - University of Bologna,Italy,61.8,75.3,77.3,69.4,60,
151-200,151-200,Arizona State University,United States,59.9,60.1,82.3,73.6,73.8,
151-200,101-150,Central South University,China (Mainland),53,59.9,82.7,90.7,69.5,
151-200,101-150,Colorado School of Mines,United States,65.6,64.4,83.4,70.6,44.7,
151-200,201-250,Cranfield University,United Kingdom,61.9,68,81,63.8,73.9,
151-200,201-250,Curtin University,Australia,52,61.6,88.1,77.6,66,
151-200,151-200,Duke University,United States,58.2,69,87,75.1,50.6,
151-200,151-200,Hokkaido University,Japan,65.9,67.6,76.1,72.8,55.2,
151-200,151-200,Istanbul Technical University,Turkey,64.4,69.9,72,59.5,76.3,
151-200,101-150,Jilin University,China (Mainland),52.3,58.4,88.3,92.7,54.2,
151-200,151-200,King's College London,United Kingdom,60,69.7,84,70.1,71.9,
151-200,101-150,Lomonosov Moscow State University,Russia,67.1,81.9,63.7,67.2,74.8,
151-200,151-200,Loughborough University,United Kingdom,58.9,75.6,81.5,64.4,64.8,
151-200,201-250,Lulea University,Sweden,60.6,55.6,79.5,68,75.1,
151-200,101-150,McMaster University,Canada,68.7,74.4,80.5,69,43.4,
151-200,151-200,Nagoya University,Japan,66.7,72.3,71.3,66.7,62,
151-200,251-300,Nankai University,China (Mainland),49.8,52.6,92.4,90.3,51.5,
151-200,151-200,Queen Mary University of London,United Kingdom,56.3,68.1,84.8,72.8,66.6,
151-200,151-200,Shanghai University,China (Mainland),55.1,59.9,82.7,88.1,64.3,
151-200,201-250,Sichuan University,China (Mainland),52.1,60.9,86.6,92.1,50.8,
151-200,151-200,Sun Yat-sen University,China (Mainland),50.8,54.5,89.8,92,63,
151-200,101-150,Technion - Israel Institute of Technology,Israel,68.5,59.3,79.4,72.8,54.6,
151-200,91  ,The National University of Science and Technology MISIS,Russia,60,65.4,72.4,71.7,87.7,
151-200,151-200,The University of Auckland,New Zealand,58.2,72,85.6,69.9,57.2,
151-200,151-200,The University of Warwick,United Kingdom,60.3,71,81.2,70.6,65,
151-200,151-200,Tongji University,China (Mainland),56,59.9,84.4,88.1,65,
151-200,151-200,Universidad Politécnica de Madrid (UPM),Spain,66.1,73.1,73.4,61.6,69.7,
151-200,101-150,Universidade Estadual de Campinas (Unicamp),Brazil,64.7,72.4,77.5,71.1,65.5,
151-200,151-200,Universitat Autònoma de Barcelona,Spain,59.7,62.1,82,71.5,67.8,
151-200,151-200,Universitat Politècnica de València,Spain,60.9,67.7,77.5,66.7,79.8,
151-200,101-150,Universität Stuttgart,Germany,63.3,68.4,75.3,68.2,72.8,
151-200,151-200,Université catholique de Louvain (UCLouvain),Belgium,63.6,71.4,78.6,63.8,65,
151-200,,Université de Lille,France,58,61.4,75.9,71.1,88.1,
151-200,201-250,Université de Montpellier,France,57.6,57.5,79.9,72.1,76.5,
151-200,201-250,Universiti Putra Malaysia (UPM),Malaysia,58.2,60.7,79,72.8,73.9,
151-200,151-200,Universiti Teknologi Malaysia ,Malaysia,61.4,63.4,74.4,71.1,76.9,
151-200,151-200,University of Aveiro,Portugal,58.3,44.2,79.3,71.3,90.7,
151-200,151-200,University of Delaware,United States,60.5,58.5,81.5,70.8,64.7,
151-200,151-200,University of Groningen,Netherlands,58.3,66.2,86.4,71.9,61.4,
151-200,151-200,University of Liverpool,United Kingdom,60.1,62.2,84.3,73.6,72.8,
151-200,151-200,University of Massachusetts Amherst,United States,61,64.3,90.4,73.6,53.1,
151-200,151-200,University of Porto,Portugal,62.5,57.2,76.8,68.5,75.4,
151-200,101-150,University of Southampton,United Kingdom,60.7,66.9,75.1,71.1,89.8,
151-200,151-200,Virginia Polytechnic Institute and State University,United States,62.5,59.5,81.7,75.7,63,
151-200,151-200,Wuhan University of Technology,China (Mainland),51,38.7,89.6,93,66.6,
151-200,151-200,Xiamen University,China (Mainland),51.9,54.3,89.3,89.5,54.1,
201-250,251-300,Anna University,India,46.3,54.1,75.5,82.3,88,
201-250,151-200,Boston University,United States,57.9,68.1,78.7,64.4,58.4,
201-250,201-250,Brno University of Technology,Czech Republic,58.8,60.9,68.7,66.4,87.6,
201-250,151-200,Brown University,United States,60.7,65.6,85.2,70.4,45.7,
201-250,151-200,Case Western Reserve University,United States,53.2,58.3,88.9,76.2,60.5,
201-250,151-200,Complutense University of Madrid,Spain,61.1,59.6,81.7,69.9,57.3,
201-250,151-200,Dalian University of Technology,China (Mainland),48.4,53.8,82.7,87.6,61.7,
201-250,201-250,Drexel University,United States,48.5,33.5,100,82.4,52.1,
201-250,151-200,Graz University of Technology,Austria,62.2,55.1,77,68.7,65.2,
201-250,201-250,Indian Institute of Technology Roorkee (IITR),India,58.6,65.5,77.2,67.7,55.5,
201-250,201-250,Iowa State University,United States,52.7,63.9,82.2,75.1,64.1,
201-250,201-250,Jeonbuk National University,South Korea,55.4,51.5,83.7,76.9,56.1,
201-250,201-250,Michigan State University,United States,56.9,72.9,80,66.4,63.8,
201-250,201-250,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russia,59,74.5,69.9,65.6,66.1,
201-250,201-250,National Cheng Kung University (NCKU),Taiwan,60.7,69.6,75.7,71.5,49,
201-250,201-250,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,60.4,63.2,78.6,71.9,57.8,
201-250,151-200,Northwestern Polytechnical University,China (Mainland),49.4,51,84.1,91.3,62.4,
201-250,251-300,Qatar University,Qatar,50.4,48.7,86,71.3,84.9,
201-250,,Ruprecht-Karls-Universität Heidelberg,Germany,59,72.5,78.4,65.3,57.2,
201-250,251-300,Southern University of Science and Technology,China (Mainland),46.8,41.5,90.2,86.6,62.1,
201-250,201-250,Stockholm University,Sweden,54.1,62.9,86.2,69.2,67.1,
201-250,201-250,"The University of Tennessee, Knoxville",United States,47.8,46.9,91.6,87.2,62.4,
201-250,251-300,Tokyo University of Science,Japan,69.9,61.4,73.9,62.9,46.3,
201-250,151-200,Universidad Nacional Autónoma de México (UNAM),Mexico,63.8,72.6,69.5,62.9,58.6,
201-250,201-250,Universidade Federal de São Carlos (UFSCar),Brazil,59.2,66.1,74.6,63.5,65,
201-250,151-200,Università di Padova,Italy,56.5,76.3,75,69,68.5,
201-250,,Universität Hamburg,Germany,55.6,64.3,75.9,64.1,79.2,
201-250,201-250,Université Claude Bernard Lyon 1,France,54.4,62.7,76.3,69.9,88.5,
201-250,151-200,Université de Lorraine,France,55.1,46.9,74.5,67.2,98.3,
201-250,301-350,Université Paul Sabatier Toulouse III,France,55.9,44.4,78.1,68,88.6,
201-250,201-250,Universiti Kebangsaan Malaysia (UKM),Malaysia,58.1,60.7,77.1,68.2,75,
201-250,201-250,Universiti Sains Malaysia (USM),Malaysia,60.9,61.8,73.3,67.2,78.5,
201-250,151-200,University of Amsterdam,Netherlands,61.8,72.4,80.1,68.5,49.6,
201-250,201-250,"University of California, Davis",United States,51.4,66.6,80.1,71.3,69.5,
201-250,201-250,"University of California, Irvine",United States,54,61.5,82.9,71.5,60.2,
201-250,151-200,University of Colorado Boulder,United States,54,69,84.9,76.9,54.4,
201-250,,University of Copenhagen,Denmark,57.6,65.7,83.2,69.9,61.1,
201-250,201-250,University of Helsinki,Finland,59.1,61.5,81.7,69,63.4,
201-250,151-200,University of Illinois at Chicago (UIC),United States,58.9,67.7,84.7,72.3,46.9,
201-250,251-300,University of Minho,Portugal,59.4,45.6,79.9,72.3,74.2,
201-250,,University of Naples - Federico II,Italy,56.1,62.4,77.8,69.9,75.2,
201-250,251-300,University of Pittsburgh,United States,52.5,58.9,85.4,74.7,54.5,
201-250,201-250,"University of Rome ""Tor Vergata""",Italy,53.3,63.2,78.9,68,71.4,
201-250,151-200,University of Southern California,United States,57.7,65,80.8,71.1,48.6,
201-250,201-250,University of St Andrews,United Kingdom,61.4,57.1,78.2,63.2,72,
201-250,201-250,University of Strathclyde,United Kingdom,55.7,63.4,77.1,68,76.3,
201-250,,University of the Basque Country,Spain,46.6,51.7,81.7,74.9,90.6,
201-250,201-250,Ural Federal University - UrFU,Russia,61,71.1,62.3,65.6,82.2,
201-250,201-250,Utrecht University,Netherlands,52,65,85.8,69.2,65.6,
201-250,,Vellore Institute of Technology (VIT),India,52.1,65.1,75.2,73,79.7,
201-250,201-250,Warsaw University of Technology,Poland,65.7,61.6,67.7,64.4,71.6,
251-300,251-300,AGH University of Science and Technology,Poland,58,53.1,70,65.6,77.6,
251-300,,Albert-Ludwigs-Universitaet Freiburg,Germany,56.1,52.7,78.1,66.7,60.8,
251-300,201-250,"Arts et Métiers, ParisTech",France,55.1,61.6,75.1,60.9,70.6,
251-300,201-250,Beijing University of Chemical Technology,China (Mainland),47.3,44.5,91.8,90.3,41.2,
251-300,251-300,Charles University,Czech Republic,57.6,58.3,74.2,62.9,69.3,
251-300,251-300,Chulalongkorn University,Thailand,58.3,65.9,75.7,65.8,51.8,
251-300,201-250,Czech Technical University in Prague,Czech Republic,64.7,66.3,63.8,59.9,68.1,
251-300,,Daegu Gyeongbuk Institute of Science and Technology (DGIST),South Korea,53.8,67.1,83.3,70.8,37.2,
251-300,251-300,Donghua University,China (Mainland),46.9,35.3,86,87.7,56.8,
251-300,151-200,Gwangju Institute of Science and Technology (GIST),South Korea,56.4,58.9,83.1,73,44.2,
251-300,201-250,ITMO University,Russia,52.4,66.4,69,70.1,75.1,
251-300,251-300,Khalifa University of Science and Technology,United Arab Emirates,48.5,55.5,84.4,72.6,74.5,
251-300,201-250,Leibniz University Hannover,Germany,53.5,58.3,74.8,67.7,78.8,
251-300,251-300,Middle East Technical University,Turkey,62.2,66.9,74.3,60.2,49.8,
251-300,201-250,Nanjing University of Aeronautics and Astronautics,China (Mainland),46.8,46.5,78.9,83.9,66.5,
251-300,251-300,National Technical University of Athens,Greece,60,62.1,74.8,61.3,55.1,
251-300,251-300,National University of Sciences And Technology (NUST) Islamabad,Pakistan,57,59.8,76.8,65.3,59.8,
251-300,,National Yang Ming Chiao Tung University,Taiwan,53.9,65.5,77.1,74.7,52.7,
251-300,,New York University (NYU),United States,53.9,69.5,81.6,65.8,47.8,
251-300,201-250,Newcastle University,United Kingdom,54.2,62.9,82.4,66.4,60.4,
251-300,201-250,Pusan National University,South Korea,53,62.8,79.7,75.9,52.6,
251-300,251-300,Quaid-i-Azam University,Pakistan,51.7,47.5,82.4,70.4,68.5,
251-300,251-300,Rutgers University–New Brunswick,United States,48.6,63.7,83.9,71.3,57.7,
251-300,251-300,Saint Petersburg State University,Russia,55.9,70.8,65.4,60.6,80.1,
251-300,201-250,Shandong University,China (Mainland),42,50.9,85,88.4,61.1,
251-300,201-250,Sharif University of Technology,"Iran, Islamic Republic of",48.9,40.3,82.6,75.1,80.4,
251-300,301-350,Shenzhen University,China (Mainland),41.8,43.1,89.3,90.8,65.2,
251-300,201-250,Soochow University,China (Mainland),45.1,21.4,92,94.2,58.7,
251-300,251-300,Southeast University,China (Mainland),46.4,54.3,82,86.9,58.4,
251-300,151-200,Swinburne University of Technology,Australia,47,52,86.8,77.9,68,
251-300,251-300,UNESP,Brazil,57.2,67.7,73,65.3,55.7,
251-300,251-300,Universidad de Zaragoza,Spain,53.4,54.3,78.8,68.5,71.5,
251-300,251-300,Universidade Federal do Rio de Janeiro,Brazil,60.1,64,72.9,61.6,57.9,
251-300,301-350,Universiti Teknologi PETRONAS (UTP),Malaysia,57.5,57.9,74.8,64.4,61.9,
251-300,201-250,University of Antwerp,Belgium,54.9,49.5,82.7,68,68.3,
251-300,201-250,University of Calgary,Canada,52.9,68.4,83,67.2,52.6,
251-300,251-300,"University of California, Riverside",United States,49.8,52.6,90.4,76.2,44.5,
251-300,251-300,University of Lisbon ,Portugal,52.1,47.7,76,69,79.8,
251-300,201-250,"University of North Carolina, Chapel Hill",United States,53.1,58.3,92,77.3,32.1,
251-300,301-350,University of Surrey,United Kingdom,51.1,61.4,82.1,68,65.2,
251-300,251-300,University of Texas Dallas,United States,47.9,55.7,86.2,73.4,58.4,
251-300,201-250,University of Trento,Italy,55,55.3,77.3,61.6,73.7,
251-300,251-300,University of Tsukuba,Japan,54.5,62,77.6,68.2,60.2,
251-300,251-300,University of Virginia,United States,54.5,62.2,82.9,69.9,39.8,
251-300,251-300,Waseda University,Japan,58.2,68.6,76.9,66.1,54,
251-300,251-300,Washington State University,United States,47.4,63,90.4,77.3,52.9,
251-300,251-300,Weizmann Institute of Science,Israel,60.6,37.5,81.9,66.7,47.8,
