QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Nursing,,,,,,,,
Faculty Area,,Life Sciences & Medicine,,Institutions Considered,,735,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.3,,,
,,,,Employer,0.1,,,
,,,,Citations,0.3,,,
,,,,H,0.3,,,
Top 200 Universities - Nursing,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
1,1  ,University of Pennsylvania,United States,100,99.9,92.3,100,97.7
2,2  ,King's College London,United Kingdom,95.4,97,96.6,99.5,97.2
3,3  ,Johns Hopkins University,United States,90.3,95.5,88.6,98.6,92.8
4,4  ,University of Washington,United States,95.6,83.1,89.2,92.9,91.6
5,7=,University of Toronto,Canada,81.6,91.1,90.4,97.2,89.9
6,7=,The University of Manchester,United Kingdom,86.1,88.3,92.9,89.7,89.4
7,5  ,University of Alberta,Canada,82.2,84.7,92.6,94.2,89.2
8,16  ,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,81.8,83.8,99.1,88.1,89.1
9,10  ,Yale University,United States,82.5,97.6,90.2,90.8,88.8
10,9  ,"University of North Carolina, Chapel Hill",United States,80.8,80.9,92.1,95.7,88.7
=11,14  ,Columbia University,United States,83.2,82.2,89.9,92.5,87.9
=11,6  ,University of Southampton,United Kingdom,83.1,69.6,97,89.7,87.9
13,25=,University of British Columbia,Canada,77.2,100,89.2,92.2,87.6
=14,17=,Duke University,United States,86.4,80.9,86.6,91.8,87.5
=14,13  ,The University of Sydney,Australia,75.7,92.1,89.1,96.3,87.5
16,22  ,University of Michigan-Ann Arbor,United States,78.7,86.8,89.5,94.2,87.4
17,11  ,"University of California, San Francisco (UCSF)",United States,88.1,61.6,89.1,93.2,87.3
18,21  ,"University of California, Los Angeles (UCLA)",United States,80.4,92.9,87.9,90.8,87
19,17=,Karolinska Institute,Sweden,79.7,72.3,91.2,94.8,86.9
20,28=,National University of Singapore (NUS),Singapore,75.1,92.2,91.8,91.8,86.8
21,15  ,Monash University,Australia,73.4,83.5,90,97.8,86.7
=22,25=,Emory University,United States,82.6,80.5,87.7,91.1,86.5
=22,12  ,New York University (NYU),United States,83,86.1,87,89.7,86.5
24,20  ,University of Technology Sydney,Australia,78.9,76.3,92.2,90.4,86.1
25,38  ,Taipei Medical University (TMU),Taiwan,80.5,96.6,91.4,82.5,86
26,41=,"Trinity College Dublin, The University of Dublin",Ireland,86,78.4,90.2,83.9,85.9
27,17=,The University of Melbourne,Australia,75,90.1,88.4,92.5,85.8
28,35  ,University of Pittsburgh,United States,80,85.5,86.7,89.7,85.5
29,23  ,Griffith University,Australia,74.9,71.9,91.8,93.8,85.3
30,,KU Leuven,Belgium,72.5,68.4,99.3,88.1,84.8
31,51-100,The Hong Kong Polytechnic University,Hong Kong SAR,81.1,76.4,91.9,83.4,84.6
32,33=,University College Cork,Ireland,75.8,76.2,93.4,86.9,84.5
33,24  ,McMaster University,Canada,77.8,74.4,90.3,87.7,84.2
=34,30  ,Queensland University of Technology (QUT),Australia,72.9,78.1,91.4,89.3,83.9
=34,36  ,Universidade de São Paulo,Brazil,75.6,79.1,84.4,93.2,83.9
36,45=,University of Turku,Finland,76.9,59.2,94.6,87.7,83.7
37,33=,The University of Queensland,Australia,66.8,85,89.3,93.2,83.3
=38,37  ,University of Leeds,United Kingdom,67.1,76.6,94.8,89.3,83
=38,31  ,University of Nottingham,United Kingdom,76.9,64.5,92.1,86.1,83
40,27  ,The University of Hong Kong,Hong Kong SAR,78.5,90,89.7,77.3,82.7
41,32  ,Deakin University,Australia,65.8,80.6,91.1,91.5,82.6
=42,45=,Pennsylvania State University,United States,78.7,80.8,85.3,83,82.2
=42,28=,The University of Edinburgh,United Kingdom,74.2,78.7,91.6,82,82.2
=44,43  ,Australian Catholic University,Australia,61.1,73.1,98.2,90,82.1
=44,51-100,La Trobe University,Australia,66.8,79.3,92.6,87.7,82.1
=44,39  ,McGill University,Canada,74.3,78.6,86.8,86.5,82.1
=44,40  ,The Ohio State University,United States,72.1,74.9,86.6,90,82.1
48,51-100,"The University of Newcastle, Australia (UON)",Australia,66.4,67.7,91.6,91.8,81.7
49,47=, Western Sydney University,Australia,69.3,72,91.7,86.9,81.6
50,41=,Case Western Reserve University,United States,74.5,77.6,86.1,85.2,81.5
51-100,51-100,Aarhus University,Denmark,63.1,64.2,92.3,88.5,
51-100,51-100,Boston College,United States,72.1,57.6,87.7,79,
51-100,51-100,Cardiff University,United Kingdom,71.7,85.6,82.4,75,
51-100,101-150,Chung-Ang University (CAU),South Korea,61.7,67,91,80.5,
51-100,51-100,Curtin University,Australia,60.4,72.6,91.1,87.3,
51-100,51-100,Flinders University,Australia,62.1,72,91.3,87.7,
51-100,51-100,Fudan University,China (Mainland),71,76.2,84.9,75.6,
51-100,51-100,George Washington University,United States,68.8,70.8,90.3,85.7,
51-100,51-100,Ghent University,Belgium,63.2,47.5,91.7,86.9,
51-100,101-150,Huazhong University of Science and Technology,China (Mainland),50.3,62.5,96.5,85.2,
51-100,51-100,Lund University,Sweden,66.8,59.1,88.9,83.4,
51-100,51-100,National Taiwan University (NTU),Taiwan,68.6,84.6,86.8,80,
51-100,,Peking Union Medical School,China (Mainland),63.1,49.1,92.3,81.1,
51-100,51-100,Peking University,China (Mainland),65.3,81.7,90.2,85.2,
51-100,51-100,Queen's University at Kingston,Canada,64,67.2,92.6,77.9,
