QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Psychology,,,,,,,,,
,,,,Institutions Considered,,995,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 330 Universities - Psychology,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
1,1  ,Harvard University,United States,100,100,87.4,100,96.9,97.8
2,2  ,University of Oxford,United Kingdom,96.4,97.8,90.2,95.2,82.6,94.2
3,3  ,University of Cambridge,United Kingdom,96,97.3,87.7,95.1,75,92.8
4,4  ,Stanford University,United States,97.2,93.9,91.7,97.6,63,92.4
5,5  ,UCL,United Kingdom,93.4,84.2,87.6,98.6,91.7,91.3
6,6  ,Yale University,United States,90.3,87.9,85,93.3,86.2,89.1
7,8  ,University of Michigan-Ann Arbor,United States,93.6,73.1,86.1,94.5,84.2,87.6
8,10  ,University of Amsterdam,Netherlands,90.8,77.3,89.9,97.1,76.5,87.5
9,9  ,"University of California, Los Angeles (UCLA)",United States,89.2,85.1,85.7,93.8,76.5,87.3
10,7  ,Columbia University,United States,87.2,77.2,83.7,94.1,100,87
11,11  ,"University of California, Berkeley (UCB)",United States,90.2,87.8,88.7,92.2,57.8,86.6
12,12  ,Massachusetts Institute of Technology (MIT) ,United States,88.4,95.3,94.9,85.9,41.5,85.7
13,15=,University of Toronto,Canada,88.5,77.8,83.3,95.2,73.2,85.1
14,15=,New York University (NYU),United States,88.1,75.3,83.7,94.2,71.8,84.2
15,18  ,KU Leuven,Belgium,82,74.7,86.2,92.6,92.2,83.8
16,13  ,King's College London,United Kingdom,78.9,81.9,86,94.1,87.6,83.7
17,14  ,University of Pennsylvania,United States,86.6,78.7,86.7,94.5,60,83.6
18,21  ,National University of Singapore (NUS),Singapore,84.4,94.3,87.6,84.6,44.8,82.9
19,22  ,University of British Columbia,Canada,89.2,79.9,84,90.9,47.8,82.7
20,17  ,Princeton University,United States,88.8,77.3,100,87,34.1,82.4
21,19  ,The University of Melbourne,Australia,83.6,82.3,83.3,91.2,61.6,82.2
22,20  ,University of Chicago,United States,84.5,80,86.3,89.3,59.2,82.1
23,23  ,The London School of Economics and Political Science (LSE),United Kingdom,87.5,84.8,83.9,79.5,55.7,82
24,26  ,The University of Edinburgh,United Kingdom,81.1,82.8,85.5,87.2,64.4,81.3
25,24  ,Utrecht University,Netherlands,82.7,69.9,87.2,93.3,71,81.2
26,28  ,McGill University,Canada,83.9,76.6,81.7,88.9,58.8,80.4
27,29  ,Northwestern University,United States,81.9,73.8,86,93.2,56.3,80
28,32  ,"Nanyang Technological University, Singapore (NTU)",Singapore,83.8,89.1,80.5,78.6,47.4,79.9
29,30=,University of Groningen,Netherlands,80.1,65.2,85.1,90.9,82.4,79.7
30,25  ,The University of New South Wales (UNSW Sydney),Australia,78.3,80.5,83.6,89.5,59.2,79.3
=31,27  ,The University of Sydney,Australia,78.3,82.3,81.7,88.4,57.4,79
=31,34  ,University of Texas at Austin,United States,79.1,70,87.3,94.7,61,79
33,30=,The University of Queensland,Australia,77.7,76.8,82.5,88.9,67.4,78.9
34,36=,The University of Hong Kong,Hong Kong SAR,80,82,78.7,81.2,60.4,78.4
