QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Veterinary Science,,,,,,,,
Faculty Area,,Life Sciences & Medicine,,Institutions Considered,,460,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.3,,,
,,,,Employer,0.1,,,
,,,,Citations,0.3,,,
,,,,H,0.3,,,
Top 70 Universities - Veterinary Science,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
1,1  ,"Royal Veterinary College, University of London",United Kingdom,100,85.7,99.7,98.1,97.9
2,2  ,"University of California, Davis",United States,96.4,78.6,95.2,100,95.3
3,3  ,Cornell University,United States,96.1,85.3,96,93.9,94.3
4,4  ,Vetsuisse Faculty Bern and Zurich,Switzerland,82.7,93.3,92.6,97.7,91.2
5,5  ,Utrecht University,Netherlands,95.2,82.5,92.9,85.9,90.5
6,9  ,University of Pennsylvania,United States,74.8,88.3,100,93,89.2
7,11  ,Texas A&M University,United States,83.9,77.1,92.1,95.2,89.1
8,6  ,University of Guelph,Canada,84.2,67.1,92.4,94.3,88
9,8  ,The University of Edinburgh,United Kingdom,83.9,81.8,93.8,87.5,87.7
10,7  ,Colorado State University,United States,81.8,61.6,94.6,95.2,87.6
=11,18=,University of Liverpool,United Kingdom,76.6,71.6,98.1,91.1,86.9
=11,12  ,University of Minnesota Twin Cities,United States,74.8,83.1,95.5,91.6,86.9
13,16=,Iowa State University,United States,73.2,79.1,93.9,95.2,86.6
14,14  ,University of Copenhagen,Denmark,78.7,83.9,92.1,87.5,85.9
15,18=,University of Cambridge,United Kingdom,82.8,98.6,91.9,78.4,85.8
=16,13  ,Ghent University,Belgium,79.2,66.2,92.6,91.1,85.5
=16,10  ,The Ohio State University,United States,75.4,72.4,94.8,90.6,85.5
=18,21  ,University of Glasgow,United Kingdom,78.7,80.3,96.3,83,85.4
=18,15  ,University of Wisconsin-Madison,United States,80.1,68,94.3,87.5,85.4
20,24  ,Wageningen University & Research,Netherlands,80.9,91.3,91.6,79.7,84.8
21,28  ,Massey University,New Zealand,73.9,97.1,90.9,84.2,84.4
22,31  ,University of Florida,United States,76.7,68.4,90.1,90.6,84.1
=23,22  ,North Carolina State University,United States,71.4,51.7,96.8,94.3,83.9
=23,25  ,Swedish University of Agricultural Sciences,Sweden,77,52.7,95.9,89.1,83.9
25,16=,University of Bristol,United Kingdom,75.4,72,94.1,85.9,83.8
26,23  ,The University of Sydney,Australia,70.3,100,90.2,85.3,83.7
27,20  ,Universitat Autònoma de Barcelona,Spain,73.4,76.5,92.1,87.5,83.6
28,32  ,University of Veterinary Medicine Vienna,Austria,78,72.9,88.4,87,83.3
=29,29  ,Michigan State University,United States,69.5,68,93.5,87.5,82
=29,26=,The University of Melbourne,Australia,66.2,93.3,91.3,84.7,82
=29,30  ,Université de Montréal ,Canada,62.3,62.8,100,90.1,82
32,26=,The University of Georgia,United States,67.1,53.3,93.7,93,81.5
33,33  ,University of Calgary,Canada,65.3,76.3,95.1,83,80.7
=34,44  ,The University of Queensland,Australia,64.9,93.1,88.9,79.1,79.2
=34,48  ,University of Milan,Italy,67.4,67.7,89.8,84.2,79.2
=36,38  ,Purdue University,United States,62.5,81,89.5,84.2,79
=36,41  ,University of Illinois at Urbana-Champaign,United States,60,74.7,92.6,85.9,79
38,,"VetAgro Sup, Campus Vétérinaire de Lyon",France,69.5,83.9,89.3,76.2,78.9
39,36  ,Ludwig-Maximilians-Universität München,Germany,60.8,76.1,91.7,84.7,78.8
=40,46=,Freie Universitaet Berlin,Germany,71.4,71,86.9,80.4,78.7
=40,46=,Universiti Putra Malaysia (UPM),Malaysia,66,69.9,94,79.1,78.7
42,39  ,University College Dublin,Ireland,63.3,69.6,94.3,81.1,78.6
43,45  ,"École Nationale Vétérinaire, Alfort",France,69.1,87.8,89.5,73.9,78.5
=44,51-70,Murdoch University,Australia,63.6,72.6,93.2,79.7,78.2
=44,50  ,University of Nottingham,United Kingdom,67.9,80.7,89.1,76.9,78.2
46,35  ,Complutense University of Madrid,Spain,63.2,76,91.3,80.4,78.1
47,51-70,Alma Mater Studiorum - University of Bologna,Italy,64,74,88.9,82.3,78
48,34  ,The University of Tokyo,Japan,70.7,91.2,87.9,70.5,77.9
49,43  ,Kansas State University ,United States,60.1,76.2,89.4,83,77.4
50,51-70,University of Prince Edward Island,Canada,56.7,79.3,93.8,79.7,77
51-70,,Alexandria University ,Egypt,56,74,90.6,75.4,
51-70,51-70,Cairo University,Egypt,56.1,76.2,84.3,79.7,
51-70,,Norwegian University of Life Sciences (UMB),Norway,62.5,68.9,91.2,74.7,
51-70,49  ,Seoul National University,South Korea,65,89.9,81.9,76.2,
51-70,51-70,The University of Adelaide,Australia,53.1,88.4,87.1,75.4,
51-70,37  ,Tufts University,United States,60.3,35,98.1,83.6,
51-70,51-70,UNESP,Brazil,72.8,68.1,73.2,79.1,
51-70,51-70,Universidad Nacional Autónoma de México (UNAM),Mexico,66.3,91.3,78.4,72.2,
51-70,42  ,Universidade de São Paulo,Brazil,65.8,83.5,77.5,83,
51-70,51-70,Università di Padova,Italy,55.5,68,91.5,81.7,
51-70,51-70,Université de Liège,Belgium,67,52.4,90.4,76.2,
51-70,,University of British Columbia,Canada,60.7,90.7,84.6,71.4,
51-70,51-70,University of Helsinki,Finland,58.2,67.4,94.1,76.9,
51-70,51-70,"University of Missouri, Columbia",United States,56.2,63.3,92.8,80.4,
51-70,40  ,University of Pisa,Italy,51.8,54,94,86.4,
51-70,51-70,University of Pretoria,South Africa,57.7,54.3,89,79.7,
51-70,51-70,University of Saskatchewan,Canada,66.8,42.3,87.3,83,
51-70,51-70,University of Turin,Italy,53.6,56.7,93.1,81.1,
51-70,,"University of Veterinary and Animal Sciences, Lahore",Pakistan,50.9,90.2,85.6,79.1,
51-70,51-70,Washington State University,United States,63,42.1,91.4,81.1,
