city,country,isShortlisted,more_info,overall_score,rank,rank_display,region,title
Cambridge,United States,0,"[{'label': 'International Fees', 'value': ''}, {'label': 'Scholarship', 'value': ''}, {'label': 'Student Mix', 'value': ''}, {'label': 'English Tests', 'value': ''}, {'label': 'Academic Tests', 'value': ''}]",97.4,1,1,North America,Massachusetts Institute of Technology (MIT) 
Pittsburgh,United States,0,"[{'label': 'International Fees', 'value': ''}, {'label': 'Scholarship', 'value': ''}, {'label': 'Student Mix', 'value': ''}, {'label': 'English Tests', 'value': ''}, {'label': 'Academic Tests', 'value': ''}]",94.9,2,2,North America,Carnegie Mellon University
Berkeley,United States,0,"[{'label': 'International Fees', 'value': ''}, {'label': 'Scholarship', 'value': ''}, {'label': 'Student Mix', 'value': ''}, {'label': 'English Tests', 'value': ''}, {'label': 'Academic Tests', 'value': ''}]",92.7,3,3,North America,"University of California, Berkeley (UCB)"
Cambridge,United States,0,"[{'label': 'International Fees', 'value': ''}, {'label': 'Scholarship', 'value': ''}, {'label': 'Student Mix', 'value': ''}, {'label': 'English Tests', 'value': ''}, {'label': 'Academic Tests', 'value': ''}]",88.5,5,5,North America,Harvard University
Toronto,Canada,0,"[{'label': 'International Fees', 'value': ''}, {'label': 'Scholarship', 'value': ''}, {'label': 'Student Mix', 'value': ''}, {'label': 'English Tests', 'value': ''}, {'label': 'Academic Tests', 'value': ''}]",82.3,9,9,North America,University of Toronto
Seattle,United States,0,"[{'label': 'International Fees', 'value': ''}, {'label': 'Scholarship', 'value': ''}, {'label': 'Student Mix', 'value': ''}, {'label': 'English Tests', 'value': ''}, {'label': 'Academic Tests', 'value': ''}]",81,12,12,North America,University of Washington
Atlanta,United States,0,"[{'label': 'International Fees', 'value': ''}, {'label': 'Scholarship', 'value': ''}, {'label': 'Student Mix', 'value': ''}, {'label': 'English Tests', 'value': ''}, {'label': 'Academic Tests', 'value': ''}]",80.7,13,13,North America,Georgia Institute of Technology
Champaign,United States,0,"[{'label': 'International Fees', 'value': ''}, {'label': 'Scholarship', 'value': ''}, {'label': 'Student Mix', 'value': ''}, {'label': 'English Tests', 'value': ''}, {'label': 'Academic Tests', 'value': ''}]",80.5,14,14,North America,University of Illinois at Urbana-Champaign
Princeton,United States,0,"[{'label': 'International Fees', 'value': ''}, {'label': 'Scholarship', 'value': ''}, {'label': 'Student Mix', 'value': ''}, {'label': 'English Tests', 'value': ''}, {'label': 'Academic Tests', 'value': ''}]",80.2,15,15,North America,Princeton University
Ithaca,United States,0,"[{'label': 'International Fees', 'value': ''}, {'label': 'Scholarship', 'value': ''}, {'label': 'Student Mix', 'value': ''}, {'label': 'English Tests', 'value': ''}, {'label': 'Academic Tests', 'value': ''}]",79.3,16,16,North America,Cornell University
