2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,Wageningen University & Research,Netherlands,,,,,100,99
2,2  ,"University of California, Davis",United States,,,,,86.3,92.2
3,3  ,Swedish University of Agricultural Sciences,Sweden,,,,,94.3,89.2
4,4  ,Cornell University,United States,,,,,82.3,85.4
5,5  ,Purdue University,United States,,,,,73.3,84.3
6,7  ,Ghent University,Belgium,,,,,98.6,82.4
7,8=,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,,,,,70.7,82.3
8,11  ,China Agricultural University ,China (Mainland),,,,,61.8,82.2
9,6  ,Norwegian University of Life Sciences (UMB),Norway,,,,,70.2,82
10,12=,"University of California, Berkeley (UCB)",United States,,,,,70.5,81
11,8=,Iowa State University,United States,,,,,64.1,80.8
=12,12=,University of Copenhagen,Denmark,,,,,100,80.2
=12,10  ,University of Wisconsin-Madison,United States,,,,,72.9,80.2
=14,14  ,Michigan State University,United States,,,,,73.8,80.1
=14,15  ,Texas A&M University,United States,,,,,70.9,80.1
16,19=,The University of Queensland,Australia,,,,,77.8,79.4
17,29  ,"L'Institut Agro (L'Institut Agro Dijon, L'Institut Agro Montpellier, L'Institut Agro Rennes Angers)",France,,,,,97.7,78.9
18,19=,University of British Columbia,Canada,,,,,77.4,78.7
19,22=,University of Florida,United States,,,,,89.3,78.6
20,18  ,University of Illinois at Urbana-Champaign,United States,,,,,76.7,78.4
21,24  ,University of Guelph,Canada,,,,,66.9,77.8
=22,16=,Universität für Bodenkultur Wien,Austria,,,,,87.1,77.6
=22,16=,University of Reading,United Kingdom,,,,,63.1,77.6
24,27  ,University of Göttingen,Germany,,,,,90.3,77.5
=25,22=,North Carolina State University,United States,,,,,74.5,76.8
=25,25  ,The Ohio State University,United States,,,,,83.8,76.8
27,19=,University of Hohenheim,Germany,,,,,80.8,76.7
28,,KU Leuven,Belgium,,,,,85.8,76.4
29,34=,The University of Tokyo,Japan,,,,,64,76.2
=30,42=,The University of Melbourne,Australia,,,,,71.6,75.2
=30,32  ,University of Minnesota Twin Cities,United States,,,,,77.5,75.2
=32,26  ,Université Paris-Saclay,France,,,,,92.8,74.8
=32,30  ,University of Massachusetts Amherst,United States,,,,,57.7,74.8
34,47=,South China Agricultural University,China (Mainland),,,,,48,74.5
35,37=,Nanjing Agricultural University,China (Mainland),,,,,61.4,74.4
36,41  ,Warsaw University of Life Sciences – SGGW (WULS-SGGW),Poland,,,,,82.5,74.3
37,31  ,Oregon State University,United States,,,,,74.3,74.1
38,34=,Pennsylvania State University,United States,,,,,79.3,74
39,33  ,Technical University of Munich,Germany,,,,,74,73.6
40,39  ,Aarhus University,Denmark,,,,,78.6,73.5
41,52  ,Northwest Agriculture and Forestry University,China (Mainland),,,,,62.6,73.3
42,34=,University of Helsinki,Finland,,,,,76.1,73.2
43,40  ,Seoul National University,South Korea,,,,,58.3,73.1
44,47=,Kyoto University,Japan,,,,,70.6,73
=45,53=,Colorado State University,United States,,,,,62.5,72.9
=45,37=,Estonian University of Life Sciences,Estonia,,,,,64.6,72.9
=45,51  ,IPB University (a.k.a. Bogor Agricultural University),Indonesia,,,,,35.8,72.9
48,59  ,University of Nebraska - Lincoln,United States,,,,,73.7,72.1
=49,44  ,Kansas State University ,United States,,,,,69.7,72
=49,66=,"University of Agriculture, Faisalabad ",Pakistan,,,,,66.3,72
51,55=,Washington State University,United States,,,,,75.1,71.7
52,45  ,Tokyo University of Agriculture and Technology ,Japan,,,,,58.9,71.6
=53,53=,Alma Mater Studiorum - University of Bologna,Italy,,,,,71.4,71.5
=53,57=,Kasetsart University,Thailand,,,,,62,71.5
55,57=,The Australian National University,Australia,,,,,60.7,71.3
56,47=,The University of Georgia,United States,,,,,69.7,71.1
57,101-150,Peking University,China (Mainland),,,,,39.7,70.7
58,66=,The University of Sydney,Australia,,,,,64.9,70.5
=59,79  ,University College Dublin,Ireland,,,,,57.3,70.4
=59,65  ,University of Nottingham,United Kingdom,,,,,71.7,70.4
=61,60  ,Massey University,New Zealand,,,,,64.9,70.3
=61,62=,The University of Edinburgh,United Kingdom,,,,,76.8,70.3
63,64  ,McGill University,Canada,,,,,54.5,70.1
64,62=,Czech University of Life Sciences in Prague,Czech Republic,,,,,82.4,69.9
65,66=,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,,,,,80.5,69.7
