2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,University of Oxford,United Kingdom,,,,,,97.8
2,2  ,Harvard University,United States,,,,,,97.4
3,3  ,University of Cambridge,United Kingdom,,,,,,97.2
4,4  ,UCL,United Kingdom,,,,,,93.7
5,5  ,"University of California, Berkeley (UCB)",United States,,,,,,93
6,6  ,University of Chicago,United States,,,,,,92.3
=7,10  ,Stanford University,United States,,,,,,92.1
=7,7  ,"University of California, Los Angeles (UCLA)",United States,,,,,,92.1
9,8  ,The Australian National University,Australia,,,,,,91.8
10,17  ,Universidad Nacional Autónoma de México (UNAM),Mexico,,,,,,89.3
11,9  ,The London School of Economics and Political Science (LSE),United Kingdom,,,,,,89.2
12,11  ,University of Michigan-Ann Arbor,United States,,,,,,88.5
13,20  ,National University of Singapore (NUS),Singapore,,,,,,87.4
14,21  ,University of British Columbia,Canada,,,,,,87.3
15,16  ,The University of Edinburgh,United Kingdom,,,,,,87.2
16,13  ,University of Toronto,Canada,,,,,,86.5
17,15  ,Yale University,United States,,,,,,86.1
18,18  ,Leiden University,Netherlands,,,,,,85.8
19,12  ,SOAS University of London ,United Kingdom,,,,,,84.7
20,22  ,The University of Melbourne,Australia,,,,,,84.6
21,14  ,Columbia University,United States,,,,,,84.3
22,19  ,University of Amsterdam,Netherlands,,,,,,84.2
23,27=,Universidade de São Paulo,Brazil,,,,,,83.8
24,27=,Universidad de Buenos Aires (UBA),Argentina,,,,,,82.8
25,32=,McGill University,Canada,,,,,,82.6
26,29  ,New York University (NYU),United States,,,,,,82.3
27,31  ,The University of Sydney,Australia,,,,,,81.9
28,23  ,Durham University,United Kingdom,,,,,,81.8
29,26  ,The University of Manchester,United Kingdom,,,,,,81.6
30,24  ,Duke University,United States,,,,,,81.5
31,25  ,University of Copenhagen,Denmark,,,,,,81.3
32,34  ,Princeton University,United States,,,,,,81
33,35  ,The University of Tokyo,Japan,,,,,,80.9
34,42=,University of Pennsylvania,United States,,,,,,80.6
35,36  ,Aarhus University,Denmark,,,,,,80.2
36,37  ,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,,,,,,80
37,39=,Ecole des Hautes Etudes en Sciences Sociales (EHESS),France,,,,,,79.9
38,39=,Arizona State University,United States,,,,,,79.8
39,42=,The University of Arizona,United States,,,,,,79.7
40,45=,University of Wisconsin-Madison,United States,,,,,,79.6
41,,The University of Hong Kong,Hong Kong SAR,,,,,,79.5
42,49  ,Universidad Nacional de Colombia,Colombia,,,,,,78.8
=43,41  ,Kyoto University,Japan,,,,,,78.5
=43,38  ,University of Vienna,Austria,,,,,,78.5
=45,51-100,Brown University,United States,,,,,,77.8
=45,30  ,Humboldt-Universität zu Berlin,Germany,,,,,,77.8
=45,48  ,Université Paris 1 Panthéon-Sorbonne ,France,,,,,,77.8
=48,51-100,Cornell University,United States,,,,,,77.6
=48,47  ,The University of Auckland,New Zealand,,,,,,77.6
=48,51-100,Universidad de los Andes,Colombia,,,,,,77.6
=48,45=,University of Texas at Austin,United States,,,,,,77.6
51-100,51-100,Alma Mater Studiorum - University of Bologna,Italy,,,,,,
51-100,51-100,City University of New York,United States,,,,,,
51-100,51-100,Complutense University of Madrid,Spain,,,,,,
51-100,51-100,Eberhard Karls Universität Tübingen,Germany,,,,,,
51-100,32=,Freie Universitaet Berlin,Germany,,,,,,
51-100,101-150,Gadjah Mada University,Indonesia,,,,,,
51-100,51-100,"Goldsmiths, University of London",United Kingdom,,,,,,
51-100,101-150,Jawaharlal Nehru University,India,,,,,,
51-100,51-100,Johns Hopkins University,United States,,,,,,
51-100,51-100,La Trobe University,Australia,,,,,,
51-100,51-100,Ludwig-Maximilians-Universität München,Germany,,,,,,
51-100,50=,Massachusetts Institute of Technology (MIT) ,United States,,,,,,
51-100,101-150,Michigan State University,United States,,,,,,
51-100,51-100,Monash University,Australia,,,,,,
51-100,51-100,National Taiwan University (NTU),Taiwan,,,,,,
