2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,University of Cambridge,United Kingdom,,,,,,98.9
2,2,University of Oxford,United Kingdom,,,,,,97.7
3,3  ,UCL,United Kingdom,,,,,,96.1
4,4  ,Harvard University,United States,,,,,,90.7
=5,10  ,Durham University,United Kingdom,,,,,,90.3
=5,6=,Leiden University,Netherlands,,,,,,90.3
7,6=,Stanford University,United States,,,,,,89.5
8,8  ,The Australian National University,Australia,,,,,,88.8
9,5  ,"University of California, Berkeley (UCB)",United States,,,,,,88.6
10,11  ,Sapienza University of Rome,Italy,,,,,,88
11,9  ,"University of California, Los Angeles (UCLA)",United States,,,,,,86.9
12,12  ,Eberhard Karls Universität Tübingen,Germany,,,,,,85.7
13,14=,Peking University,China (Mainland),,,,,,85.1
14,16  ,Université Paris 1 Panthéon-Sorbonne ,France,,,,,,84.8
=15,22  ,Arizona State University,United States,,,,,,83.7
=15,17  ,Freie Universitaet Berlin,Germany,,,,,,83.7
17,14=,Christian-Albrechts-University zu Kiel,Germany,,,,,,83.6
18,28  ,The University of Arizona,United States,,,,,,83.5
19,21  ,University of Pennsylvania,United States,,,,,,83.2
20,13  ,Yale University,United States,,,,,,82.9
21,25  ,Ruprecht-Karls-Universität Heidelberg,Germany,,,,,,82.6
22,24  ,University of Michigan-Ann Arbor,United States,,,,,,82.5
23,18  ,University of Chicago,United States,,,,,,82.4
24,23  ,The University of Tokyo,Japan,,,,,,81.7
25,26  ,Pennsylvania State University,United States,,,,,,81.4
=26,19  ,Aarhus University,Denmark,,,,,,81.2
=26,20  ,University of York,United Kingdom,,,,,,81.2
28,34  ,Alma Mater Studiorum - University of Bologna,Italy,,,,,,80.5
=29,43  ,Aix-Marseille University,France,,,,,,79.8
=29,42  ,The University of Sheffield,United Kingdom,,,,,,79.8
31,45  ,The University of Sydney,Australia,,,,,,79.7
32,27  ,Universidad Nacional Autónoma de México (UNAM),Mexico,,,,,,79.5
33,31  ,University of Copenhagen,Denmark,,,,,,79.4
34,39=,Brown University,United States,,,,,,79.2
35,37  ,University of Vienna,Austria,,,,,,79.1
=36,35=,Ludwig-Maximilians-Universität München,Germany,,,,,,78.8
=36,33  ,University of Southampton,United Kingdom,,,,,,78.8
38,51-100,University of Texas at Austin,United States,,,,,,78.7
=39,38  ,Columbia University,United States,,,,,,78.6
=39,46  ,The University of Auckland,New Zealand,,,,,,78.6
=39,51-100,The University of Melbourne,Australia,,,,,,78.6
42,30  ,The University of Edinburgh,United Kingdom,,,,,,78.5
43,51-100,University of Glasgow,United Kingdom,,,,,,77.9
=44,29  ,Sorbonne University,France,,,,,,77.7
=44,51-100,The University of Exeter,United Kingdom,,,,,,77.7
=44,,Universidade de São Paulo,Brazil,,,,,,77.7
47,41  ,University of British Columbia,Canada,,,,,,77.2
48,,National University of Singapore (NUS),Singapore,,,,,,77.1
49,39=,University of Toronto,Canada,,,,,,77
=50,51-100,Complutense University of Madrid,Spain,,,,,,76.1
=50,51-100,The University of Queensland,Australia,,,,,,76.1
=50,51-100,University of Leicester,United Kingdom,,,,,,76.1
51-100,,Altai State University,Russia,,,,,,
51-100,51-100,Aristotle University of Thessaloniki,Greece,,,,,,
51-100,,Fudan University,China (Mainland),,,,,,
51-100,51-100,Ghent University,Belgium,,,,,,
51-100,,Griffith University,Australia,,,,,,
51-100,51-100,Humboldt-Universität zu Berlin,Germany,,,,,,
51-100,51-100,KU Leuven,Belgium,,,,,,
51-100,35=,Kyoto University,Japan,,,,,,
51-100,101-150,La Trobe University,Australia,,,,,,
51-100,51-100,Lomonosov Moscow State University,Russia,,,,,,
51-100,51-100,Massachusetts Institute of Technology (MIT) ,United States,,,,,,
51-100,101-150,Monash University,Australia,,,,,,
51-100,,National Taiwan University (NTU),Taiwan,,,,,,
51-100,51-100,New York University (NYU),United States,,,,,,
51-100,51-100,Newcastle University,United Kingdom,,,,,,
51-100,51-100,Novosibirsk State University,Russia,,,,,,
51-100,,Pontificia Universidad Católica de Chile (UC),Chile,,,,,,
51-100,51-100,Pontificia Universidad Católica del Perú,Peru,,,,,,
51-100,51-100,Princeton University,United States,,,,,,
51-100,51-100,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,,,,,,
51-100,47=,Seoul National University,South Korea,,,,,,
51-100,44  ,Simon Fraser University,Canada,,,,,,
51-100,,The University of Adelaide,Australia,,,,,,
51-100,51-100,The University of Manchester,United Kingdom,,,,,,
51-100,51-100,The University of Western Australia,Australia,,,,,,
51-100,,"Trinity College Dublin, The University of Dublin",Ireland,,,,,,
51-100,101-150,Universidad de Sevilla,Spain,,,,,,
51-100,51-100,Università di Padova,Italy,,,,,,
51-100,51-100,Universitat Autònoma de Barcelona,Spain,,,,,,
51-100,47=,Universitat de Barcelona,Spain,,,,,,
51-100,51-100,Université PSL,France,,,,,,
51-100,51-100,University College Dublin,Ireland,,,,,,
51-100,51-100,University of Aberdeen,United Kingdom,,,,,,
51-100,51-100,University of Amsterdam,Netherlands,,,,,,
51-100,51-100,University of Bordeaux,France,,,,,,
51-100,51-100,University of Cologne,Germany,,,,,,
51-100,32  ,University of Florida,United States,,,,,,
51-100,,University of Gothenburg,Sweden,,,,,,
51-100,51-100,University of Liverpool,United Kingdom,,,,,,
51-100,51-100,"University of North Carolina, Chapel Hill",United States,,,,,,
51-100,49  ,University of Oslo,Norway,,,,,,
51-100,51-100,University of Otago,New Zealand,,,,,,
51-100,51-100,University of Pisa,Italy,,,,,,
51-100,51-100,University of Reading,United Kingdom,,,,,,
51-100,101-150,University of Siena,Italy,,,,,,
51-100,51-100,University of St Andrews,United Kingdom,,,,,,
51-100,51-100,University of Washington,United States,,,,,,
51-100,51-100,University of Wisconsin-Madison,United States,,,,,,
51-100,51-100,Uppsala University,Sweden,,,,,,
101-150,101-150,Boston University,United States,,,,,,
101-150,101-150,Ca' Foscari University of Venice ,Italy,,,,,,
101-150,101-150,Cairo University,Egypt,,,,,,
101-150,101-150,Cardiff University,United Kingdom,,,,,,
