2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,Royal College of Art,United Kingdom,,,,,,98.5
2,2  ,University of the Arts London,United Kingdom,,,,,,93.7
3,,Parsons School of Design at The New School,United States,,,,,,92.3
4,3  ,Rhode Island School of Design (RISD),United States,,,,,,91.7
5,5  ,Massachusetts Institute of Technology (MIT) ,United States,,,,,,85.3
6,6=,Pratt Institute,United States,,,,,,85.1
7,8  ,Politecnico di Milano,Italy,,,,,,83.8
8,6=,Aalto University,Finland,,,,,,82.9
9,9  ,Design Academy Eindhoven,Netherlands,,,,,,82.2
10,11  ,School of the Art Institute of Chicago (SAIC),United States,,,,,,81
11,10  ,Tongji University,China (Mainland),,,,,,79.8
12,13  ,Delft University of Technology,Netherlands,,,,,,78.9
13,12  ,Glasgow School of Art (GSA),United Kingdom,,,,,,78.8
14,14  ,Art Center College of Design,United States,,,,,,78.5
15,16  ,Savannah College of Art and Design,United States,,,,,,76.6
16,17  ,Carnegie Mellon University,United States,,,,,,75.6
17,15  ,China Central Academy of Fine Arts,China (Mainland),,,,,,75.3
18,19  ,RMIT University,Australia,,,,,,75.1
19,20  ,The Hong Kong Polytechnic University,Hong Kong SAR,,,,,,73.7
20,21  ,School of Visual Arts (SVA),United States,,,,,,73.5
21,22  ,"Goldsmiths, University of London",United Kingdom,,,,,,72.9
22,23  ,The Royal Danish Academy of Fine Arts - The School of Design,Denmark,,,,,,72.6
23,24  ,California Institute of the Arts,United States,,,,,,72.4
24,18  ,Tsinghua University,China (Mainland),,,,,,71.7
=25,27  ,Stanford University,United States,,,,,,71.4
=25,28  ,University of Oxford,United Kingdom,,,,,,71.4
=27,45=,Universidad Nacional Autónoma de México (UNAM),Mexico,,,,,,70.9
=27,30  ,Yale University,United States,,,,,,70.9
29,25  ,Emily Carr University of Art and Design,Canada,,,,,,70.8
30,26  ,"Konstfack University College of Arts, Crafts and Design",Sweden,,,,,,69.8
31,38  ,Zurich University of the Arts (ZHdK),Switzerland,,,,,,69.4
32,32  ,Loughborough University,United Kingdom,,,,,,69.3
=33,39  ,"Nanyang Technological University, Singapore (NTU)",Singapore,,,,,,69.2
=33,34  ,National University of Singapore (NUS),Singapore,,,,,,69.2
35,31  ,Universität der Knste Berlin,Germany,,,,,,69.1
36,33  ,Maryland Institute College of Art,United States,,,,,,68.5
37,29  ,Seoul National University,South Korea,,,,,,68.4
=38,,King Abdulaziz University (KAU),Saudi Arabia,,,,,,67.6
=38,51-100,Pontificia Universidad Católica de Chile (UC),Chile,,,,,,67.6
40,48=,New York University (NYU),United States,,,,,,67.2
41,37  ,Ecole Nationale Supérieure des Arts Décoratifs (ENSAD),France,,,,,,67.1
42,,Eindhoven University of Technology,Netherlands,,,,,,66.9
43,42  ,UCL,United Kingdom,,,,,,66.8
=44,50  ,Columbia University,United States,,,,,,66.7
=44,51-100,Universidad de Palermo (UP),Argentina,,,,,,66.7
=46,,KAIST - Korea Advanced Institute of Science & Technology,South Korea,,,,,,66.6
=46,51-100,Universidad de Buenos Aires (UBA),Argentina,,,,,,66.6
=46,35=,University of Technology Sydney,Australia,,,,,,66.6
49,44  ,The University of Tokyo,Japan,,,,,,66.5
50,51-100,Tecnológico de Monterrey,Mexico,,,,,,66.4
51-100,51-100,Aarhus University,Denmark,,,,,,
51-100,51-100,"Academy of Arts, Architecture and Design Prague",Czech Republic,,,,,,
51-100,51-100,Altai State University,Russia,,,,,,
51-100,48=,California College of the Arts,United States,,,,,,
51-100,51-100,Chiba University,Japan,,,,,,
51-100,51-100,Cornell University,United States,,,,,,
51-100,51-100,Cranbrook Academy of Art,United States,,,,,,
51-100,40=,"École Nationale Supérieure de Création Industrielle, ENSCI Les Ateliers",France,,,,,,
51-100,51-100,Haute école d'art et de design de Genève (HEAD),Switzerland,,,,,,
51-100,51-100,Hongik University ,South Korea,,,,,,
51-100,51-100,Imperial College London,United Kingdom,,,,,,
51-100,51-100,Indian Institute of Technology Bombay (IITB),India,,,,,,
51-100,51-100,Istituto Marangoni,Italy,,,,,,
51-100,51-100,Kolding School of Design,Denmark,,,,,,
51-100,101-150,L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,,,,,,
51-100,51-100,Lancaster University,United Kingdom,,,,,,
51-100,101-150,Management and Science University,Malaysia,,,,,,
51-100,51-100,Manchester Metropolitan University (MMU),United Kingdom,,,,,,
51-100,51-100,Monash University,Australia,,,,,,
51-100,51-100,NABA - Nuova Accademia di Belle Arti,Italy,,,,,,
51-100,51-100,National Cheng Kung University (NCKU),Taiwan,,,,,,
51-100,51-100,National College of Art and Design,Ireland,,,,,,
51-100,51-100,"National Institute of Design, India",India,,,,,,
51-100,51-100,Nottingham Trent University,United Kingdom,,,,,,
51-100,51-100,OCAD University,Canada,,,,,,
51-100,101-150,Oslo National Academy of the Arts,Norway,,,,,,
51-100,51-100,Peking University,China (Mainland),,,,,,
51-100,51-100,Politecnico di Torino,Italy,,,,,,
51-100,51-100,Princeton University,United States,,,,,,
51-100,51-100,Queensland University of Technology (QUT),Australia,,,,,,
51-100,51-100,"Royal Academy of Art, The Hague (KABK)",Netherlands,,,,,,
51-100,51-100,Royal University College of Fine Arts,Sweden,,,,,,
51-100,51-100,Taylor's University,Malaysia,,,,,,
51-100,51-100,The University of Edinburgh,United Kingdom,,,,,,
51-100,51-100,The University of Melbourne,Australia,,,,,,
