2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,Massachusetts Institute of Technology (MIT) ,United States,,,,,,97.4
2,2  ,Carnegie Mellon University,United States,,,,,,94.9
3,3  ,"University of California, Berkeley (UCB)",United States,,,,,,92.7
4,4  ,University of Oxford,United Kingdom,,,,,,91.3
5,5  ,Harvard University,United States,,,,,,88.5
6,11  ,National University of Singapore (NUS),Singapore,,,,,,87.5
7,,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,,,,,,86.4
8,12  ,"Nanyang Technological University, Singapore (NTU)",Singapore,,,,,,85.4
9,6  ,University of Toronto,Canada,,,,,,82.3
10,,The Hong Kong University of Science and Technology,Hong Kong SAR,,,,,,82
11,9=,EPFL,Switzerland,,,,,,81.6
12,7  ,University of Washington,United States,,,,,,81
13,9=,Georgia Institute of Technology,United States,,,,,,80.7
14,14  ,University of Illinois at Urbana-Champaign,United States,,,,,,80.5
15,8  ,Princeton University,United States,,,,,,80.2
16,13  ,Cornell University,United States,,,,,,79.3
17,,New York University (NYU),United States,,,,,,78.5
18,17  ,UCL,United Kingdom,,,,,,78.3
19,16  ,Imperial College London,United Kingdom,,,,,,77.3
=20,,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,,,,,,77
20,,University of Pennsylvania,United States,,,,,,77
=21,18  ,California Institute of Technology (Caltech),United States,,,,,,76.6
=21,15  ,The University of Edinburgh,United Kingdom,,,,,,76.6
23,,Politecnico di Milano,Italy,,,,,,75.7
24,,Seoul National University,South Korea,,,,,,75.6
25,,The University of Hong Kong,Hong Kong SAR,,,,,,75.3
26,,The University of Melbourne,Australia,,,,,,74.9
27,,Johns Hopkins University,United States,,,,,,74.8
28,,Pohang University of Science And Technology (POSTECH),South Korea,,,,,,74.2
29,,Universiti Malaya (UM),Malaysia,,,,,,74.1
30,,Indian Institute of Technology Bombay (IITB),India,,,,,,74
31,,"University of California, San Diego (UCSD)",United States,,,,,,73.6
32,,The Hong Kong Polytechnic University,Hong Kong SAR,,,,,,73.5
33,,"University of Maryland, College Park",United States,,,,,,73.4
34,,Monash University,Australia,,,,,,73.2
=35,,Indian Institute of Technology Delhi (IITD),India,,,,,,72.5
35,24,Technical University of Munich,Germany,,,,,,72.1
35,,University of Chicago,United States,,,,,,72.2
=36,,Indian Institute of Technology Kanpur (IITK),India,,,,,,72
=36,,Tongji University,China (Mainland),,,,,,72
38,,Shanghai Jiao Tong University,China (Mainland),,,,,,71.9
39,,City University of Hong Kong,Hong Kong SAR,,,,,,71.8
=40,,University of Waterloo,Canada,,,,,,71.7
40,,University of Technology Sydney,Australia,,,,,,71.2
41,,Aalto University,Finland,,,,,,71.1
42,19  ,University of British Columbia,Canada,,,,,,70.7
43,,The University of Sydney,Australia,,,,,,70.6
44,,Indian Institute of Technology Kharagpur (IIT-KGP),India,,,,,,70.2
45,,Indian Institute of Science,India,,,,,,70
=46,,Harbin Institute of Technology,China (Mainland),,,,,,69
=46,,Sapienza University of Rome,Italy,,,,,,69
48,,Macquarie University,Australia,,,,,,68.9
=49,,Fudan University,China (Mainland),,,,,,68.8
=49,,The Australian National University,Australia,,,,,,68.8
51-70,,Brown University,United States,,,,,,
51-70,,Indian Institute of Technology Guwahati (IITG),India,,,,,,
51-70,,ITMO University,Russia,,,,,,
51-70,,King Fahd University of Petroleum & Minerals,Saudi Arabia,,,,,,
51-70,,King's College London,United Kingdom,,,,,,
51-70,,KTH Royal Institute of Technology ,Sweden,,,,,,
51-70,,Kyoto University,Japan,,,,,,
51-70,,Lancaster University,United Kingdom,,,,,,
51-70,,Michigan State University,United States,,,,,,
51-70,,National Yang Ming Chiao Tung University,Taiwan,,,,,,
51-70,,Pennsylvania State University,United States,,,,,,
51-70,,Satbayev University,Kazakhstan,,,,,,
51-70,,Sorbonne University,France,,,,,,
51-70,,Taylor's University,Malaysia,,,,,,
51-70,,The University of New South Wales (UNSW Sydney),Australia,,,,,,
51-70,,Universidade de São Paulo,Brazil,,,,,,
51-70,,Université de Montréal ,Canada,,,,,,
51-70,,Université PSL,France,,,,,,
51-70,,Universiti Kebangsaan Malaysia (UKM),Malaysia,,,,,,
51-70,20  ,University of Amsterdam,Netherlands,,,,,,
51-70,,Wuhan University,China (Mainland),,,,,,
