2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,Colorado School of Mines,United States,,,,,,96.3
2,2  ,Curtin University,Australia,,,,,,86.1
3,4  ,The University of New South Wales (UNSW Sydney),Australia,,,,,,85.1
4,5  ,The University of Queensland,Australia,,,,,,84.4
5,6  ,McGill University,Canada,,,,,,82.8
6,3  ,Saint-Petersburg Mining University,Russia,,,,,,82.5
7,7  ,The University of Western Australia,Australia,,,,,,81
8,9  ,King Fahd University of Petroleum & Minerals,Saudi Arabia,,,,,,80.2
9,8  ,Universidad de Chile,Chile,,,,,,78.8
10,21  ,University of Toronto,Canada,,,,,,78.2
11,10=,University of British Columbia,Canada,,,,,,77.8
12,10=,University of Alberta,Canada,,,,,,77.2
13,17=,Pennsylvania State University,United States,,,,,,77.1
14,15=,Camborne School of Mines | University of Exeter,United Kingdom,,,,,,76.3
15,26=,Delft University of Technology,Netherlands,,,,,,75.8
16,12=,University of Witwatersrand,South Africa,,,,,,75.6
=17,20  ,Monash University,Australia,,,,,,75
=17,,National University of Singapore (NUS),Singapore,,,,,,75
19,19  ,The University of Adelaide,Australia,,,,,,74.8
20,12=,Queen's University at Kingston,Canada,,,,,,74.5
21,17=,China University of Mining and Technology,China (Mainland),,,,,,74.1
22,12=,Technische Universität Bergakademie Freiberg,Germany,,,,,,73.6
23,15=,RWTH Aachen University,Germany,,,,,,73.5
24,24  ,Universidad Nacional de Colombia,Colombia,,,,,,73.2
=25,37=,Indian Institute of Technology Bombay (IITB),India,,,,,,72.6
=25,22  ,The University of Melbourne,Australia,,,,,,72.6
=25,,The University of Sydney,Australia,,,,,,72.6
28,39  ,Indian Institute of Technology Kharagpur (IIT-KGP),India,,,,,,71.8
29,31  ,"The University of Newcastle, Australia (UON)",Australia,,,,,,71.5
30,32  ,Universidad Nacional Autónoma de México (UNAM),Mexico,,,,,,71
31,28  ,Virginia Polytechnic Institute and State University,United States,,,,,,70.5
32,37=,New Mexico Institute of Mining and Technology,United States,,,,,,70.1
33,,Norwegian University of Science And Technology,Norway,,,,,,69.9
=34,30  ,Universidade de São Paulo,Brazil,,,,,,69.7
=34,33=,Western University,Canada,,,,,,69.7
36,35=,University of Pretoria,South Africa,,,,,,68.9
37,29  ,Université PSL,France,,,,,,68.8
38,46=,Politecnico di Torino,Italy,,,,,,68.5
39,51-70,University of Colorado Boulder,United States,,,,,,68
40,,The University of Hong Kong,Hong Kong SAR,,,,,,67.8
=41,25  ,"Indian School of Mines (ISM) University, Dhanbad",India,,,,,,67.7
=41,26=,The University of Arizona,United States,,,,,,67.7
=41,49  ,Universiti Teknologi PETRONAS (UTP),Malaysia,,,,,,67.7
44,33=,University of Aberdeen,United Kingdom,,,,,,67.6
=45,51-70,Indian Institute of Technology Madras (IITM),India,,,,,,67.5
=45,50=,University of Kentucky,United States,,,,,,67.5
=45,,University of Leeds,United Kingdom,,,,,,67.5
=45,,University of Oklahoma,United States,,,,,,67.5
49,,Lomonosov Moscow State University,Russia,,,,,,67.3
=50,40=,University of Nevada - Reno,United States,,,,,,67.2
=50,43  ,University of Utah,United States,,,,,,67.2
51-70,51-70,Chulalongkorn University,Thailand,,,,,,
51-70,51-70,Indian Institute of Technology Delhi (IITD),India,,,,,,
51-70,,Indian Institute of Technology Roorkee (IITR),India,,,,,,
51-70,51-70,Istanbul Technical University,Turkey,,,,,,
51-70,,Kyoto University,Japan,,,,,,
51-70,50=,Kyushu University,Japan,,,,,,
51-70,,Middle East Technical University,Turkey,,,,,,
51-70,44=,Missouri University of Science and Technology,United States,,,,,,
51-70,51-70,Nanjing University,China (Mainland),,,,,,
51-70,51-70,Politecnico di Milano,Italy,,,,,,
51-70,44=,Universidad de Concepción,Chile,,,,,,
51-70,35=,Universidad Politécnica de Madrid (UPM),Spain,,,,,,
51-70,51-70,Universiti Teknologi Malaysia ,Malaysia,,,,,,
51-70,51-70,University of Birmingham,United Kingdom,,,,,,
51-70,48  ,University of Illinois at Urbana-Champaign,United States,,,,,,
51-70,51-70,"University of Maryland, College Park",United States,,,,,,
51-70,50=,University of Technology Sydney,Australia,,,,,,
51-70,51-70,University of Washington,United States,,,,,,
51-70,46=,University of Wollongong,Australia,,,,,,
51-70,40=,Wuhan University,China (Mainland),,,,,,
