2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,,,,,69,94.6
2,2  ,Harvard University,United States,,,,,69.5,92.5
3,5  ,University of Oxford,United Kingdom,,,,,73.7,91.7
4,6  ,University of Cambridge,United Kingdom,,,,,73.8,91.5
5,7  ,Massachusetts Institute of Technology (MIT) ,United States,,,,,66,91
6,4  ,"University of California, Berkeley (UCB)",United States,,,,,70,90.9
7,3  ,California Institute of Technology (Caltech),United States,,,,,70.9,90.7
8,10  ,University of Washington,United States,,,,,69.2,90
9,8  ,Stanford University,United States,,,,,60.8,89.9
10,9  ,Columbia University,United States,,,,,72.6,89.4
11,13=,Princeton University,United States,,,,,60.1,88.2
=12,11  ,The Australian National University,Australia,,,,,67.6,87.8
=12,13=,The University of Tokyo,Japan,,,,,74.6,87.8
=12,12  ,University of Colorado Boulder,United States,,,,,67.9,87.8
15,16  ,University of British Columbia,Canada,,,,,58.4,87.1
16,24=,University of Leeds,United Kingdom,,,,,73.7,86.8
=17,22  ,The University of Edinburgh,United Kingdom,,,,,71.5,86.7
=17,21  ,UCL,United Kingdom,,,,,80.5,86.7
=19,17  ,Sorbonne University,France,,,,,96.7,86.5
=19,30=,Utrecht University,Netherlands,,,,,65.5,86.5
21,18=,University of Texas at Austin,United States,,,,,66.7,86.3
22,20  ,"University of California, Los Angeles (UCLA)",United States,,,,,63.6,86
23,15  ,Pennsylvania State University,United States,,,,,64.7,85.9
24,36=,Delft University of Technology,Netherlands,,,,,60.5,85.7
25,43  ,Peking University,China (Mainland),,,,,59.7,85.6
26,28  ,University of Toronto,Canada,,,,,56.5,85.4
=27,18=,"University of California, San Diego (UCSD)",United States,,,,,60.2,85.2
=27,30=,"University of Maryland, College Park",United States,,,,,72.4,85.2
29,33=,Université Grenoble Alpes,France,,,,,79.8,84.9
=30,24=,The University of Arizona,United States,,,,,75.7,84.6
=30,38=,The University of New South Wales (UNSW Sydney),Australia,,,,,66.5,84.6
=32,51-100,China University of Geosciences,China (Mainland),,,,,68.8,84.5
=32,27  ,Imperial College London,United Kingdom,,,,,58.1,84.5
34,51-100,The University of Exeter,United Kingdom,,,,,60.2,84.4
35,33=,Tsinghua University,China (Mainland),,,,,61.5,84.3
36,35  ,Texas A&M University,United States,,,,,70.5,83.9
=37,32  ,University of Bristol,United Kingdom,,,,,63.2,83.8
=37,44=,Wageningen University & Research,Netherlands,,,,,64.7,83.8
39,26  ,Curtin University,Australia,,,,,74.2,83.7
=40,40  ,McGill University,Canada,,,,,53.4,83.6
=40,51-100,Stockholm University,Sweden,,,,,68.8,83.6
=42,23  ,The University of Western Australia,Australia,,,,,75.3,83.4
=42,29  ,Yale University,United States,,,,,56.4,83.4
44,51-100,University of Oslo,Norway,,,,,63,83
45,41  ,University of Michigan-Ann Arbor,United States,,,,,66.2,82.7
46,42  ,University of Southampton,United Kingdom,,,,,66.5,82.5
=47,51-100,"University of California, Davis",United States,,,,,51.6,82.4
=47,46=,University of Copenhagen,Denmark,,,,,64.4,82.4
=49,51-100,Monash University,Australia,,,,,58.3,82.1
=49,51-100,University of Bern,Switzerland,,,,,62.3,82.1
=49,44=,University of Hawaiʻi at Mānoa,United States,,,,,68.7,82.1
51-100,51-100,Alma Mater Studiorum - University of Bologna,Italy,,,,,,64.1
51-100,51-100,Arizona State University,United States,,,,,,58
51-100,50  ,Christian-Albrechts-University zu Kiel,Germany,,,,,,70.1
51-100,48  ,Colorado State University,United States,,,,,,43.8
51-100,51-100,Cornell University,United States,,,,,,56.1
51-100,46=,Durham University,United Kingdom,,,,,,61.4
51-100,51-100,Georgia Institute of Technology,United States,,,,,,48.2
51-100,101-150,Ghent University,Belgium,,,,,,72.4
51-100,51-100,Johns Hopkins University,United States,,,,,,60.1
51-100,101-150,"KIT, Karlsruhe Institute of Technology",Germany,,,,,,66.5
51-100,51-100,Kyoto University,Japan,,,,,,63.7
51-100,51-100,Ludwig-Maximilians-Universität München,Germany,,,,,,63.4
51-100,51-100,Lund University,Sweden,,,,,,63.1
51-100,51-100,Nanjing University,China (Mainland),,,,,,57
51-100,51-100,"Nanyang Technological University, Singapore (NTU)",Singapore,,,,,,40
51-100,101-150,Newcastle University,United Kingdom,,,,,,56.7
51-100,51-100,Purdue University,United States,,,,,,56.8
51-100,51-100,Technical University of Denmark,Denmark,,,,,,63.5
51-100,51-100,The University of Adelaide,Australia,,,,,,61.1
51-100,51-100,The University of Hong Kong,Hong Kong SAR,,,,,,47.4
51-100,51-100,The University of Manchester,United Kingdom,,,,,,65.6
51-100,36=,The University of Melbourne,Australia,,,,,,47.7
51-100,51-100,The University of Queensland,Australia,,,,,,61.4
51-100,49  ,The University of Sydney,Australia,,,,,,58.1
51-100,51-100,Universidad de Chile,Chile,,,,,,58.9
51-100,51-100,Universidad Nacional Autónoma de México (UNAM),Mexico,,,,,,76.1
51-100,51-100,Universidade de São Paulo,Brazil,,,,,,65.5
51-100,51-100,Universität Bremen,Germany,,,,,,66.4
51-100,51-100,Universitat de Barcelona,Spain,,,,,,72.6
51-100,51-100,Universität Hamburg,Germany,,,,,,65.5
51-100,51-100,Universität Potsdam,Germany,,,,,,63.8
51-100,51-100,Université de Montpellier,France,,,,,,85
51-100,38=,Université PSL,France,,,,,,100
51-100,51-100,University of Alberta,Canada,,,,,,54.3
51-100,51-100,University of Bergen,Norway,,,,,,47.1
51-100,101-150,University of Birmingham,United Kingdom,,,,,,64.8
51-100,101-150,"University of California, Irvine",United States,,,,,,52.8
51-100,51-100,"University of California, Santa Barbara (UCSB)",United States,,,,,,59.8
51-100,51-100,"University of California, Santa Cruz",United States,,,,,,61.3
51-100,51-100,University of Chicago,United States,,,,,,58.7
51-100,,University of Chinese Academy of Sciences,China (Mainland),,,,,,80.8
51-100,51-100,University of Geneva,Switzerland,,,,,,72.9
51-100,51-100,University of Illinois at Urbana-Champaign,United States,,,,,,52.5
51-100,51-100,University of St Andrews,United Kingdom,,,,,,55.4
51-100,51-100,University of Tasmania,Australia,,,,,,58.4
