2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,,,,,73.4,95.1
2,2=,Harvard University,United States,,,,,73.8,93
3,6  ,University of Oxford,United Kingdom,,,,,76,92
4,4  ,University of Cambridge,United Kingdom,,,,,77.3,91.8
=5,2=,California Institute of Technology (Caltech),United States,,,,,76.8,91.3
=5,7  ,Massachusetts Institute of Technology (MIT) ,United States,,,,,70.1,91.3
=5,5  ,"University of California, Berkeley (UCB)",United States,,,,,74.3,91.3
8,8=,Columbia University,United States,,,,,76.4,90.9
9,8=,Stanford University,United States,,,,,66.2,90.4
10,10  ,University of Washington,United States,,,,,68.9,90.2
11,14=,Princeton University,United States,,,,,62.6,88.3
12,12  ,University of Colorado Boulder,United States,,,,,72.4,88.2
=13,11  ,The Australian National University,Australia,,,,,68.5,88.1
=13,13  ,The University of Tokyo,Japan,,,,,78.4,88.1
15,17=,University of British Columbia,Canada,,,,,60.3,87.1
=16,16  ,Sorbonne University,France,,,,,100,86.9
=16,21  ,UCL,United Kingdom,,,,,83.2,86.9
18,22=,University of Leeds,United Kingdom,,,,,76.3,86.8
=19,35=,Delft University of Technology,Netherlands,,,,,74.4,86.7
=19,24  ,The University of Edinburgh,United Kingdom,,,,,72.5,86.7
=21,14=,Pennsylvania State University,United States,,,,,71.8,86.5
=21,31=,Utrecht University,Netherlands,,,,,63.8,86.5
23,17=,University of Texas at Austin,United States,,,,,70,86.3
24,20  ,"University of California, Los Angeles (UCLA)",United States,,,,,67.5,86.1
=25,45  ,Peking University,China (Mainland),,,,,62.4,85.7
=25,19  ,"University of California, San Diego (UCSD)",United States,,,,,64.3,85.7
=27,26  ,"University of Maryland, College Park",United States,,,,,77.2,85.6
=27,25  ,University of Toronto,Canada,,,,,60.3,85.6
29,35=,Université Grenoble Alpes,France,,,,,83.3,85
30,51-100,The University of Exeter,United Kingdom,,,,,61.9,84.7
31,39=,The University of New South Wales (UNSW Sydney),Australia,,,,,71,84.6
=32,22=,The University of Arizona,United States,,,,,78.1,84.5
=32,31=,Tsinghua University,China (Mainland),,,,,65.2,84.5
=34,27=,Imperial College London,United Kingdom,,,,,61.9,84.4
=34,42  ,Wageningen University & Research,Netherlands,,,,,68,84.4
36,27=,University of Bristol,United Kingdom,,,,,66.8,84.3
37,39=,McGill University,Canada,,,,,55.5,84
38,50  ,Stockholm University,Sweden,,,,,69.8,83.8
39,38  ,Texas A&M University,United States,,,,,71.3,83.7
40,31=,Yale University,United States,,,,,57.8,83.3
41,41  ,University of Michigan-Ann Arbor,United States,,,,,69.1,83.1
=42,29  ,Curtin University,Australia,,,,,77.1,82.9
=42,51-100,"University of California, Davis",United States,,,,,58.2,82.9
=42,43  ,University of Southampton,United Kingdom,,,,,73.8,82.9
45,48=,University of Copenhagen,Denmark,,,,,69.1,82.7
46,51-100,University of Bern,Switzerland,,,,,65.9,82.6
=47,30  ,The University of Western Australia,Australia,,,,,75.8,82.4
=47,44  ,University of Hawaiʻi at Mānoa,United States,,,,,74.3,82.4
=49,51-100,Monash University,Australia,,,,,60.7,82.3
=49,34  ,The University of Melbourne,Australia,,,,,52.5,82.3
=49,51-100,University of Oslo,Norway,,,,,59.6,82.3
51-100,101-150,Aarhus University,Denmark,,,,,,64.9
51-100,51-100,Alma Mater Studiorum - University of Bologna,Italy,,,,,,69.7
51-100,51-100,Arizona State University,United States,,,,,,63.1
51-100,46  ,Colorado State University,United States,,,,,,46.8
51-100,51-100,Cornell University,United States,,,,,,62.4
51-100,47  ,Durham University,United Kingdom,,,,,,67.2
51-100,51-100,EPFL,Switzerland,,,,,,56
51-100,51-100,Georgia Institute of Technology,United States,,,,,,52.6
51-100,101-150,Ghent University,Belgium,,,,,,70.7
51-100,51-100,Johns Hopkins University,United States,,,,,,62.5
51-100,101-150,"KIT, Karlsruhe Institute of Technology",Germany,,,,,,74.8
51-100,51-100,Kyoto University,Japan,,,,,,66.4
51-100,51-100,Ludwig-Maximilians-Universität München,Germany,,,,,,64.8
51-100,51-100,Lund University,Sweden,,,,,,66.7
51-100,51-100,Nanjing University,China (Mainland),,,,,,58.6
51-100,51-100,"Nanyang Technological University, Singapore (NTU)",Singapore,,,,,,47.5
51-100,101-150,Newcastle University,United Kingdom,,,,,,60.1
51-100,51-100,Purdue University,United States,,,,,,63.9
51-100,51-100,Ruprecht-Karls-Universität Heidelberg,Germany,,,,,,73.6
