2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,Royal College of Art,United Kingdom,,,,,,98
2,4  ,National University of Singapore (NUS),Singapore,,,,,,97.4
3,2  ,Columbia University,United States,,,,,,95.4
4,3  ,The Courtauld Institute of Art,United Kingdom,,,,,,91.7
5,5  ,Tsinghua University,China (Mainland),,,,,,88.4
6,,The University of Tokyo,Japan,,,,,,88.1
7,9  ,The New School,United States,,,,,,87.9
8,6  ,Harvard University,United States,,,,,,87.7
9,7  ,Rhode Island School of Design (RISD),United States,,,,,,85.3
10,8  ,University of Cambridge,United Kingdom,,,,,,85.2
11,11  ,University of Oxford,United Kingdom,,,,,,84.3
12,13=,"University of California, Berkeley (UCB)",United States,,,,,,83.2
13,13=,Yale University,United States,,,,,,82.4
14,17  ,Sapienza University of Rome,Italy,,,,,,81.5
15,18  ,Universita' IUAV di Venezia,Italy,,,,,,81.4
16,15  ,UCL,United Kingdom,,,,,,81.2
17,10  ,Pratt Institute,United States,,,,,,81.1
18,,Politecnico di Torino,Italy,,,,,,80.5
19,19  ,Tokyo Institute of Technology (Tokyo Tech),Japan,,,,,,79.9
20,,Universidad Nacional Autónoma de México (UNAM),Mexico,,,,,,79.8
21-40,,Architectural Association School of Architecture,United Kingdom,,,,,,
21-40,,Cornell University,United States,,,,,,
21-40,,Glasgow School of Art (GSA),United Kingdom,,,,,,
21-40,12  ,"Goldsmiths, University of London",United Kingdom,,,,,,
21-40,,Humboldt-Universität zu Berlin,Germany,,,,,,
21-40,,"Nanyang Technological University, Singapore (NTU)",Singapore,,,,,,
21-40,,National Taiwan University (NTU),Taiwan,,,,,,
21-40,,New York University (NYU),United States,,,,,,
21-40,,Princeton University,United States,,,,,,
21-40,,Sorbonne University,France,,,,,,
21-40,,Technical University of Munich,Germany,,,,,,
21-40,,The University of Edinburgh,United Kingdom,,,,,,
21-40,,The University of Hong Kong,Hong Kong SAR,,,,,,
21-40,,The University of Melbourne,Australia,,,,,,
21-40,,The University of Sydney,Australia,,,,,,
21-40,,Tianjin University,China (Mainland),,,,,,
21-40,,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,,,,,,
21-40,,Université Paris 1 Panthéon-Sorbonne ,France,,,,,,
21-40,,University of Basel,Switzerland,,,,,,
21-40,20  ,"University of California, Los Angeles (UCLA)",United States,,,,,,
21-40,,Waseda University,Japan,,,,,,
