2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,The University of Sheffield,United Kingdom,,,,,,96.6
2,2  ,"University of North Carolina, Chapel Hill",United States,,,,,,93.4
3,3  ,University of Washington,United States,,,,,,92.4
4,16  ,University of Michigan-Ann Arbor,United States,,,,,,91.1
5,4  ,University of Illinois at Urbana-Champaign,United States,,,,,,89.1
6,8  ,McGill University,Canada,,,,,,85.7
7,19  ,"Nanyang Technological University, Singapore (NTU)",Singapore,,,,,,85.1
8,13=,University of British Columbia,Canada,,,,,,84.9
9,7  ,"University of Maryland, College Park",United States,,,,,,84.3
10,5  ,University of Texas at Austin,United States,,,,,,83.9
11,9  ,Indiana University Bloomington,United States,,,,,,83.5
12,12  ,Université de Montréal ,Canada,,,,,,83.2
13,15  ,University of Toronto,Canada,,,,,,82.2
14,6  ,"University of California, Berkeley (UCB)",United States,,,,,,81.8
15,13=,Rutgers University–New Brunswick,United States,,,,,,81.4
16,17  ,UCL,United Kingdom,,,,,,81
17,20  ,University of Pittsburgh,United States,,,,,,79.9
18,11  ,Syracuse University,United States,,,,,,79.6
19,10  ,Wuhan University,China (Mainland),,,,,,79.1
20,37  ,University of Amsterdam,Netherlands,,,,,,78.6
21,18  ,Tampere University,Finland,,,,,,77.4
22,21  ,Loughborough University,United Kingdom,,,,,,77.2
23,,The University of Manchester,United Kingdom,,,,,,76.9
24,22  ,University of Strathclyde,United Kingdom,,,,,,76.1
25,48  ,The University of Sydney,Australia,,,,,,75.3
26,26  ,Yonsei University,South Korea,,,,,,74.2
27,23=,University College Dublin,Ireland,,,,,,74
28,27  ,Universiti Malaya (UM),Malaysia,,,,,,73.6
29,25  ,Cornell University,United States,,,,,,73.1
30,34  ,Drexel University,United States,,,,,,72.8
31,23=,University of Technology Sydney,Australia,,,,,,72.6
32,50  ,University of Glasgow,United Kingdom,,,,,,72.4
33,28  ,Peking University,China (Mainland),,,,,,72.3
34,,The University of Hong Kong,Hong Kong SAR,,,,,,72
35,51-70,National Taiwan University (NTU),Taiwan,,,,,,71.4
=36,43  ,Sapienza University of Rome,Italy,,,,,,71.3
=36,29=,The University of Arizona,United States,,,,,,71.3
38,,Cairo University,Egypt,,,,,,70.8
=39,44  ,Kuwait University,Kuwait,,,,,,70.4
=39,33  ,"University of California, Los Angeles (UCLA)",United States,,,,,,70.4
41,32  ,University of Wisconsin Milwaukee ,United States,,,,,,70.3
42,,The University of Warwick,United Kingdom,,,,,,70.2
43,,Qatar University,Qatar,,,,,,69.9
44,,Purdue University,United States,,,,,,69.5
45,35  ,Nanjing University,China (Mainland),,,,,,69.4
=46,45=,"City, University of London",United Kingdom,,,,,,69.1
=46,51-70,University of Southern California,United States,,,,,,69.1
48,51-70,University of Tsukuba,Japan,,,,,,69
=49,51-70,KU Leuven,Belgium,,,,,,68.7
=49,51-70,University of Jordan,Jordan,,,,,,68.7
51-70,,Alexandria University ,Egypt,,,,,,
51-70,,Arizona State University,United States,,,,,,
51-70,51-70,Erasmus University Rotterdam ,Netherlands,,,,,,
51-70,51-70,Fudan University,China (Mainland),,,,,,
51-70,49  ,Humboldt-Universität zu Berlin,Germany,,,,,,
51-70,,Queensland University of Technology (QUT),Australia,,,,,,
51-70,29=,RMIT University,Australia,,,,,,
51-70,,Shanghai Jiao Tong University,China (Mainland),,,,,,
51-70,,Sultan Qaboos University,Oman,,,,,,
51-70,41  ,Sungkyunkwan University(SKKU),South Korea,,,,,,
51-70,,The University of Melbourne,Australia,,,,,,
51-70,40  ,Universidad Carlos III de Madrid (UC3M),Spain,,,,,,
51-70,51-70,Universidade de São Paulo,Brazil,,,,,,
51-70,29=,University College of Boras,Sweden,,,,,,
51-70,51-70,University of Ljubljana,Slovenia,,,,,,
51-70,,University of Ottawa,Canada,,,,,,
51-70,39  ,University of Science and Technology of China,China (Mainland),,,,,,
51-70,,University of the Punjab,Pakistan,,,,,,
51-70,51-70,University of Wisconsin-Madison,United States,,,,,,
51-70,42  ,Victoria University of Wellington,New Zealand,,,,,,
