2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,,University of Pennsylvania,United States,,,,,,88.6
2,,University of Oxford,United Kingdom,,,,,,88.2
3,,University of Cambridge,United Kingdom,,,,,,87.7
4,,Stanford University,United States,,,,,,87.6
5,,Massachusetts Institute of Technology (MIT) ,United States,,,,,,86.9
6,,London Business School,United Kingdom,,,,,,86.2
7,,Università Commerciale Luigi Bocconi (Bocconi University),Italy,,,,,,85.6
8,,National University of Singapore (NUS),Singapore,,,,,,85.1
9,,HEC Paris,France,,,,,,84.8
10,,Northwestern University,United States,,,,,,84.7
11,,Erasmus University Rotterdam ,Netherlands,,,,,,84.1
12,,INSEAD (France),France,,,,,,83.9
13,,Columbia University,United States,,,,,,83
14,,"Nanyang Technological University, Singapore (NTU)",Singapore,,,,,,82.2
15,,"University of California, Berkeley (UCB)",United States,,,,,,82.1
16,,The London School of Economics and Political Science (LSE),United Kingdom,,,,,,81.3
17,,New York University (NYU),United States,,,,,,79.9
18,,The University of New South Wales (UNSW Sydney),Australia,,,,,,79.7
19,,The Hong Kong Polytechnic University,Hong Kong SAR,,,,,,79.6
20,,Tecnológico de Monterrey,Mexico,,,,,,78.9
21-50,,Aalto University,Finland,,,,,,
21-50,,Copenhagen Business School,Denmark,,,,,,
21-50,,Duke University,United States,,,,,,
21-50,,ESCP Europe,France,,,,,,
21-50,,"ESSEC Business School, Paris",France,,,,,,
21-50,,Imperial College London,United Kingdom,,,,,,
21-50,,Korea University,South Korea,,,,,,
21-50,,Lancaster University,United Kingdom,,,,,,
21-50,,Luiss Guido Carli University,Italy,,,,,,
21-50,,McGill University,Canada,,,,,,
21-50,,Monash University,Australia,,,,,,
21-50,,Seoul National University,South Korea,,,,,,
21-50,,Swansea University,United Kingdom,,,,,,
21-50,,Taylor's University,Malaysia,,,,,,
21-50,,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,,,,,,
21-50,,The Hong Kong University of Science and Technology,Hong Kong SAR,,,,,,
21-50,,The University of Auckland,New Zealand,,,,,,
21-50,,The University of Hong Kong,Hong Kong SAR,,,,,,
21-50,,The University of Manchester,United Kingdom,,,,,,
21-50,,The University of Melbourne,Australia,,,,,,
21-50,,The University of Sydney,Australia,,,,,,
21-50,,The University of Warwick,United Kingdom,,,,,,
21-50,,Tilburg University,Netherlands,,,,,,
21-50,,Tsinghua University,China (Mainland),,,,,,
21-50,,Universitat Ramon Llull,Spain,,,,,,
21-50,,University of British Columbia,Canada,,,,,,
21-50,,"University of California, Los Angeles (UCLA)",United States,,,,,,
21-50,,University of Leeds,United Kingdom,,,,,,
21-50,,University of Michigan-Ann Arbor,United States,,,,,,
21-50,,University of St.Gallen (HSG),Switzerland,,,,,,
21-50,,University of Toronto,Canada,,,,,,
21-50,,Yale University,United States,,,,,,
