2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,Massachusetts Institute of Technology (MIT) ,United States,,,,,74.8,93.8
2,2=,Stanford University,United States,,,,,73.1,91.1
=3,4  ,Harvard University,United States,,,,,82.7,90.5
=3,2=,University of Cambridge,United Kingdom,,,,,75.4,90.5
5,6  ,"Nanyang Technological University, Singapore (NTU)",Singapore,,,,,76.9,90.4
6,5  ,"University of California, Berkeley (UCB)",United States,,,,,70,89.5
7,7  ,University of Oxford,United Kingdom,,,,,79.9,88.7
8,12  ,National University of Singapore (NUS),Singapore,,,,,71.7,88.6
9,11  ,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,,,,,77.7,87.7
10,8  ,EPFL,Switzerland,,,,,77.4,87.5
11,9  ,Imperial College London,United Kingdom,,,,,88.5,87.4
12,10  ,Tsinghua University,China (Mainland),,,,,60.2,86.7
13,13  ,Georgia Institute of Technology,United States,,,,,68.2,85.9
14,16=,Delft University of Technology,Netherlands,,,,,77.7,84.2
15,19  ,"University of California, Los Angeles (UCLA)",United States,,,,,68.5,83.4
16,15  ,Northwestern University,United States,,,,,59.8,83.3
=17,14  ,California Institute of Technology (Caltech),United States,,,,,60.1,83.1
=17,16=,Peking University,China (Mainland),,,,,56,83.1
19,21  ,The University of Manchester,United Kingdom,,,,,80.5,82.7
20,20  ,The University of Tokyo,Japan,,,,,72.4,82.6
21,18  ,KAIST - Korea Advanced Institute of Science & Technology,South Korea,,,,,64.1,82.3
22,22  ,Seoul National University,South Korea,,,,,62.9,82
=23,31  ,Technical University of Munich,Germany,,,,,80.3,81.8
=23,24  ,University of Illinois at Urbana-Champaign,United States,,,,,73.6,81.8
=25,23  ,KTH Royal Institute of Technology ,Sweden,,,,,83.8,81.6
=25,28  ,Shanghai Jiao Tong University,China (Mainland),,,,,66.3,81.6
27,25  ,"University of California, Santa Barbara (UCSB)",United States,,,,,66.9,80.9
28,27  ,RWTH Aachen University,Germany,,,,,78.4,80.8
29,29  ,"KIT, Karlsruhe Institute of Technology",Germany,,,,,77.1,80.7
=30,26  ,Pennsylvania State University,United States,,,,,68.8,80.5
=30,38=,The University of New South Wales (UNSW Sydney),Australia,,,,,82.6,80.5
32,30  ,Technische Universität Dresden,Germany,,,,,90.3,80.4
=33,38=,KU Leuven,Belgium,,,,,85.6,79.7
=33,32  ,Monash University,Australia,,,,,71,79.7
=33,37  ,Purdue University,United States,,,,,78.2,79.7
=36,44  ,Cornell University,United States,,,,,65.2,79.5
=36,34=,University of Texas at Austin,United States,,,,,67.4,79.5
=36,41  ,University of Toronto,Canada,,,,,64.7,79.5
39,36  ,University of Michigan-Ann Arbor,United States,,,,,67,79.3
40,38=,Zhejiang University,China (Mainland),,,,,66.4,79
=41,34=,Politecnico di Milano,Italy,,,,,82.6,78.9
=41,43  ,UCL,United Kingdom,,,,,77.9,78.9
43,56  ,King Abdullah University of Science & Technology (KAUST),Saudi Arabia,,,,,69.3,78.8
44,42  ,Fudan University,China (Mainland),,,,,59.3,78.3
45,33  ,Pohang University of Science And Technology (POSTECH),South Korea,,,,,48.1,78.2
46,46  ,Tokyo Institute of Technology (Tokyo Tech),Japan,,,,,69.4,78.1
47,45  ,The Hong Kong University of Science and Technology,Hong Kong SAR,,,,,50.4,78
48,53  ,Kyoto University,Japan,,,,,62.3,77.5
49,63  ,Yonsei University,South Korea,,,,,59.1,77.3
=50,47=,Tohoku University,Japan,,,,,74.1,77.2
=50,51=,University of Science and Technology of China,China (Mainland),,,,,57.3,77.2
52,57  ,McGill University,Canada,,,,,68.1,77.1
53,59=,Université Paris-Saclay,France,,,,,96.8,77
54,61=,The University of Sheffield,United Kingdom,,,,,77.9,76.9
55,49  ,Carnegie Mellon University,United States,,,,,54.2,76.7
=56,47=,Chalmers University of Technology,Sweden,,,,,78.5,76.6
=56,67=,Harbin Institute of Technology,China (Mainland),,,,,73.7,76.6
=56,51=,Technical University of Denmark,Denmark,,,,,73.8,76.6
59,67=,University of British Columbia,Canada,,,,,69.3,76.5
60,,Eindhoven University of Technology,Netherlands,,,,,66.4,76.4
61,54=,"University of California, San Diego (UCSD)",United States,,,,,54.9,76.2
=62,67=,City University of Hong Kong,Hong Kong SAR,,,,,65.4,76.1
=62,61=,Technische Universität Berlin (TU Berlin),Germany,,,,,78.6,76.1
=62,,University of Chinese Academy of Sciences,China (Mainland),,,,,69.4,76.1
65,73=,Nanjing University,China (Mainland),,,,,57.2,75.8
66,59=,Politecnico di Torino,Italy,,,,,75.3,75.7
=67,50  ,Princeton University,United States,,,,,49.8,75.4
=67,54=,The University of Melbourne,Australia,,,,,69.9,75.4
