2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,,Royal College of Music,United Kingdom,,,,,,98.1
2,,Royal Academy of Music,United Kingdom,,,,,,94.6
3,,Conservatoire national supérieur de musique et de danse de Paris (CNSMDP),France,,,,,,93.6
4,,Guildhall School of Music and Drama,United Kingdom,,,,,,91.3
=5,,Juilliard School,United States,,,,,,90.2
=5,,Royal Northern College of Music (RNCM),United Kingdom,,,,,,90.2
7,,The Gnesins Russian Academy of Music,Russia,,,,,,85.7
8,,Moscow P. I. Tchaikovsky Conservatory,Russia,,,,,,84.6
9,,Curtis Institute of Music,United States,,,,,,83.9
10,,Shanghai Conservatory of Music (SHCM),China (Mainland),,,,,,82.6
11,,University of Rochester,United States,,,,,,82.2
12,,University of the Arts Helsinki,Finland,,,,,,81.8
13,,The Royal Danish Academy of Music,Denmark,,,,,,81.4
14,,Rimsky-Korsakov St. Petersburg State Conservatory,Russia,,,,,,81.2
15,,The Liszt Academy of Music,Hungary,,,,,,80.1
16,,Columbia University,United States,,,,,,78.6
17,,Conservatoire national supérieur de musique et de danse de Lyon,France,,,,,,77.5
18,,McGill University,Canada,,,,,,77.4
19,,Trinity Laban Conservatoire of Music and Dance,United Kingdom,,,,,,77.1
20,,University of Huddersfield,United Kingdom,,,,,,76.4
