2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,University of Pennsylvania,United States,,,,,,97.7
2,2  ,King's College London,United Kingdom,,,,,,97.2
3,3  ,Johns Hopkins University,United States,,,,,,92.8
4,4  ,University of Washington,United States,,,,,,91.6
5,7=,University of Toronto,Canada,,,,,,89.9
6,7=,The University of Manchester,United Kingdom,,,,,,89.4
7,5  ,University of Alberta,Canada,,,,,,89.2
8,16  ,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,,,,,,89.1
9,10  ,Yale University,United States,,,,,,88.8
10,9  ,"University of North Carolina, Chapel Hill",United States,,,,,,88.7
=11,14  ,Columbia University,United States,,,,,,87.9
=11,6  ,University of Southampton,United Kingdom,,,,,,87.9
13,25=,University of British Columbia,Canada,,,,,,87.6
=14,17=,Duke University,United States,,,,,,87.5
=14,13  ,The University of Sydney,Australia,,,,,,87.5
16,22  ,University of Michigan-Ann Arbor,United States,,,,,,87.4
17,11  ,"University of California, San Francisco (UCSF)",United States,,,,,,87.3
18,21  ,"University of California, Los Angeles (UCLA)",United States,,,,,,87
19,17=,Karolinska Institute,Sweden,,,,,,86.9
20,28=,National University of Singapore (NUS),Singapore,,,,,,86.8
21,15  ,Monash University,Australia,,,,,,86.7
=22,25=,Emory University,United States,,,,,,86.5
=22,12  ,New York University (NYU),United States,,,,,,86.5
24,20  ,University of Technology Sydney,Australia,,,,,,86.1
25,38  ,Taipei Medical University (TMU),Taiwan,,,,,,86
26,41=,"Trinity College Dublin, The University of Dublin",Ireland,,,,,,85.9
27,17=,The University of Melbourne,Australia,,,,,,85.8
28,35  ,University of Pittsburgh,United States,,,,,,85.5
29,23  ,Griffith University,Australia,,,,,,85.3
30,,KU Leuven,Belgium,,,,,,84.8
31,51-100,The Hong Kong Polytechnic University,Hong Kong SAR,,,,,,84.6
32,33=,University College Cork,Ireland,,,,,,84.5
33,24  ,McMaster University,Canada,,,,,,84.2
=34,30  ,Queensland University of Technology (QUT),Australia,,,,,,83.9
=34,36  ,Universidade de São Paulo,Brazil,,,,,,83.9
36,45=,University of Turku,Finland,,,,,,83.7
37,33=,The University of Queensland,Australia,,,,,,83.3
=38,37  ,University of Leeds,United Kingdom,,,,,,83
=38,31  ,University of Nottingham,United Kingdom,,,,,,83
40,27  ,The University of Hong Kong,Hong Kong SAR,,,,,,82.7
41,32  ,Deakin University,Australia,,,,,,82.6
=42,45=,Pennsylvania State University,United States,,,,,,82.2
=42,28=,The University of Edinburgh,United Kingdom,,,,,,82.2
=44,43  ,Australian Catholic University,Australia,,,,,,82.1
=44,51-100,La Trobe University,Australia,,,,,,82.1
=44,39  ,McGill University,Canada,,,,,,82.1
=44,40  ,The Ohio State University,United States,,,,,,82.1
48,51-100,"The University of Newcastle, Australia (UON)",Australia,,,,,,81.7
49,47=, Western Sydney University,Australia,,,,,,81.6
50,41=,Case Western Reserve University,United States,,,,,,81.5
51-100,51-100,Aarhus University,Denmark,,,,,,
51-100,51-100,Boston College,United States,,,,,,
51-100,51-100,Cardiff University,United Kingdom,,,,,,
51-100,101-150,Chung-Ang University (CAU),South Korea,,,,,,
51-100,51-100,Curtin University,Australia,,,,,,
51-100,51-100,Flinders University,Australia,,,,,,
51-100,51-100,Fudan University,China (Mainland),,,,,,
51-100,51-100,George Washington University,United States,,,,,,
51-100,51-100,Ghent University,Belgium,,,,,,
51-100,101-150,Huazhong University of Science and Technology,China (Mainland),,,,,,
51-100,51-100,Lund University,Sweden,,,,,,
51-100,51-100,National Taiwan University (NTU),Taiwan,,,,,,
51-100,,Peking Union Medical School,China (Mainland),,,,,,
51-100,51-100,Peking University,China (Mainland),,,,,,
51-100,51-100,Queen's University at Kingston,Canada,,,,,,
51-100,51-100,Queen's University Belfast,United Kingdom,,,,,,
51-100,51-100,Sapienza University of Rome,Italy,,,,,,
51-100,49=,Seoul National University,South Korea,,,,,,
51-100,,Sichuan University,China (Mainland),,,,,,
51-100,101-150,Sultan Qaboos University,Oman,,,,,,
51-100,51-100,The University of Adelaide,Australia,,,,,,
51-100,51-100,The University of Auckland,New Zealand,,,,,,
51-100,51-100,The University of Exeter,United Kingdom,,,,,,
51-100,51-100,The University of Sheffield,United Kingdom,,,,,,
51-100,51-100,Ulster University,United Kingdom,,,,,,
51-100,51-100,Università Cattolica del Sacro Cuore,Italy,,,,,,
51-100,51-100,Universitat de Barcelona,Spain,,,,,,
51-100,51-100,University College Dublin,Ireland,,,,,,
51-100,51-100,University of Basel,Switzerland,,,,,,
51-100,51-100,University of Birmingham,United Kingdom,,,,,,
51-100,44  ,University of Calgary,Canada,,,,,,
51-100,51-100,University of Eastern Finland,Finland,,,,,,
51-100,101-150,University of Galway,Ireland,,,,,,
51-100,51-100,University of Glasgow,United Kingdom,,,,,,
51-100,51-100,University of Illinois at Chicago (UIC),United States,,,,,,
51-100,47=,University of Iowa,United States,,,,,,
51-100,101-150,University of Jordan,Jordan,,,,,,
51-100,101-150,University of Limerick,Ireland,,,,,,
