2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,Royal College of Music,United Kingdom,,,,,,97
2,3  ,Royal Academy of Music,United Kingdom,,,,,,93.4
3,2  ,Conservatoire national supérieur de musique et de danse de Paris (CNSMDP),France,,,,,,93.3
4,4  ,Universität für Musik und darstellende Kunst Wien,Austria,,,,,,92.4
5,7  ,Guildhall School of Music and Drama,United Kingdom,,,,,,91.7
6,6  ,Royal Conservatoire of Scotland (Formerly Royal Scottish Academy of Music and Drama),United Kingdom,,,,,,90.2
7,5  ,Juilliard School,United States,,,,,,88.2
8,30  ,Royal Northern College of Music (RNCM),United Kingdom,,,,,,88
9,11  ,New York University (NYU),United States,,,,,,87.1
10,51-100,The Gnesins Russian Academy of Music,Russia,,,,,,85.3
11,10  ,Moscow P. I. Tchaikovsky Conservatory,Russia,,,,,,84.8
12,8  ,Curtis Institute of Music,United States,,,,,,83.7
13,25  ,University of the Arts Helsinki,Finland,,,,,,83.3
14,20  ,Royal Holloway University of London,United Kingdom,,,,,,81.9
=15,17=,Rimsky-Korsakov St. Petersburg State Conservatory,Russia,,,,,,81.2
=15,15  ,University of Rochester,United States,,,,,,81.2
17,14  ,The Royal Danish Academy of Music,Denmark,,,,,,80.8
18,23  ,University of Cambridge,United Kingdom,,,,,,80.7
19,21=,University of Oxford,United Kingdom,,,,,,80.3
20,24  ,Harvard University,United States,,,,,,80.2
21,9  ,Norwegian Academy of Music,Norway,,,,,,80
22,51-100,The Liszt Academy of Music,Hungary,,,,,,79.2
23,19  ,Conservatoire national supérieur de musique et de danse de Lyon,France,,,,,,78.9
24,34  ,McGill University,Canada,,,,,,78.5
=25,26  ,Hochschule für Musik und Theater Felix Mendelssohn Bartholdy Leipzig,Germany,,,,,,78.4
=25,17=,Trinity Laban Conservatoire of Music and Dance,United Kingdom,,,,,,78.4
27,28  ,Yale University,United States,,,,,,77.6
28,13  ,Hong Kong Academy of Performing Arts,Hong Kong SAR,,,,,,77.4
29,31=,Columbia University,United States,,,,,,77.1
=30,43  ,King's College London,United Kingdom,,,,,,76.9
=30,51-100,Shanghai Conservatory of Music (SHCM),China (Mainland),,,,,,76.9
32,27  ,University of Huddersfield,United Kingdom,,,,,,76.7
=33,12  ,University Mozarteum Salzburg,Austria,,,,,,76.4
=33,35  ,Zurich University of the Arts (ZHdK),Switzerland,,,,,,76.4
35,29  ,Hochschule für Musik Hanns Eisler Berlin,Germany,,,,,,76.2
36,33  ,Central School of Speech & Drama,United Kingdom,,,,,,76
37,39  ,Stanford University,United States,,,,,,75.6
38,41  ,Northwestern University,United States,,,,,,75.5
39,16  ,Royal College of Music in Stockholm,Sweden,,,,,,75.3
40,51-100,"Trinity College Dublin, The University of Dublin",Ireland,,,,,,75
41,48=,National University of Singapore (NUS),Singapore,,,,,,74.9
42,21=,UCSI University,Malaysia,,,,,,74.8
43,31=,University of Southern California,United States,,,,,,74.6
44,44=,University of Michigan-Ann Arbor,United States,,,,,,74.4
45,36=,"University of California, Los Angeles (UCLA)",United States,,,,,,74.3
46,48=,University of Toronto,Canada,,,,,,73.6
47,51-100,The Fryderyk Chopin University of Music,Poland,,,,,,73
48,44=,"Goldsmiths, University of London",United Kingdom,,,,,,72.9
49,51-100,University of Birmingham,United Kingdom,,,,,,72.7
50,51-100,"University of California, Berkeley (UCB)",United States,,,,,,72.5
51-100,51-100,Academy of Performing Arts in Prague,Czech Republic,,,,,,
51-100,51-100,Boston University,United States,,,,,,
51-100,51-100,California Institute of the Arts,United States,,,,,,
51-100,40  ,"Central Academy of Drama, China",China (Mainland),,,,,,
51-100,51-100,Chulalongkorn University,Thailand,,,,,,
51-100,51-100,City University of New York,United States,,,,,,
51-100,36=,Conservatoire de Musique de Genève,Switzerland,,,,,,
51-100,51-100,Conservatorio di Roma Santa Cecilia,Italy,,,,,,
51-100,51-100,Hochschule für Musik und Tanz Köln,Germany,,,,,,
51-100,51-100,Hochschule für Musik und Theater Hamburg,Germany,,,,,,
51-100,47  ,Hochschule für Musik und Theater München,Germany,,,,,,
51-100,38  ,Indiana University Bloomington,United States,,,,,,
51-100,42  ,Korea National University of Arts,South Korea,,,,,,
51-100,,Lasalle College of the Arts,Singapore,,,,,,
51-100,51-100,Lithuanian Academy of Music and Theatre,Lithuania,,,,,,
51-100,51-100,Mahidol University,Thailand,,,,,,
