2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1,Loughborough University,United Kingdom,,,,,,96
2,2,The University of Queensland,Australia,,,,,,93
3,3,University of British Columbia,Canada,,,,,,90.8
4,4,The University of Sydney,Australia,,,,,,90.2
5,5,University of Toronto,Canada,,,,,,89.6
6,9,Liverpool John Moores University,United Kingdom,,,,,,86.6
6,6,University of Birmingham,United Kingdom,,,,,,86.6
8,7=,University of Bath,United Kingdom,,,,,,86.5
9,12,The University of Melbourne,Australia,,,,,,85.8
10,10=,University of Michigan-Ann Arbor,United States,,,,,,85.5
11,7=,Deakin University,Australia,,,,,,85.4
12,15,University of Otago,New Zealand,,,,,,85
13,10=,University of Florida,United States,,,,,,84.9
14,13,Pennsylvania State University,United States,,,,,,84.4
15,19,University of Alberta,Canada,,,,,,83.4
16,24,The University of Edinburgh,United Kingdom,,,,,,83.3
17,17,KU Leuven,Belgium,,,,,,83.1
18,14,University of Copenhagen,Denmark,,,,,,83
19,16,University of Calgary,Canada,,,,,,82.8
20,22=,The University of Western Australia,Australia,,,,,,82.6
21,18,University of Ottawa,Canada,,,,,,82.2
22,20,Seoul National University,South Korea,,,,,,82.1
23,26,Western University,Canada,,,,,,82
24,,Columbia University,United States,,,,,,81.7
25,42=,National University of Singapore (NUS),Singapore,,,,,,81.6
25,29,Yonsei University,South Korea,,,,,,81.6
27,21,The University of Exeter,United Kingdom,,,,,,81.5
28,41,Auckland University of Technology (AUT),New Zealand,,,,,,81.2
28,32,The University of Auckland,New Zealand,,,,,,81.2
30,25,The Ohio State University,United States,,,,,,81.1
31,,Monash University,Australia,,,,,,80.9
32,22=,McMaster University,Canada,,,,,,80.8
33,39=,McGill University,Canada,,,,,,80.7
34,34=,University of Illinois at Urbana-Champaign,United States,,,,,,80.5
34,28,"University of North Carolina, Chapel Hill",United States,,,,,,80.5
36,33,Edith Cowan University ,Australia,,,,,,80.3
37,46,Texas A&M University,United States,,,,,,80
37,30,UCL,United Kingdom,,,,,,80
39,36,"Nanyang Technological University, Singapore (NTU)",Singapore,,,,,,79.7
39,31,University of Jyväskylä,Finland,,,,,,79.7
41,51-100,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,,,,,,79.4
42,27,Vrije Universiteit Amsterdam,Netherlands,,,,,,79.3
43,34=,Victoria University ,Australia,,,,,,79.2
44,38,The University of Hong Kong,Hong Kong SAR,,,,,,79
44,51-100,Universidade de São Paulo,Brazil,,,,,,79
46,39=,La Trobe University,Australia,,,,,,78.8
47,50=,University of Technology Sydney,Australia,,,,,,78.7
48,42=,Griffith University,Australia,,,,,,78.6
49,,The University of Tokyo,Japan,,,,,,78.4
50,44,Michigan State University,United States,,,,,,78
51-100,51-100,Arizona State University,United States,,,,,,
51-100,51-100,Australian Catholic University,Australia,,,,,,
51-100,51-100,Boston University,United States,,,,,,
51-100,51-100,Cornell University,United States,,,,,,
51-100,51-100,Curtin University,Australia,,,,,,
51-100,51-100,Durham University,United Kingdom,,,,,,
51-100,47=,Florida State University,United States,,,,,,
51-100,45,Ghent University,Belgium,,,,,,
51-100,51-100,Indiana University Bloomington,United States,,,,,,
51-100,,Korea University,South Korea,,,,,,
51-100,51-100,Kyoto University,Japan,,,,,,
51-100,51-100,Leeds Beckett University,United Kingdom,,,,,,
51-100,51-100,Maastricht University ,Netherlands,,,,,,
51-100,51-100,Manchester Metropolitan University (MMU),United Kingdom,,,,,,
51-100,50=,Massachusetts Institute of Technology (MIT) ,United States,,,,,,
51-100,51-100,National Taiwan Normal University,Taiwan,,,,,,
51-100,51-100,National Taiwan University (NTU),Taiwan,,,,,,
51-100,,New York University (NYU),United States,,,,,,
51-100,51-100,Northwestern University,United States,,,,,,
51-100,51-100,Peking University,China (Mainland),,,,,,
51-100,51-100,Queen's University at Kingston,Canada,,,,,,
51-100,51-100,Queensland University of Technology (QUT),Australia,,,,,,
51-100,51-100,Swansea University,United Kingdom,,,,,,
51-100,51-100,Temple University,United States,,,,,,
51-100,51-100,The Hong Kong Polytechnic University,Hong Kong SAR,,,,,,
51-100,49,The University of Manchester,United Kingdom,,,,,,
