2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,Massachusetts Institute of Technology (MIT) ,United States,,,,,,99.6
2,2  ,Stanford University,United States,,,,,,98.9
3,3  ,Harvard University,United States,,,,,,97.6
4,4=,University of Cambridge,United Kingdom,,,,,,96.5
5,7  ,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,,,,,,95.9
=6,4=,"University of California, Berkeley (UCB)",United States,,,,,,95.4
=6,6  ,University of Oxford,United Kingdom,,,,,,95.4
8,8  ,Imperial College London,United Kingdom,,,,,,93.5
9,9  ,Georgia Institute of Technology,United States,,,,,,93.1
=10,14  ,National University of Singapore (NUS),Singapore,,,,,,91.1
=10,12  ,Princeton University,United States,,,,,,91.1
12,10  ,Columbia University,United States,,,,,,90.8
13,11  ,Carnegie Mellon University,United States,,,,,,90.3
14,13  ,University of Chicago,United States,,,,,,89.4
15,15  ,University of Michigan-Ann Arbor,United States,,,,,,88.3
=16,18=,Cornell University,United States,,,,,,87.9
=16,20  ,Tsinghua University,China (Mainland),,,,,,87.9
=16,21  ,"University of California, Los Angeles (UCLA)",United States,,,,,,87.9
19,17  ,University of Toronto,Canada,,,,,,87.4
20,16  ,The University of Warwick,United Kingdom,,,,,,86.9
21,23  ,Institut Polytechnique de Paris,France,,,,,,86.5
22,18=,University of Pennsylvania,United States,,,,,,86
23,28  ,Technical University of Munich,Germany,,,,,,85.6
24,25  ,Duke University,United States,,,,,,84.9
=25,26  ,Sorbonne University,France,,,,,,84.6
=25,22  ,Université PSL,France,,,,,,84.6
=27,38  ,"Nanyang Technological University, Singapore (NTU)",Singapore,,,,,,83.7
=27,41  ,Université Paris-Saclay,France,,,,,,83.7
29,34  ,UCL,United Kingdom,,,,,,83.5
=30,24  ,University of Washington,United States,,,,,,83.4
=30,29=,Yale University,United States,,,,,,83.4
=32,29=,Purdue University,United States,,,,,,83.1
=32,32  ,Université de Montréal ,Canada,,,,,,83.1
34,35  ,The University of Tokyo,Japan,,,,,,82.8
35,31  ,Peking University,China (Mainland),,,,,,82.6
36,43  ,Shanghai Jiao Tong University,China (Mainland),,,,,,82.4
=37,33  ,Delft University of Technology,Netherlands,,,,,,82.2
=37,27  ,The London School of Economics and Political Science (LSE),United Kingdom,,,,,,82.2
=37,40  ,The University of Edinburgh,United Kingdom,,,,,,82.2
=40,48  ,Johns Hopkins University,United States,,,,,,82.1
=40,37  ,New York University (NYU),United States,,,,,,82.1
42,36  ,University of Wisconsin-Madison,United States,,,,,,82
43,46  ,The Hong Kong University of Science and Technology,Hong Kong SAR,,,,,,81.8
44,47  ,Erasmus University Rotterdam ,Netherlands,,,,,,81.6
45,45  ,Northwestern University,United States,,,,,,81.4
46,50  ,The University of Manchester,United Kingdom,,,,,,81.2
47,51-100,University of British Columbia,Canada,,,,,,81
48,39  ,University of Southampton,United Kingdom,,,,,,80.9
49,44  ,KU Leuven,Belgium,,,,,,80.8
=50,51-100,Eindhoven University of Technology,Netherlands,,,,,,80.2
