2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,3  ,Harvard University,United States,,,,,,92
2,2  ,University of Oxford,United Kingdom,,,,,,91.9
3,1  ,University of Notre Dame,United States,,,,,,91.8
4,4  ,University of Cambridge,United Kingdom,,,,,,91.4
5,8  ,Eberhard Karls Universität Tübingen,Germany,,,,,,89.7
6,5  ,KU Leuven,Belgium,,,,,,88.9
7,6  ,Durham University,United Kingdom,,,,,,88.6
8,13  ,University of Chicago,United States,,,,,,88.1
9,9  ,Duke University,United States,,,,,,87.9
10,16  ,The University of Edinburgh,United Kingdom,,,,,,86.8
11,10  ,Boston College,United States,,,,,,86.5
12,7  ,Yale University,United States,,,,,,85.8
13,20  ,Ruprecht-Karls-Universität Heidelberg,Germany,,,,,,84.5
14,14  ,University of St Andrews,United Kingdom,,,,,,83.7
15,12  ,Princeton University,United States,,,,,,83.2
16,11  ,The Hebrew University of Jerusalem,Israel,,,,,,82.2
17,17  ,"University of California, Berkeley (UCB)",United States,,,,,,80.2
18,18  ,University of Toronto,Canada,,,,,,80
19,23=,Université catholique de Louvain (UCLouvain),Belgium,,,,,,79.4
20,15  ,Emory University,United States,,,,,,79.1
21,28  ,University of Vienna,Austria,,,,,,79
22,22  ,University of Helsinki,Finland,,,,,,78
23,23=,Westfälische Wilhelms-Universität Münster ,Germany,,,,,,77.8
24,26  ,Ludwig-Maximilians-Universität München,Germany,,,,,,76.7
25,29  ,University of Aberdeen,United Kingdom,,,,,,76.6
26,30=,Humboldt-Universität zu Berlin,Germany,,,,,,75.3
27,21  ,Vrije Universiteit Amsterdam,Netherlands,,,,,,75.2
28,34  ,Australian Catholic University,Australia,,,,,,75
29,33  ,Universidad Pontificia Comillas,Spain,,,,,,74.6
30,25  ,University of Göttingen,Germany,,,,,,74.1
31,35  ,University of Navarra,Spain,,,,,,73.6
32,19  ,International Islamic University Malaysia (IIUM),Malaysia,,,,,,73.4
33,36  ,King's College London,United Kingdom,,,,,,73.3
34,51-100,Pontificia Universidad Católica de Chile (UC),Chile,,,,,,73.1
35,30=,Vanderbilt University,United States,,,,,,72.8
=36,27  ,Boston University,United States,,,,,,72.7
=36,40=,Radboud University ,Netherlands,,,,,,72.7
38,51-100,The University of Sydney,Australia,,,,,,72.6
39,32  ,University of Birmingham,United Kingdom,,,,,,72.5
40,40=,Stanford University,United States,,,,,,72.3
41,44  ,Yonsei University,South Korea,,,,,,71.9
42,50  ,University of Oslo,Norway,,,,,,71.8
=43,47=,Georgetown University,United States,,,,,,71.3
=43,43  ,Universiti Malaya (UM),Malaysia,,,,,,71.3
=43,39  ,University of Zurich,Switzerland,,,,,,71.3
46,,The University of Tokyo,Japan,,,,,,71.2
