2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
1,1  ,"Royal Veterinary College, University of London",United Kingdom,,,,,,97.9
2,2  ,"University of California, Davis",United States,,,,,,95.3
3,3  ,Cornell University,United States,,,,,,94.3
4,4  ,Vetsuisse Faculty Bern and Zurich,Switzerland,,,,,,91.2
5,5  ,Utrecht University,Netherlands,,,,,,90.5
6,9  ,University of Pennsylvania,United States,,,,,,89.2
7,11  ,Texas A&M University,United States,,,,,,89.1
8,6  ,University of Guelph,Canada,,,,,,88
9,8  ,The University of Edinburgh,United Kingdom,,,,,,87.7
10,7  ,Colorado State University,United States,,,,,,87.6
=11,18=,University of Liverpool,United Kingdom,,,,,,86.9
=11,12  ,University of Minnesota Twin Cities,United States,,,,,,86.9
13,16=,Iowa State University,United States,,,,,,86.6
14,14  ,University of Copenhagen,Denmark,,,,,,85.9
15,18=,University of Cambridge,United Kingdom,,,,,,85.8
=16,13  ,Ghent University,Belgium,,,,,,85.5
=16,10  ,The Ohio State University,United States,,,,,,85.5
=18,21  ,University of Glasgow,United Kingdom,,,,,,85.4
=18,15  ,University of Wisconsin-Madison,United States,,,,,,85.4
20,24  ,Wageningen University & Research,Netherlands,,,,,,84.8
21,28  ,Massey University,New Zealand,,,,,,84.4
22,31  ,University of Florida,United States,,,,,,84.1
=23,22  ,North Carolina State University,United States,,,,,,83.9
=23,25  ,Swedish University of Agricultural Sciences,Sweden,,,,,,83.9
25,16=,University of Bristol,United Kingdom,,,,,,83.8
26,23  ,The University of Sydney,Australia,,,,,,83.7
27,20  ,Universitat Autònoma de Barcelona,Spain,,,,,,83.6
28,32  ,University of Veterinary Medicine Vienna,Austria,,,,,,83.3
=29,29  ,Michigan State University,United States,,,,,,82
=29,26=,The University of Melbourne,Australia,,,,,,82
=29,30  ,Université de Montréal ,Canada,,,,,,82
32,26=,The University of Georgia,United States,,,,,,81.5
33,33  ,University of Calgary,Canada,,,,,,80.7
=34,44  ,The University of Queensland,Australia,,,,,,79.2
=34,48  ,University of Milan,Italy,,,,,,79.2
=36,38  ,Purdue University,United States,,,,,,79
=36,41  ,University of Illinois at Urbana-Champaign,United States,,,,,,79
38,,"VetAgro Sup, Campus Vétérinaire de Lyon",France,,,,,,78.9
39,36  ,Ludwig-Maximilians-Universität München,Germany,,,,,,78.8
=40,46=,Freie Universitaet Berlin,Germany,,,,,,78.7
=40,46=,Universiti Putra Malaysia (UPM),Malaysia,,,,,,78.7
42,39  ,University College Dublin,Ireland,,,,,,78.6
43,45  ,"École Nationale Vétérinaire, Alfort",France,,,,,,78.5
=44,51-70,Murdoch University,Australia,,,,,,78.2
=44,50  ,University of Nottingham,United Kingdom,,,,,,78.2
46,35  ,Complutense University of Madrid,Spain,,,,,,78.1
47,51-70,Alma Mater Studiorum - University of Bologna,Italy,,,,,,78
48,34  ,The University of Tokyo,Japan,,,,,,77.9
49,43  ,Kansas State University ,United States,,,,,,77.4
50,51-70,University of Prince Edward Island,Canada,,,,,,77
51-70,,Alexandria University ,Egypt,,,,,,
51-70,51-70,Cairo University,Egypt,,,,,,
51-70,,Norwegian University of Life Sciences (UMB),Norway,,,,,,
51-70,49  ,Seoul National University,South Korea,,,,,,
51-70,51-70,The University of Adelaide,Australia,,,,,,
51-70,37  ,Tufts University,United States,,,,,,
51-70,51-70,UNESP,Brazil,,,,,,
51-70,51-70,Universidad Nacional Autónoma de México (UNAM),Mexico,,,,,,
51-70,42  ,Universidade de São Paulo,Brazil,,,,,,
51-70,51-70,Università di Padova,Italy,,,,,,
51-70,51-70,Université de Liège,Belgium,,,,,,
51-70,,University of British Columbia,Canada,,,,,,
51-70,51-70,University of Helsinki,Finland,,,,,,
51-70,51-70,"University of Missouri, Columbia",United States,,,,,,
51-70,40  ,University of Pisa,Italy,,,,,,
51-70,51-70,University of Pretoria,South Africa,,,,,,
51-70,51-70,University of Saskatchewan,Canada,,,,,,
51-70,51-70,University of Turin,Italy,,,,,,
51-70,,"University of Veterinary and Animal Sciences, Lahore",Pakistan,,,,,,
51-70,51-70,Washington State University,United States,,,,,,
