Top 500 Universities - Arts & Humanities,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
1,1  ,Harvard University,United States,100,100,84.1,98.7,83,97.9
2,2  ,University of Cambridge,United Kingdom,99.6,95.3,81.5,96.9,94.1,96.9
3,3  ,University of Oxford,United Kingdom,99.8,96.3,80.1,96.5,88.7,96.8
4,4  ,Stanford University,United States,94.6,95.8,93.1,100,65.4,93.7
5,5  ,"University of California, Berkeley (UCB)",United States,96,89.7,89.3,97.6,51.4,92.1
6,6  ,Yale University,United States,95.4,87.2,79.5,88.5,58.9,90.2
7,12  ,Massachusetts Institute of Technology (MIT) ,United States,87.5,98,100,96.1,57.5,89.7
=8,7=,New York University (NYU),United States,94.2,80.8,86.1,96.5,64.7,89.6
=8,9  ,"University of California, Los Angeles (UCLA)",United States,93.5,87.9,80.8,91,60.8,89.6
=10,11  ,UCL,United Kingdom,92,73.7,81.2,96.9,100,88.3
=10,15  ,University of Toronto,Canada,91.1,87.5,80.2,94.9,59.9,88.3
12,10  ,The University of Edinburgh,United Kingdom,94.1,73,82.7,96.1,75,88.2
13,7=,Columbia University,United States,93.3,78.5,79.2,89.5,72.3,87.9
14,13  ,Princeton University,United States,93.4,82.3,82.4,84.4,48.3,87.4
15,14  ,University of Chicago,United States,94.1,79.1,76.4,83.1,46.5,86.6
16,19  ,Sorbonne University,France,91.2,73,70.9,81,87.6,85.1
17,22  ,University of Michigan-Ann Arbor,United States,87.8,78.1,85,91.9,66.7,84.9
18,23  ,University of British Columbia,Canada,86.7,87,78.7,87.9,55.7,84.7
19,17  ,Université Paris 1 Panthéon-Sorbonne ,France,92.8,73.6,64.9,71.2,70.5,84.1
20,16  ,Universidad Nacional Autónoma de México (UNAM),Mexico,93.6,82.7,58.5,63.3,43.6,84
21,29=,University of Amsterdam,Netherlands,86.6,70.5,90.7,96.9,71.1,83.7
=22,18  ,King's College London,United Kingdom,88.9,70.7,76.1,85.1,80.9,83.6
=22,34=,Peking University,China (Mainland),88.7,78.2,87.8,89,29.8,83.6
=22,24=,The University of Melbourne,Australia,87.9,74.3,78.3,89,69.4,83.6
25,28  ,Pontificia Universidad Católica de Chile (UC),Chile,91.1,81.1,63.4,66.2,51.9,83.2
26,21  ,Universidad de Buenos Aires (UBA),Argentina,92.9,79.9,55.8,63.3,49.6,83.1
=27,38  ,The University of Manchester,United Kingdom,83.7,80.8,78.3,86.8,81.2,82.8
=27,24=,University of Pennsylvania,United States,86.6,74.4,81.5,89.5,62.8,82.8
=29,29=,Cornell University,United States,84.7,81,87.2,91.5,41.7,82.5
=29,20  ,Humboldt-Universität zu Berlin,Germany,93.2,61.8,72.6,78.7,57.4,82.5
=29,36=,McGill University,Canada,85.6,82.1,80.5,86.3,44,82.5
=32,34=,The University of Hong Kong,Hong Kong SAR,88.5,72.4,82.3,90,38.3,82.4
=32,42  ,The University of Tokyo,Japan,87.6,84,74,78.7,32.1,82.4
=34,24=,The University of Sydney,Australia,87.2,71.6,76.7,85.1,62.1,81.9
=34,39=,University of Texas at Austin,United States,84.5,76.7,80.2,89.5,62.3,81.9
36,52  ,Tsinghua University,China (Mainland),84.7,81.3,91.1,91.9,19.3,81.8
37,47  ,National University of Singapore (NUS),Singapore,82.1,90.4,80.6,84.4,38.5,81.6
=38,39=,Ludwig-Maximilians-Universität München,Germany,89.2,59.4,77.5,85.7,74.9,81.4
=38,33  ,The Australian National University,Australia,85.8,74.8,75.5,82.5,62.4,81.4
40,59=,Seoul National University,South Korea,87.5,82,76.4,77.9,13.8,81.2
41,27  ,Freie Universitaet Berlin,Germany,92.6,59,69.8,73.3,59.2,81.1
42,32  ,Durham University,United Kingdom,87.1,67.4,77.3,82.5,64.7,81
43,31  ,The London School of Economics and Political Science (LSE),United Kingdom,84.2,76.6,82.2,83.8,49.1,80.7
44,41  ,Sapienza University of Rome,Italy,88,68.6,65.8,78.7,64.7,80.6
45,36=,Leiden University,Netherlands,89.6,57.6,73.7,80.3,73.8,80.5
46,49  ,Universidade de São Paulo,Brazil,85.4,82.9,62.9,72.3,46.1,80.3
47,50=,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,87.5,66.4,79.4,82.5,42.5,80
=48,54=,KU Leuven,Belgium,84.4,65.7,74.4,85.7,78.6,79.7
=48,54=,The University of New South Wales (UNSW Sydney),Australia,80.6,76.3,81,86.8,70.3,79.7
50,48  ,Alma Mater Studiorum - University of Bologna,Italy,85.9,71.6,69.4,75.3,57.7,79.6
51,44=,University of Leeds,United Kingdom,83.4,71.5,76.3,83.1,64.3,79.5
52,58  ,"Trinity College Dublin, The University of Dublin",Ireland,84.9,71.7,73.6,75.3,58.3,79.4
53,57  ,Brown University,United States,85.2,69.2,80.6,81,43.3,79.2
=54,74=,Carnegie Mellon University,United States,76.4,79.5,97.7,99.7,50.4,79.1
=54,44=,Duke University,United States,83.7,70.7,79.6,83.8,50.3,79.1
56,43  ,University of St Andrews,United Kingdom,86.7,63.1,80,75.3,49.4,78.8
57,73  ,Delft University of Technology,Netherlands,80.5,78.7,78.2,78.7,58.3,78.7
=58,63=,Lomonosov Moscow State University,Russia,81.6,90,53.3,63.3,58.1,78.6
=58,44=,University of Vienna,Austria,87.1,58.5,70.6,79.5,67.3,78.6
=60,108  ,Politecnico di Milano,Italy,81.3,82.3,68.4,73.3,51.9,78.5
=60,61=,Université PSL,France,79.8,73.1,75.7,83.1,81,78.5
62,93=,Kyoto University,Japan,84.7,74.5,75.3,73.3,28.8,78.3
63,93=,Waseda University,Japan,84,74.1,79.3,71.2,32.9,78.2
=64,56  ,Monash University,Australia,81.1,73,77.5,84.4,54.6,78.1
=64,65  ,University of Birmingham,United Kingdom,82.2,69.3,77.7,83.8,56.3,78.1
=66,88=,"Nanyang Technological University, Singapore (NTU)",Singapore,75.2,88.2,82.3,86.3,52.3,78
=66,105=,National Taiwan University (NTU),Taiwan,82.3,73.3,83.5,80.3,34.4,78
=66,50=,The University of Warwick,United Kingdom,82.1,67.9,76.9,81.8,65.8,78
69,76=,University of Southern California,United States,81.2,70.4,85.2,89,40.9,77.9
70,81=,The University of Auckland,New Zealand,83.3,67.8,79.7,81.8,42.3,77.8
71,59=,University of Glasgow,United Kingdom,83.3,65.7,78.3,78.7,51.2,77.5
=72,53  ,Complutense University of Madrid,Spain,86.2,67.4,59.4,70,49.4,77.4
=72,61=,Ruprecht-Karls-Universität Heidelberg,Germany,85.8,58.9,78.1,75.3,53.6,77.4
=72,97=,Yonsei University,South Korea,85.4,75.2,71.9,70,9.9,77.4
75,80  ,Fudan University,China (Mainland),84.5,71.5,81.3,76.2,9.6,77.3
76,123=,Korea University,South Korea,84.9,74.3,75.2,73.3,4.9,77.2
=77,72  ,Lancaster University,United Kingdom,81.8,62.7,81.8,85.7,52.2,76.8
=77,66=,Universidad de Chile,Chile,84.3,72.3,61.6,66.2,43.1,76.8
=79,63=,University of Helsinki,Finland,83.3,56.7,73.9,81,75.7,76.7
=79,105=,University of Washington,United States,75,71.6,95.5,97.2,58.3,76.7
=79,66=,University of York,United Kingdom,83.7,57.7,77.1,81.8,60,76.7
82,78=,The University of Sheffield,United Kingdom,79.5,64.3,83.2,85.1,65.8,76.5
83,66=,University of Copenhagen,Denmark,81.1,61.8,76.8,81.8,68.7,76.4
84,81=,University of Wisconsin-Madison,United States,79.1,68.3,79.1,84.4,56.8,76.2
85,100=,Pennsylvania State University,United States,77.1,68.2,79.8,88.5,72,76.1
=86,93=,"University of California, San Diego (UCSD)",United States,76.4,71.9,83.3,85.1,62.3,76
=86,125=,University of Illinois at Urbana-Champaign,United States,76.6,76.2,80.7,90,40.7,76
=88,88=,Boston University,United States,78,73.4,78.5,84.4,44.9,75.9
=88,85=,University of Bristol,United Kingdom,78,69.2,80.3,81.8,61.9,75.9
90,112=,Newcastle University,United Kingdom,77.4,68.9,80.1,81.8,69,75.8
=91,71  ,City University of New York,United States,77.9,67.2,74.5,86.8,69,75.7
=91,109=,The University of Queensland,Australia,78.3,69.1,76.7,82.5,58.8,75.7
=91,109=,University of Reading,United Kingdom,75.9,76.1,79,78.7,62.4,75.7
=94,76=,The University of Exeter,United Kingdom,80.6,61.5,77.3,81,61.1,75.6
=94,97=,Universitat de Barcelona,Spain,80.5,68.2,66.7,74.3,60.8,75.6
=94,109=,Universiti Malaya (UM),Malaysia,80.9,71.5,73.2,77.1,28.8,75.6
97,100=,Johns Hopkins University,United States,73.9,66.1,90.8,95.7,77.2,75.4
=98,84  ,Universidad de los Andes,Colombia,83.6,72.5,65.4,63.3,18.7,75.2
=98,161=,Zhejiang University,China (Mainland),77.3,72.8,77.2,80.3,48.5,75.2
=100,74=,Eberhard Karls Universität Tübingen,Germany,84.6,47.1,79.3,81,56.5,75
=100,78=,Queen Mary University of London,United Kingdom,80.4,66.6,76.9,77.1,38.7,75
=100,138=,The Hong Kong Polytechnic University,Hong Kong SAR,80.7,61.2,79.8,83.1,41.6,75
=100,114  ,The Ohio State University,United States,76.1,71.3,81.2,87.4,49,75
=104,102=,Northwestern University,United States,76.3,70.8,80.7,83.8,52.8,74.9
=104,93=,University of Nottingham,United Kingdom,75.6,68,80.3,84.4,71.9,74.9
=106,99  ,Indiana University Bloomington,United States,82.1,56.5,78.3,81,46.8,74.8
=106,119  ,RMIT University,Australia,80.2,64.3,76.4,77.9,45,74.8
=106,91=,Utrecht University,Netherlands,79.5,58.7,78.4,85.1,62.6,74.8
=109,69=,Georgetown University,United States,81.3,62.1,78.2,81.8,27.4,74.6
=109,91=,Universitat Autònoma de Barcelona,Spain,80.1,62.5,73.1,76.2,57.7,74.6
=109,85=,University of Oslo,Norway,80.5,53.5,76.7,81.8,73.3,74.6
112,104  ,University College Dublin,Ireland,81.4,67.5,73.2,73.3,23.9,74.5
113,88=,Universidad Nacional de Colombia,Colombia,82.5,71.8,63.3,61.7,24,74.4
