QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Biological Sciences,,,,,,,,,
,,,,Institutions Considered,,1569,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 670 Universities - Biological Sciences,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
1,1  ,Harvard University,United States,100,100,93.8,100,100,98.8
2,2  ,Massachusetts Institute of Technology (MIT) ,United States,95,97.1,100,94.4,77.9,94.4
3,3  ,Stanford University,United States,95.2,95.9,95,91.5,80.5,93
4,4  ,University of Oxford,United Kingdom,97.9,97.4,86.9,83.8,98.7,92.9
5,5  ,University of Cambridge,United Kingdom,98,96.8,91.1,85.9,81.2,92.4
=6,6  ,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,96.7,91.2,86.4,75.2,60.3,86.2
=6,8  ,UCL,United Kingdom,85,84.9,88,84.8,91.3,86.2
=8,11  ,Imperial College London,United Kingdom,86.4,87.4,87.6,83.8,85.6,86.1
=8,9=,Yale University,United States,88.3,88.8,89.2,83.5,73.8,86.1
10,9=,"University of California, San Diego (UCSD)",United States,86.9,81.2,91,87.2,72.4,85.8
11,7  ,"University of California, Berkeley (UCB)",United States,91.3,90,90.5,78.8,61.2,85.5
12,13  ,"University of California, San Francisco (UCSF)",United States,79.7,71.6,95.1,90.1,89.3,85
=13,14  ,Cornell University,United States,83.3,86.2,89.8,86.7,72.8,84.5
=13,12  ,"University of California, Los Angeles (UCLA)",United States,86.7,87,87.9,82.5,70.5,84.5
15,15  ,Johns Hopkins University,United States,79.5,89.2,86.1,84.3,93.3,84.1
16,16  ,National University of Singapore (NUS),Singapore,85.8,93.4,85.6,78.4,66,83.1
17,23  ,Karolinska Institute,Sweden,80.5,79.8,86.3,81.9,88.9,82.7
18,18=,Columbia University,United States,80.9,80.7,89.3,82.3,77.2,82.5
19,21  ,University of Pennsylvania,United States,78.7,84.3,89.1,85.7,74.7,82.3
20,17  ,California Institute of Technology (Caltech),United States,89.8,84.6,95.2,69,42.5,81.5
21,20  ,The University of Edinburgh,United Kingdom,82.8,81.5,85.6,75.5,78.6,81.4
=22,18=,University of Copenhagen,Denmark,80.4,75.5,86.9,78.4,85,81.3
=22,26  ,University of Toronto,Canada,78,86,84.8,82.7,79.7,81.3
24,32=,Tsinghua University,China (Mainland),86.4,87.8,90,80.3,36.9,81.1
25,29  ,University of Washington,United States,76,76.4,88.2,82.8,86.8,80.9
26,22  ,Ludwig-Maximilians-Universität München,Germany,84.6,70.4,86.2,73.9,77.6,80.7
27,24=,Ruprecht-Karls-Universität Heidelberg,Germany,81.9,76.3,87.3,77.7,71.3,80.5
28,32=,Peking University,China (Mainland),82.5,88.7,84.8,81.4,50.5,80.2
29,28  ,Princeton University,United States,85.7,85.6,93.3,71.8,40.9,80
30,24=,University of Chicago,United States,80.3,78.3,91.7,78.7,56.9,79.7
31,27  ,The University of Tokyo,Japan,88.3,86.1,77.7,73.9,51.9,79.4
=32,30  ,EPFL,Switzerland,85,84.2,88.1,68.8,53.4,79.1
=32,37  ,King's College London,United Kingdom,72.1,81.4,88.9,81.5,80.2,79.1
34,38=,Wageningen University & Research,Netherlands,83.9,81.9,83.3,65.9,67.7,78.4
=35,43  ,New York University (NYU),United States,74,72.1,94,80.3,62.9,78
=35,31  ,Sorbonne University,France,75.8,79.3,82.1,77.1,78.9,78
=35,34  ,University of British Columbia,Canada,79.5,85.3,82.3,73.4,65,78
=38,44  ,"Nanyang Technological University, Singapore (NTU)",Singapore,83.1,84.9,85.1,69.5,52.8,77.9
=38,38=,The University of Melbourne,Australia,74.5,81,83.4,77.4,78.2,77.9
40,45  ,The University of Manchester,United Kingdom,74.6,79.3,87.3,76.4,72,77.7
=41,40=,Duke University,United States,76.4,72.2,85.7,78.2,70,77.6
=41,42  ,University of Michigan-Ann Arbor,United States,73.4,78.8,85.9,80.8,70.2,77.6
=43,36  ,McGill University,Canada,75.9,85.4,83.9,75,65.8,77.3
=43,35  ,"University of California, Davis",United States,79,78.8,80.4,72.3,72.4,77.3
45,47=,Washington University in St. Louis,United States,71.3,63.4,90.9,84.3,67.5,76.7
=46,50=,Technical University of Munich,Germany,79.1,70.9,82.6,73.6,66.6,76.6
=46,47=,Utrecht University,Netherlands,73.2,73.7,86.8,77.9,70,76.6
48,40=,Seoul National University,South Korea,82.9,84.2,77.5,68.9,56.1,76.5
49,49  ,Uppsala University,Sweden,77,73.7,83.7,72.1,70.9,76.4
50,46  ,Kyoto University,Japan,82.1,76.4,80.5,69.5,53.5,75.8
51,52  ,"University of North Carolina, Chapel Hill",United States,66.6,68.4,89.7,80.6,79.9,75.5
=52,54=,KU Leuven,Belgium,70.8,73.6,84.1,74.9,79.2,75.4
=52,50=,University of Zurich,Switzerland,72.2,67.5,88.9,76.1,67.7,75.4
54,57  ,The University of Queensland,Australia,73.8,79.1,82.5,75.5,62.6,75.3
55,53  ,Rockefeller University,United States,74.8,55.4,97.6,75.6,46.6,74.8
56,54=,University of Glasgow,United Kingdom,70.4,74.1,85.6,72.6,72.8,74.5
=57,61  ,Universidade de São Paulo,Brazil,77,80.3,71.6,67.4,76.2,74.3
=57,83=,Zhejiang University,China (Mainland),72.8,79.9,79.7,77.6,57.4,74.3
59,56  ,University of Wisconsin-Madison,United States,74.1,74.6,82,72.5,61.7,74.2
=60,85  ,Université Paris-Saclay,France,67.2,66.9,82.8,79.2,80.9,74.1
=60,58=,University of Amsterdam,Netherlands,71.9,75.4,81.4,70.5,74,74.1
62,60  ,Universitat de Barcelona,Spain,74.4,73.1,79.7,66.6,76,73.9
63,73=,Fudan University,China (Mainland),71.9,82.4,81.1,77.8,50.1,73.8
=64,65=,Northwestern University,United States,66.8,74.1,87.6,77.1,66.3,73.7
=64,67=,University of Basel,Switzerland,68.4,66.8,86.6,71.1,81.4,73.7
=66,58=,Eberhard Karls Universität Tübingen,Germany,71.4,63.5,84.2,69.4,79.2,73.6
=66,80=,Shanghai Jiao Tong University,China (Mainland),73.9,78.5,78.7,78.2,47.9,73.6
=66,71=,Université PSL,France,65.8,68.6,85.4,75.4,82.6,73.6
=69,65=,Leiden University,Netherlands,70,70.8,83.5,73.3,67.7,73.2
=69,76  ,The University of Hong Kong,Hong Kong SAR,69.7,81.6,87.8,68,59.5,73.2
=69,71=,The University of Sydney,Australia,69.7,80.4,82.4,72.6,63,73.2
=72,80=,Baylor College of Medicine,United States,65.4,58.3,90.6,78.9,71.1,73
=72,78=,Monash University,Australia,69,75.5,82.8,72.4,68,73
74,69=,Université de Montpellier,France,69.8,57,77.9,68.2,99.5,72.8
=75,75  ,Ghent University,Belgium,69.2,64.8,81.8,71.5,78.3,72.7
=75,102  ,Stockholm University,Sweden,72.3,67.3,86.5,69.8,58.2,72.7
77,,University of Chinese Academy of Sciences,China (Mainland),67.6,63.3,82.5,82.6,60.2,72.4
78,77  ,Lund University,Sweden,72.7,68,79.9,65.9,71.5,72.2
79,69=,University of Helsinki,Finland,70.8,63.7,82.5,70.8,67.7,72.1
80,90=,The University of New South Wales (UNSW Sydney),Australia,67.9,73.8,83.3,72.1,63.4,72
81,96  ,University of Göttingen,Germany,70.1,66.9,87.7,68,60,71.9
82,87=,University of Florida,United States,66.9,62.7,79.8,73.9,80.4,71.8
83,67=,The Australian National University,Australia,74,80.5,85.6,60,49.3,71.7
84,94=,Osaka University,Japan,76,70.7,77.9,69.4,45.8,71.5
=85,80=,Freie Universitaet Berlin,Germany,71.5,64.5,85.9,62.4,67.3,71.4
=85,87=,Pennsylvania State University,United States,67.8,76.7,81.7,67.6,67.9,71.4
87,83=,Universidad Nacional Autónoma de México (UNAM),Mexico,77.9,84.6,70.6,58.3,58.5,71.3
=88,63  ,KAIST - Korea Advanced Institute of Science & Technology,South Korea,79.2,80.1,83.2,59.8,26.8,71
=88,64  ,Lomonosov Moscow State University,Russia,80.9,86.4,67.4,55.5,54.1,71
=88,86  ,University of Illinois at Urbana-Champaign,United States,70.5,75.9,81.2,67.4,55.1,71
=88,90=,University of Texas at Austin,United States,72,75.8,84,66.1,46.2,71
=92,103  ,National Taiwan University (NTU),Taiwan,74,78.2,79.2,62.9,48.3,70.7
=92,78=,University of Bristol,United Kingdom,70.3,69.4,83.6,67.1,54.6,70.7
=92,87=,University of Groningen,Netherlands,68.1,62.5,82.2,69.9,68,70.7
95,94=,Technical University of Denmark,Denmark,66.4,67.2,86.6,68.7,62.8,70.6
96,90=,University of Vienna,Austria,72.2,64.4,84.1,61.4,59.5,70.4
97,93  ,"Trinity College Dublin, The University of Dublin",Ireland,70.5,76.3,84.1,59.8,55.7,70.2
=98,97=,Boston University,United States,65,71.8,85.2,69.8,59.6,70.1
=98,115=,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,67.3,78.6,83.2,67.4,51.8,70.1
100,113  ,The Ohio State University,United States,60.3,72.9,82.2,73.3,74.6,70
=101,100=,Albert-Ludwigs-Universitaet Freiburg,Germany,67.3,61.6,84,70.7,58.5,69.9
=101,97=,University of Lausanne,Switzerland,67.5,54.4,86.7,70.4,60,69.9
=103,100=,Texas A&M University,United States,67.9,70.3,79.6,65.7,65.7,69.8
=103,104  ,Université Paris Cité,France,58.3,60.8,83.3,78,81.7,69.8
105,117=,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,64.4,62,84.1,69.8,69.1,69.7
106,62  ,University of Geneva,Switzerland,65.5,66.3,83.5,67.8,65.5,69.6
107,117=,University of Science and Technology of China,China (Mainland),67.8,65.1,86.3,69.8,46.8,69.5
=108,108=,Newcastle University,United Kingdom,64.7,69.3,82.8,67.2,65,69.3
=108,133=,Università di Padova,Italy,61.8,76.3,81.8,68.2,69,69.3
110,108=,Sapienza University of Rome,Italy,67.7,75.6,75.5,64.3,65.6,69.2
111,119  ,Emory University,United States,58.9,61.2,84.5,75.7,72.9,69
112,126=,Humboldt-Universität zu Berlin,Germany,72.5,70.5,79.2,57,56.2,68.9
113,107  ,Michigan State University,United States,66.6,66.1,77.6,63,72.3,68.6
114,110=,University of Minnesota Twin Cities,United States,61.3,72.1,80,71.2,65,68.5
115,114  ,The University of Sheffield,United Kingdom,67.6,69.6,81.7,60.9,58.7,68.4
=116,105=,Georgia Institute of Technology,United States,67.2,69.8,83,65.1,48.6,68.3
=116,112  ,Purdue University,United States,67.3,76.4,77.8,62.5,56.5,68.3
=116,133=,The University of Western Australia,Australia,67,66.1,78.8,63.6,63.7,68.3
=116,115=,Université catholique de Louvain (UCLouvain),Belgium,64.2,66.7,84.1,61.4,68.4,68.3
=116,141=,University of Milan,Italy,63.7,73.3,77.8,68.5,62.1,68.3
=116,73=,Yonsei University,South Korea,65.9,77,77.7,64.3,58.5,68.3
122,129=,University of Alberta,Canada,62.2,71.1,83.2,65.1,65.4,68.2
123,137=,Universität Hamburg,Germany,62.1,67.1,81.3,69,65.2,68.1
=124,99  ,The Scripps Research Institute (TSRI),United States,67.9,43.1,92.1,69.2,41.2,67.9
=124,133=,The University of Texas M. D. Anderson Cancer Center,United States,55.4,42.6,92.6,85.4,58.7,67.9
126,143  ,Queen Mary University of London,United Kingdom,59.2,64.5,85.5,69.7,65.1,67.7
=127,110=,King Abdulaziz University (KAU),Saudi Arabia,62,67.4,85.1,63.2,64.1,67.6
=127,151-200,KTH Royal Institute of Technology ,Sweden,60.6,63.1,87.6,68.2,58.9,67.6
=127,139=,The Hong Kong University of Science and Technology,Hong Kong SAR,73.1,76.6,82.3,58,26.1,67.6
=127,126=,University of Birmingham,United Kingdom,63,74.1,81.6,65,56.2,67.6
