QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Engineering - Mineral & Mining,,,,,,,,,
Faculty Area,,Engineering & Technology,,Institutions Considered,,658,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.15,,,,
,,,,H,0.15,,,,
Top 70 Universities - Engineering - Mineral & Mining,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score,
1,1  ,Colorado School of Mines,United States,100,99.4,86.5,90.3,96.3,
2,2  ,Curtin University,Australia,71.3,96.7,92.9,97.6,86.1,
3,4  ,The University of New South Wales (UNSW Sydney),Australia,73.7,93.8,93.2,90.3,85.1,
4,5  ,The University of Queensland,Australia,71.4,97.3,90.3,87.4,84.4,
5,6  ,McGill University,Canada,71.1,90.2,94.9,87.1,82.8,
6,3  ,Saint-Petersburg Mining University,Russia,85.3,87.1,73.6,74.6,82.5,
7,7  ,The University of Western Australia,Australia,62.5,94.1,90.3,94.6,81,
8,9  ,King Fahd University of Petroleum & Minerals,Saudi Arabia,66.9,99.6,81.7,75.1,80.2,
9,8  ,Universidad de Chile,Chile,65,92.3,86.9,80.5,78.8,
10,21  ,University of Toronto,Canada,59.7,89.9,92.8,89.5,78.2,
11,10=,University of British Columbia,Canada,62.4,88.7,87.9,86.8,77.8,
12,10=,University of Alberta,Canada,65.7,79.8,88.5,91.3,77.2,
13,17=,Pennsylvania State University,United States,64.8,79.4,91.3,91.3,77.1,
14,15=,Camborne School of Mines | University of Exeter,United Kingdom,61.7,83.5,93.1,83.9,76.3,
15,26=,Delft University of Technology,Netherlands,61.7,84.7,82.8,88.6,75.8,
16,12=,University of Witwatersrand,South Africa,67.6,80,85.5,77.9,75.6,
=17,20  ,Monash University,Australia,52.1,83.8,98.1,95.3,75,
=17,,National University of Singapore (NUS),Singapore,50.2,100,84.2,82.1,75,
19,19  ,The University of Adelaide,Australia,55.3,80.4,96.3,94.2,74.8,
20,12=,Queen's University at Kingston,Canada,64.6,73.8,96.2,80.9,74.5,
21,17=,China University of Mining and Technology,China (Mainland),65.4,63.6,92.1,100,74.1,
22,12=,Technische Universität Bergakademie Freiberg,Germany,72.7,65.3,85.9,80.1,73.6,
23,15=,RWTH Aachen University,Germany,60.8,82,84.6,79.2,73.5,
24,24  ,Universidad Nacional de Colombia,Colombia,65.6,84.5,74.6,69.4,73.2,
=25,37=,Indian Institute of Technology Bombay (IITB),India,46.2,96.2,88,80.5,72.6,1.0
=25,22  ,The University of Melbourne,Australia,49.9,87.3,89.7,86.8,72.6,
=25,,The University of Sydney,Australia,49.4,87.3,95.4,82.4,72.6,
