QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Geology,,,,,,,,,
,,,,Institutions Considered,,1078,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 240 Universities - Geology,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
1,1  ,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,100,99,94.3,96.7,69,94.6
2,2  ,Harvard University,United States,89.4,100,97.2,97.6,69.5,92.5
3,5  ,University of Oxford,United Kingdom,91.3,96.2,94.5,94.7,73.7,91.7
4,6  ,University of Cambridge,United Kingdom,91.9,95.8,94.8,93,73.8,91.5
5,7  ,Massachusetts Institute of Technology (MIT) ,United States,92.4,98.3,93.8,93.5,66,91
6,4  ,"University of California, Berkeley (UCB)",United States,90.7,92,94.5,95.3,70,90.9
7,3  ,California Institute of Technology (Caltech),United States,87.8,92,92.4,100,70.9,90.7
8,10  ,University of Washington,United States,94.2,72.4,94.6,95.8,69.2,90
9,8  ,Stanford University,United States,91.2,96.7,94,93,60.8,89.9
10,9  ,Columbia University,United States,83.6,77.6,99,98.1,72.6,89.4
11,13=,Princeton University,United States,84.2,86.3,97.8,95.2,60.1,88.2
=12,11  ,The Australian National University,Australia,91,86.9,91.9,88.4,67.6,87.8
=12,13=,The University of Tokyo,Japan,88.8,87.5,87.3,92.3,74.6,87.8
=12,12  ,University of Colorado Boulder,United States,89.4,73.5,90.6,96.9,67.9,87.8
15,16  ,University of British Columbia,Canada,94.6,84.9,89.5,88.1,58.4,87.1
16,24=,University of Leeds,United Kingdom,88.6,74.7,92.1,89.4,73.7,86.8
=17,22  ,The University of Edinburgh,United Kingdom,84.7,84.6,92.6,90.1,71.5,86.7
=17,21  ,UCL,United Kingdom,84.2,78.9,91.3,90.5,80.5,86.7
=19,17  ,Sorbonne University,France,73.6,82.8,89.4,96.6,96.7,86.5
=19,30=,Utrecht University,Netherlands,93.4,69.2,90.7,89.3,65.5,86.5
21,18=,University of Texas at Austin,United States,87.5,79.1,89.7,92.1,66.7,86.3
22,20  ,"University of California, Los Angeles (UCLA)",United States,84.5,87.4,90.4,91.6,63.6,86
23,15  ,Pennsylvania State University,United States,85.7,85.2,91.1,89.8,64.7,85.9
24,36=,Delft University of Technology,Netherlands,93.6,90.1,84.6,85.6,60.5,85.7
25,43  ,Peking University,China (Mainland),82.2,85.8,91.2,94.5,59.7,85.6
26,28  ,University of Toronto,Canada,84.2,84.9,92.7,91.1,56.5,85.4
=27,18=,"University of California, San Diego (UCSD)",United States,86.3,72.9,92.3,91.8,60.2,85.2
=27,30=,"University of Maryland, College Park",United States,72.4,77.6,96.9,96.9,72.4,85.2
29,33=,Université Grenoble Alpes,France,84.3,62.5,91,90.5,79.8,84.9
=30,24=,The University of Arizona,United States,82.7,58.6,92.1,93.2,75.7,84.6
=30,38=,The University of New South Wales (UNSW Sydney),Australia,80.8,83.7,90.9,90.3,66.5,84.6
=32,51-100,China University of Geosciences,China (Mainland),92,53.7,86.4,92,68.8,84.5
=32,27  ,Imperial College London,United Kingdom,85.8,90.2,88.6,87,58.1,84.5
34,51-100,The University of Exeter,United Kingdom,83.5,74.2,94.5,89,60.2,84.4
35,33=,Tsinghua University,China (Mainland),75.2,86.3,91.7,96.1,61.5,84.3
36,35  ,Texas A&M University,United States,81.1,79.5,89.5,88.7,70.5,83.9
=37,32  ,University of Bristol,United Kingdom,87.2,73.6,90.3,85.6,63.2,83.8
=37,44=,Wageningen University & Research,Netherlands,76.2,87.9,94.9,87.9,64.7,83.8
39,26  ,Curtin University,Australia,78.9,77,89.2,90.3,74.2,83.7
=40,40  ,McGill University,Canada,84.5,85.4,92,85.6,53.4,83.6
=40,51-100,Stockholm University,Sweden,82.9,62.5,93.2,89.1,68.8,83.6
=42,23  ,The University of Western Australia,Australia,81.6,74.2,87.9,88.1,75.3,83.4
=42,29  ,Yale University,United States,77.2,87.7,96.1,87.3,56.4,83.4
44,51-100,University of Oslo,Norway,84.1,64.7,92,87.9,63,83
45,41  ,University of Michigan-Ann Arbor,United States,79.2,76.8,89.9,88.7,66.2,82.7
46,42  ,University of Southampton,United Kingdom,78.6,74.4,90.1,89.4,66.5,82.5
=47,51-100,"University of California, Davis",United States,79.1,77.6,96.5,86.6,51.6,82.4
=47,46=,University of Copenhagen,Denmark,80,69.4,92.2,87.8,64.4,82.4
=49,51-100,Monash University,Australia,74.2,77.6,94.2,90.7,58.3,82.1
=49,51-100,University of Bern,Switzerland,83.2,63.6,90.9,87.3,62.3,82.1
=49,44=,University of Hawaiʻi at Mānoa,United States,70.8,84.2,92.5,89.7,68.7,82.1
51-100,51-100,Alma Mater Studiorum - University of Bologna,Italy,68.3,79.9,88.5,83.1,64.1,
51-100,51-100,Arizona State University,United States,78.3,64.3,92.4,88.1,58,
51-100,50  ,Christian-Albrechts-University zu Kiel,Germany,77.1,65.9,86.4,78.4,70.1,
51-100,48  ,Colorado State University,United States,78.7,82.2,93,88.5,43.8,
51-100,51-100,Cornell University,United States,73.6,84.6,92.7,85.8,56.1,
51-100,46=,Durham University,United Kingdom,75,70.5,94.1,89.3,61.4,
51-100,51-100,Georgia Institute of Technology,United States,70.7,78.1,90.4,85.1,48.2,
51-100,101-150,Ghent University,Belgium,75.3,65.5,89.8,83.3,72.4,
51-100,51-100,Johns Hopkins University,United States,73.4,71.6,90.4,87.6,60.1,
51-100,101-150,"KIT, Karlsruhe Institute of Technology",Germany,69.2,62.7,91.3,85.6,66.5,
51-100,51-100,Kyoto University,Japan,81.5,75.3,82.7,83.1,63.7,
51-100,51-100,Ludwig-Maximilians-Universität München,Germany,71.6,63.3,93.5,86.8,63.4,
51-100,51-100,Lund University,Sweden,77,62.4,92.6,84.4,63.1,
51-100,51-100,Nanjing University,China (Mainland),74.7,71.4,89.2,93,57,
51-100,51-100,"Nanyang Technological University, Singapore (NTU)",Singapore,83.5,89.7,86.2,77.5,40,
51-100,101-150,Newcastle University,United Kingdom,73.9,73.7,91.4,80.5,56.7,
51-100,51-100,Purdue University,United States,66.2,87.4,89.3,85.3,56.8,
51-100,51-100,Technical University of Denmark,Denmark,78.5,70.1,87.3,81.1,63.5,
51-100,51-100,The University of Adelaide,Australia,73.2,75.7,89.2,84.8,61.1,
51-100,51-100,The University of Hong Kong,Hong Kong SAR,77.8,80.2,92.1,85.6,47.4,
51-100,51-100,The University of Manchester,United Kingdom,71.9,76.2,90.3,86.1,65.6,
51-100,36=,The University of Melbourne,Australia,80.5,87,89.3,86.1,47.7,
51-100,51-100,The University of Queensland,Australia,83.1,82.1,86.9,83.9,61.4,
51-100,49  ,The University of Sydney,Australia,77.4,81,90.7,85.3,58.1,
51-100,51-100,Universidad de Chile,Chile,74,75,89.4,82.3,58.9,
51-100,51-100,Universidad Nacional Autónoma de México (UNAM),Mexico,79.6,81.9,81.8,85.6,76.1,
51-100,51-100,Universidade de São Paulo,Brazil,72.8,76.3,83.5,84.9,65.5,
51-100,51-100,Universität Bremen,Germany,82.3,56.5,86.6,82.7,66.4,
51-100,51-100,Universitat de Barcelona,Spain,73.9,76.5,90.3,83.7,72.6,
51-100,51-100,Universität Hamburg,Germany,76.4,73.7,86.8,82.3,65.5,
51-100,51-100,Universität Potsdam,Germany,80.7,42.3,90.1,83.3,63.8,
