QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Marketing,,,,,,,,
Faculty Area,,Social Sciences & Management,,Institutions Considered,,761,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.5,,,
,,,,Employer,0.1,,,
,,,,Citations,0.2,,,
,,,,H,0.2,,,
,,,,,,,,
Top 50 Universities - Marketing,,,,,,,,
2024,2023.0,Institution,Location,Academic,Employer,Citations,H,Score
1,1.0,University of Pennsylvania,United States,97,80.3,83.7,76.1,88.6
2,,University of Oxford,United Kingdom,86.1,100,77.6,74.2,88.2
3,4.0,University of Cambridge,United Kingdom,84.8,99.4,76.4,78.4,87.7
4,2.0,Stanford University,United States,90.9,97.6,67.3,61.5,87.6
5,3.0,Massachusetts Institute of Technology (MIT) ,United States,88.6,98.7,67.2,62.6,86.9
6,10.0,London Business School,United Kingdom,100,87,46.8,53.9,86.2
7,8.0,Università Commerciale Luigi Bocconi (Bocconi University),Italy,88.9,84.7,77.4,79.5,85.6
8,9.0,National University of Singapore (NUS),Singapore,82.2,94.1,79.1,79,85.1
9,6.0,HEC Paris,France,93.4,91.4,50.4,56.7,84.8
10,5.0,Northwestern University,United States,91.9,77.5,77.8,77.3,84.7
11,12.0,Erasmus University Rotterdam ,Netherlands,91.7,74.2,78.5,81.6,84.1
12,,INSEAD (France),France,93.8,89.3,51.1,50.7,83.9
13,7.0,Columbia University,United States,84.5,82.8,79.7,79,83
14,16.0,"Nanyang Technological University, Singapore (NTU)",Singapore,77.7,93.2,77.5,76.7,82.2
15,11.0,"University of California, Berkeley (UCB)",United States,82.8,89.3,73.3,65.6,82.1
16,15.0,The London School of Economics and Political Science (LSE),United Kingdom,83.2,89.2,63.5,65.6,81.3
17,19.0,New York University (NYU),United States,83.6,77.8,74.8,72.8,79.9
18,,The University of New South Wales (UNSW Sydney),Australia,74.9,82.4,84.6,90.9,79.7
19,,The Hong Kong Polytechnic University,Hong Kong SAR,78.8,76.3,82.6,90.3,79.6
20,20.0,Tecnológico de Monterrey,Mexico,75.8,86.1,76.6,75.5,78.9
21-50,,Aalto University,Finland,73.8,60.2,88.6,95,
21-50,,Copenhagen Business School,Denmark,87.1,55,86.8,91.6,
21-50,14.0,Duke University,United States,81.3,78.5,70.4,68.2,
21-50,,ESCP Europe,France,70.4,78.4,82,70.6,
21-50,,"ESSEC Business School, Paris",France,74,80.3,67.8,69.8,
21-50,,Imperial College London,United Kingdom,69.3,86.9,60.8,64.6,
21-50,,Korea University,South Korea,73.1,75.2,73.5,76.1,
21-50,,Lancaster University,United Kingdom,69.4,74.3,82,88.4,
21-50,,Luiss Guido Carli University,Italy,66.7,86.4,74.8,76.7,
21-50,,McGill University,Canada,68.2,87.7,62.3,66.5,
21-50,,Monash University,Australia,72.3,80.1,80.8,90.3,
21-50,,Seoul National University,South Korea,69.1,80.8,73.5,76.7,
21-50,,Swansea University,United Kingdom,68.7,64.5,100,96.2,
21-50,,Taylor's University,Malaysia,72.1,74.4,84.9,76.1,
21-50,,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,70.7,79.4,74,71.4,
21-50,,The Hong Kong University of Science and Technology,Hong Kong SAR,79.9,79.8,60.9,59.2,
21-50,,The University of Auckland,New Zealand,65.5,76.7,86.1,90.9,
21-50,,The University of Hong Kong,Hong Kong SAR,72.4,86,76.7,76.7,
21-50,,The University of Manchester,United Kingdom,72.1,83,85.5,92.3,
21-50,17.0,The University of Melbourne,Australia,72.8,85.4,73.2,77.9,
21-50,,The University of Sydney,Australia,64.2,84.1,86.2,89.5,
21-50,,The University of Warwick,United Kingdom,76.4,75.9,85.4,83.5,
21-50,,Tilburg University,Netherlands,80.1,60,80.5,79.5,
21-50,,Tsinghua University,China (Mainland),69,88.6,72.5,71.4,
21-50,,Universitat Ramon Llull,Spain,78.1,76.4,79,76.1,
21-50,18.0,University of British Columbia,Canada,75.5,85.3,73.5,66.5,
21-50,,"University of California, Los Angeles (UCLA)",United States,74.8,84.1,58.2,55.3,
21-50,,University of Leeds,United Kingdom,72.8,73.2,85.2,93.2,
21-50,,University of Michigan-Ann Arbor,United States,73.1,77.7,83.1,78.4,
21-50,,University of St.Gallen (HSG),Switzerland,78,72.7,92.8,86.9,
21-50,13.0,University of Toronto,Canada,74.5,88.9,70.5,71.4,
21-50,,Yale University,United States,77.5,91,56.7,58,
