QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Pharmacy & Pharmacology,,,,,,,,,
,,,,Institutions Considered,,1040,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 360 Universities - Pharmacy & Pharmacology,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
1,1  ,Harvard University,United States,94.5,100,91.8,99.8,96.4,95.8
2,2  ,Monash University,Australia,100,83.4,93.2,94.2,68.7,92.7
3,3  ,University of Oxford,United Kingdom,91.2,98.2,93.2,96.9,81.7,92.5
4,4  ,UCL,United Kingdom,85.3,85.4,93.6,100,91.1,90.5
5,5  ,Johns Hopkins University,United States,84.9,84.8,89.6,96.3,88,88.4
6,6  ,University of Cambridge,United Kingdom,90,97.2,94.1,89.4,58.6,88.3
7,7  ,"University of North Carolina, Chapel Hill",United States,92,70.5,89.6,94.7,72.5,88
=8,20=,Imperial College London,United Kingdom,80.9,88.2,93.5,97,80.8,87.4
=8,9  ,"University of California, San Francisco (UCSF)",United States,92,73.8,87.9,90.8,74.6,87.4
10,13  ,"University of California, San Diego (UCSD)",United States,88.1,79.2,89.4,92.2,70.6,86.5
11,12  ,University of Toronto,Canada,83.6,86.2,89.8,95.6,72.6,86.4
=12,10=,Karolinska Institute,Sweden,79.9,82.2,88.6,90.4,100,86
=12,8  ,University of Nottingham,United Kingdom,82.7,75,99.1,97,62,86
14,10=,National University of Singapore (NUS),Singapore,83.8,92.1,92.6,92.4,61.9,85.9
15,,"University of California, Los Angeles (UCLA)",United States,83,86,91.5,92.6,70.9,85.7
16,15  ,Leiden University,Netherlands,86.4,68.7,92.1,92.3,68.1,85.1
17,17  ,The University of Manchester,United Kingdom,80.1,78,92.4,91.7,76.4,84.3
18,19  ,University of Copenhagen,Denmark,83.6,69.2,89,91.9,72.8,83.8
19,31=,Yale University,United States,82.7,89.8,89.1,90.5,56.1,83.6
20,16  ,The University of Sydney,Australia,78.1,83.2,92.2,94.8,65.4,83.5
21,22  ,University of Michigan-Ann Arbor,United States,83.1,70.8,89.8,92.3,65.6,83.3
22,20=,King's College London,United Kingdom,77.9,81.3,89.7,93,72.9,83.1
23,25=,Peking University,China (Mainland),80.9,86.7,87.1,93.7,57.9,83
24,14  ,King Abdulaziz University (KAU),Saudi Arabia,82,74.5,88.9,89.1,65.5,82.4
25,18  ,KU Leuven,Belgium,76.8,79.1,90.1,90.4,73.5,82.1
=26,28  ,"Trinity College Dublin, The University of Dublin",Ireland,81,80,89.3,85.9,60.9,81.5
=26,24  ,Uppsala University,Sweden,78,72.7,88.9,86.9,78.2,81.5
28,25=,Utrecht University,Netherlands,75,68.2,95.3,95.2,63.7,81.3
29,31=,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,85,96.3,85.9,82.9,36.7,81.1
=30,41=,Columbia University,United States,77.9,77.2,88.3,89.2,63.2,80.7
=30,23  ,The University of Queensland,Australia,72.1,78.9,90.8,93.5,71.3,80.7
32,35  ,University of Liverpool,United Kingdom,70.3,68.3,94.3,91.1,85.7,80.6
33,29  ,University of Milan,Italy,72.3,75.2,90.2,93.5,72,80.4
34,37=,University of Washington,United States,75.7,76.9,89.5,91.4,61.3,80.3
=35,39  ,Queen's University Belfast,United Kingdom,74.1,66.5,93.3,90,71.5,80.1
=35,40  ,Tsinghua University,China (Mainland),83.9,83.9,90.9,87.8,23.6,80.1
=35,30  ,University of British Columbia,Canada,76.3,80.9,89,88.7,59.6,80.1
38,41=,The University of Edinburgh,United Kingdom,71.8,77.1,100,92.3,51.5,80
39,49=,University of Strathclyde,United Kingdom,80.6,68.7,83.9,83.9,71.1,79.8
40,31=,University of Texas at Austin,United States,79.4,80.7,92.7,87.5,38.1,79.7
41,36  ,The University of Tokyo,Japan,84.2,80.7,81.8,83.4,45.3,79.3
42,41=,The University of Melbourne,Australia,67.9,85,90.9,92.3,68.2,79.1
43,34  ,McGill University,Canada,75.8,79.5,87.4,87.1,57.5,78.9
=44,56=,Universidade de São Paulo,Brazil,72.1,82.3,84.5,91.6,60.2,78.3
=44,63=,University of Pennsylvania,United States,72.1,76.5,90,90.7,57,78.3
=46,41=,Ruprecht-Karls-Universität Heidelberg,Germany,73.5,76.8,86.6,84.9,67.7,78.2
=46,53  ,University of Helsinki,Finland,71.2,64.4,90.9,89.7,71.1,78.2
=48,74=,Sorbonne University,France,74.6,78.6,87.3,86.7,56,78.1
=48,49=,University of Alberta,Canada,72.6,66.9,89.1,88.5,68.9,78.1
=50,,"Nanyang Technological University, Singapore (NTU)",Singapore,77.4,85.6,85,82.7,48.6,77.9
=50,58=,University of Groningen,Netherlands,75.2,58.9,88.1,88,67,77.9
=50,74=,Zhejiang University,China (Mainland),73.8,73.6,90,95.6,39,77.9
53,58=,Fudan University,China (Mainland),70.3,78.5,89.8,95.3,47.1,77.7
54,37=,The University of Auckland,New Zealand,67.7,73.5,98.4,94.6,44.2,77.5
55,61  ,Ludwig-Maximilians-Universität München,Germany,74.2,77.3,86.7,86.7,53.2,77.4
=56,47  ,Duke University,United States,73.7,70.9,89,89.6,49.7,77.3
=56,71=,King Saud University,Saudi Arabia,71,60.6,86.5,90.2,74.7,77.3
58,41=,University of Geneva,Switzerland,75.9,62.1,86.4,83.6,65,77.1
=59,48  ,Purdue University,United States,76.2,71.7,89.2,87.3,40.3,77
=59,70  ,University of Bristol,United Kingdom,66.4,64.8,99.7,93.9,52.4,77
61,27  ,Seoul National University,South Korea,74.4,80,85.7,87.7,42.8,76.7
=62,56=,Universitat de Barcelona,Spain,69.2,70.5,87,87.8,69,76.6
=62,52  ,Vanderbilt University,United States,76.6,67.8,87.4,87.7,41.1,76.6
=64,85=,Cairo University,Egypt,66.5,74.7,87.4,90.4,68.7,76.5
=64,54  ,"National Institute of Pharmaceutical Education & Research (NIPER), Mohali",India,76.4,64.8,94.6,90,25.8,76.5
66,41=,University of Minnesota Twin Cities,United States,69.3,70.5,89.2,90.4,56.6,76.4
=67,77  ,Freie Universitaet Berlin,Germany,75.1,65.9,88.8,85.7,45.3,76.1
=67,55  ,Université Paris-Saclay,France,65.6,73.5,87.7,89.7,70.7,76.1
=67,68=,University of Glasgow,United Kingdom,71.3,69.9,90,86.3,53.1,76.1
=70,66=,Cornell University,United States,65.3,80.9,90.3,87.8,61.5,76
=70,51  ,University of Basel,Switzerland,66.6,73.4,87.8,88,68.8,76
72,101-150,Universiti Malaya (UM),Malaysia,69.1,78.3,87.2,82.5,65,75.9
=73,62  ,Shanghai Jiao Tong University,China (Mainland),66.9,75.7,89.1,95.8,44.4,75.8
=73,66=,University of Illinois at Chicago (UIC),United States,73.9,63.1,87.7,86.3,50.8,75.8
75,79=,The University of Hong Kong,Hong Kong SAR,65,77.9,93.6,89.4,53.5,75.7
=76,85=,Kyoto University,Japan,78.5,71.8,84,83.6,35.4,75.6
=76,87=,Sapienza University of Rome,Italy,64.8,78,88.5,90.4,61.4,75.6
=76,87=,Universiti Sains Malaysia (USM),Malaysia,75.6,66.3,82,80.7,62.3,75.6
=79,71=,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,70.5,75.5,90.3,88.7,39.1,75.5
=79,63=,The University of New South Wales (UNSW Sydney),Australia,65.8,75.7,88.3,87.5,64.7,75.5
=81,73  ,China Pharmaceutical University,China (Mainland),74.5,49.1,87.5,95.7,40.9,75.4
=81,87=,Universidad Nacional Autónoma de México (UNAM),Mexico,71.3,86.2,83.8,82.9,48.8,75.4
=81,83=,Università di Padova,Italy,64.8,77.9,88.2,87.8,64.5,75.4
84,87=,University of Wisconsin-Madison,United States,71.4,71.6,86.7,85.7,51.2,75.3
=85,99=,Rutgers University–New Brunswick,United States,63.1,77.3,90.5,90.2,59.6,75.1
=85,101-150,University of Naples - Federico II,Italy,61.3,65.4,90.4,92,75.6,75.1
