QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"Theology, Divinity & Religious Studies",,,,,,,,
Faculty Area,,Arts & Humanities,,Institutions Considered,,536,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.7,,,
,,,,Employer,0.1,,,
,,,,Citations,0.1,,,
,,,,H,0.1,,,
"Top 140 Universities - Theology, Divinity & Religious Studies",,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
1,3  ,Harvard University,United States,91.2,93.3,96.9,91.3,92
2,2  ,University of Oxford,United Kingdom,93.7,88.9,84.3,90,91.9
3,1  ,University of Notre Dame,United States,100,49.8,87.6,80.7,91.8
4,4  ,University of Cambridge,United Kingdom,93.1,86.9,87.7,87.2,91.4
5,8  ,Eberhard Karls Universität Tübingen,Germany,98.1,66.7,76.9,67.1,89.7
6,5  ,KU Leuven,Belgium,96.8,55.7,78.4,76.9,88.9
7,6  ,Durham University,United Kingdom,95.3,64.7,84.4,69.8,88.6
8,13  ,University of Chicago,United States,93.6,70.8,82.1,72.4,88.1
9,9  ,Duke University,United States,90.8,54.8,98.4,90,87.9
10,16  ,The University of Edinburgh,United Kingdom,89.2,67.2,90.9,85.7,86.8
11,10  ,Boston College,United States,93.7,29.5,93.4,85.7,86.5
12,7  ,Yale University,United States,88.2,67.8,90.6,82.5,85.8
13,20  ,Ruprecht-Karls-Universität Heidelberg,Germany,89.5,76,75.6,67.1,84.5
14,14  ,University of St Andrews,United Kingdom,88.1,62,83.5,74.7,83.7
15,12  ,Princeton University,United States,85.8,68.1,88.1,74.7,83.2
16,11  ,The Hebrew University of Jerusalem,Israel,87.6,58.4,77.6,72.4,82.2
17,17  ,"University of California, Berkeley (UCB)",United States,80.7,65.1,92.6,78.9,80.2
18,18  ,University of Toronto,Canada,78.3,81.9,86.1,84.2,80
19,23=,Université catholique de Louvain (UCLouvain),Belgium,85.4,62.2,73.4,60.6,79.4
20,15  ,Emory University,United States,85,41.5,82.4,72.4,79.1
21,28  ,University of Vienna,Austria,79.4,79.6,80.3,74.7,79
22,22  ,University of Helsinki,Finland,75.3,78,89.4,85.7,78
23,23=,Westfälische Wilhelms-Universität Münster ,Germany,81.7,54.8,79,72.4,77.8
24,26  ,Ludwig-Maximilians-Universität München,Germany,81.8,57,77,60.6,76.7
25,29  ,University of Aberdeen,United Kingdom,77,60.6,89.4,76.9,76.6
26,30=,Humboldt-Universität zu Berlin,Germany,77.5,66.3,83.5,60.6,75.3
27,21  ,Vrije Universiteit Amsterdam,Netherlands,75.9,53.3,87,80.7,75.2
28,34  ,Australian Catholic University,Australia,80.1,26.5,86.3,76.9,75
29,33  ,Universidad Pontificia Comillas,Spain,75.7,49,91.9,74.7,74.6
30,25  ,University of Göttingen,Germany,81.2,63.2,62.4,46.9,74.1
31,35  ,University of Navarra,Spain,74.1,54.8,85.8,76.9,73.6
32,19  ,International Islamic University Malaysia (IIUM),Malaysia,78.7,61.1,69.8,52.2,73.4
33,36  ,King's College London,United Kingdom,73.7,63.1,81.3,72.4,73.3
34,51-100,Pontificia Universidad Católica de Chile (UC),Chile,73,80.8,75.6,64,73.1
35,30=,Vanderbilt University,United States,78.8,23.1,83.8,69.8,72.8
=36,27  ,Boston University,United States,70.6,64.2,88.1,80.7,72.7
=36,40=,Radboud University ,Netherlands,66.1,99.6,87.5,76.9,72.7
38,51-100,The University of Sydney,Australia,67.7,77.6,95.4,78.9,72.6
39,32  ,University of Birmingham,United Kingdom,69,58.3,96.4,87.2,72.5
40,40=,Stanford University,United States,70.1,70.6,84.8,76.9,72.3
41,44  ,Yonsei University,South Korea,72.9,85.2,67.2,56.7,71.9
42,50  ,University of Oslo,Norway,69.6,56.8,93.7,80.7,71.8
=43,47=,Georgetown University,United States,73.3,48.1,81.9,69.8,71.3
=43,43  ,Universiti Malaya (UM),Malaysia,70,59.1,89.3,74.7,71.3
=43,39  ,University of Zurich,Switzerland,71.9,56.7,80.6,72.4,71.3
46,,The University of Tokyo,Japan,75.1,65.7,60.4,60.6,71.2
47,37=,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,71,71,79.7,60.6,70.8
48,40=,Catholic University of America,United States,76,31.9,75.9,64,70.4
49,51-100,"Trinity College Dublin, The University of Dublin",Ireland,67.4,61.7,90.1,76.9,70.1
50,51-100,Leiden University,Netherlands,71.1,59.7,79.6,60.6,69.8
51-100,51-100,Aarhus University,Denmark,63.3,21.7,90.4,82.5,
51-100,51-100,Alma Mater Studiorum - University of Bologna,Italy,69.1,62.7,66.6,56.7,
51-100,51-100,Ankara Üniversitesi,Turkey,67.1,66.3,68,52.2,
51-100,51-100,Baylor University,United States,59.1,37.6,97.7,93.7,
51-100,101-140,Brown University,United States,57.3,72.8,79.8,67.1,
51-100,51-100,Claremont Graduate University,United States,67.8,65.6,48.5,32,
51-100,51-100,Columbia University,United States,63.7,81.3,89.1,69.8,
51-100,101-140,Ecole des Hautes Etudes en Sciences Sociales (EHESS),France,63.4,63.8,68.8,64,
51-100,49  ,Fordham University ,United States,64.1,75.7,91.9,69.8,
51-100,51-100,Freie Universitaet Berlin,Germany,66.8,68.7,69.3,60.6,
51-100,51-100,Gadjah Mada University,Indonesia,64.1,81.3,69.3,52.2,
51-100,51-100,International Islamic University Islamabad (IIU),Pakistan,63.3,49,78.8,64,
51-100,51-100,Johns Hopkins University,United States,59.9,59.3,88.9,69.8,
51-100,,King Saud University,Saudi Arabia,63.6,64.2,65.7,52.2,
51-100,,Kyoto University,Japan,71.8,60,62.7,52.2,
51-100,51-100,Lund University,Sweden,63.5,41.7,82.3,60.6,
51-100,,Macquarie University,Australia,64.2,56.8,79.7,60.6,
51-100,46  ,McGill University,Canada,64.6,60,82.8,69.8,
51-100,101-140,Monash University,Australia,58.1,71.5,88.7,72.4,
51-100,51-100,New York University (NYU),United States,58.8,60.7,84,69.8,
